date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1998-01-03,1,Alejandro Fernandez,Si Tu Supieras,3,1,16
1998-01-03,2,Alejandro Fernandez Featuring Gloria Estefan,En El Jardin,1,1,5
1998-01-03,3,Ana Gabriel,A Pesar De Todos,5,3,9
1998-01-03,4,Luis Miguel,Contigo (Estar Contigo),7,4,4
1998-01-03,5,Marco Antonio Solis,La Venia Bendita,6,1,13
1998-01-03,6,Limite,Hasta Manana,9,6,11
1998-01-03,7,Vicente Fernandez,Nos Estorbo La Ropa,4,4,13
1998-01-03,8,Cristian,Si Tu Me Amaras,17,8,4
1998-01-03,9,Cristian,Lo Mejor De Mi,10,1,17
1998-01-03,10,Juan Gabriel,Te Sigo Amando,8,1,31
1998-01-03,11,Marc Anthony,Y Hubo Alguien,2,1,12
1998-01-03,12,Gisselle,Quiero Estar Contigo,13,5,9
1998-01-03,13,Los Tucanes de Tijuana,Ritmo Navideno,12,12,2
1998-01-03,14,La Original Banda el Limon de Salvador Lizarraga,Que Se Te Olvido,11,11,24
1998-01-03,15,Grupo Mania,Me Miras Y Te Miro,14,6,7
1998-01-03,16,Ricardo Montaner,Es Asi,15,5,7
1998-01-03,17,Los Tigres del Norte,La Temporada Es Buena,23,17,4
1998-01-03,18,Los Bukis,Navidad Sin Ti,33,13,6
1998-01-03,19,Victor Manuelle,Asi Es La Mujer,21,19,4
1998-01-03,20,Enrique Iglesias,Lluvia Cae,19,19,3
1998-01-03,21,La Makina,Nadie Se Muere,18,16,6
1998-01-03,22,Pedro Fernandez,Despacito,22,22,6
1998-01-03,23,Marc Anthony,Me Voy A Regalar,,23,1
1998-01-03,24,Banda El Recodo de Cruz Lizarraga,Como El Primer Dia,26,24,6
1998-01-03,25,Intocable,Donde Estas?,25,25,10
1998-01-03,26,Gilberto Santa Rosa,Que Se Lo Lleve El Rio,39,26,2
1998-01-03,27,Jose Jose,El Mas Feliz Del Mundo,,27,1
1998-01-03,28,Luis Miguel,El Reloj,16,2,14
1998-01-03,29,Los Tucanes de Tijuana,Es Verdad,28,8,18
1998-01-03,30,MDO,Volveras A Mi,,30,1
1998-01-03,31,Los Temerarios,Acepta Mi Error,32,8,26
1998-01-03,32,Fey,Subidon,24,20,5
1998-01-03,33,Marco Antonio Solis,O Soy O Fui,36,3,26
1998-01-03,34,Dinastia Nortena,Acabo De Enterarme,27,27,4
1998-01-03,35,Juanma Y Su Tuna Para Todo El Ano,Por Dos Pulgadas,,35,1
1998-01-03,36,Banda Arkangel R-15,Voy A Pintar Mi Raya,34,34,5
1998-01-03,37,Bobby Pulido,Le Pedire,31,28,8
1998-01-03,38,Domingo Quinones,No Voy A Dejarte Ir,20,6,12
1998-01-03,39,Dayanara,Antifaz,29,23,6
1998-01-03,40,Los Angeles Azules,Como Te Voy A Olvidar,35,7,20
1998-01-10,1,Alejandro Fernandez Featuring Gloria Estefan,En El Jardin,2,1,6
1998-01-10,2,Alejandro Fernandez,Si Tu Supieras,1,1,17
1998-01-10,3,Ana Gabriel,A Pesar De Todos,3,3,10
1998-01-10,4,Vicente Fernandez,Nos Estorbo La Ropa,7,4,14
1998-01-10,5,Marco Antonio Solis,La Venia Bendita,5,1,14
1998-01-10,6,Luis Miguel,Contigo (Estar Contigo),4,4,5
1998-01-10,7,Cristian,Si Tu Me Amaras,8,7,5
1998-01-10,8,Juan Gabriel,Te Sigo Amando,10,1,32
1998-01-10,9,Limite,Hasta Manana,6,6,12
1998-01-10,10,Juanma Y Su Tuna Para Todo El Ano,Por Dos Pulgadas,35,10,2
1998-01-10,11,Cristian,Lo Mejor De Mi,9,1,18
1998-01-10,12,Enrique Iglesias,Lluvia Cae,20,12,4
1998-01-10,13,Marc Anthony,Me Voy A Regalar,23,13,2
1998-01-10,14,La Makina,Nadie Se Muere,21,14,7
1998-01-10,15,Pedro Fernandez,Despacito,22,15,7
1998-01-10,16,Ricardo Montaner,Es Asi,16,5,8
1998-01-10,17,La Original Banda el Limon de Salvador Lizarraga,Que Se Te Olvido,14,11,25
1998-01-10,18,Banda El Recodo de Cruz Lizarraga,Como El Primer Dia,24,18,7
1998-01-10,19,Luis Miguel,El Reloj,28,2,15
1998-01-10,20,Grupo Mania,Me Miras Y Te Miro,15,6,8
1998-01-10,21,Marc Anthony,Y Hubo Alguien,11,1,13
1998-01-10,22,Victor Manuelle,Asi Es La Mujer,19,19,5
1998-01-10,23,Gisselle,Quiero Estar Contigo,12,5,10
1998-01-10,24,Gilberto Santa Rosa,Que Se Lo Lleve El Rio,26,24,3
1998-01-10,25,Los Tucanes de Tijuana,Ritmo Navideno,13,12,3
1998-01-10,26,Jose Jose,El Mas Feliz Del Mundo,27,26,2
1998-01-10,27,Los Tucanes de Tijuana,Es Verdad,29,8,19
1998-01-10,28,Banda Arkangel R-15,Voy A Pintar Mi Raya,36,28,6
1998-01-10,29,Dinastia Nortena,Acabo De Enterarme,34,27,5
1998-01-10,30,MDO,Volveras A Mi,30,30,2
1998-01-10,31,Intocable,Donde Estas?,25,25,11
1998-01-10,32,Fey,Subidon,32,20,6
1998-01-10,33,Los Bukis,Navidad Sin Ti,18,13,7
1998-01-10,34,Los Tigres del Norte,La Temporada Es Buena,17,17,5
1998-01-10,35,Tiranos del Norte,Ensenate A Vivir,,35,1
1998-01-10,36,Los Angeles Azules,Como Te Voy A Olvidar,40,7,21
1998-01-10,37,Alto Voltaje,Yo Sin Tu Amor,,37,1
1998-01-10,38,Alejandro Fernandez,Nube Viajera,,9,23
1998-01-10,39,Bobby Pulido,Le Pedire,37,28,9
1998-01-10,40,Jerry Rivera,El Amor Nunca Pregunta,,40,1
1998-01-17,1,Alejandro Fernandez Featuring Gloria Estefan,En El Jardin,1,1,7
1998-01-17,2,Ana Gabriel,A Pesar De Todos,3,2,11
1998-01-17,3,Alejandro Fernandez,Si Tu Supieras,2,1,18
1998-01-17,4,Luis Miguel,Contigo (Estar Contigo),6,4,6
1998-01-17,5,Juan Gabriel,Te Sigo Amando,8,1,33
1998-01-17,6,Limite,Hasta Manana,9,6,13
1998-01-17,7,Enrique Iglesias,Lluvia Cae,12,7,5
1998-01-17,8,Cristian,Si Tu Me Amaras,7,7,6
1998-01-17,9,Vicente Fernandez,Nos Estorbo La Ropa,4,4,15
1998-01-17,10,Grupo Mania,Me Miras Y Te Miro,20,6,9
1998-01-17,11,Marco Antonio Solis,La Venia Bendita,5,1,15
1998-01-17,12,Pedro Fernandez,Despacito,15,12,8
1998-01-17,13,Luis Miguel,El Reloj,19,2,16
1998-01-17,14,Victor Manuelle,Asi Es La Mujer,22,14,6
1998-01-17,15,Cristian,Lo Mejor De Mi,11,1,19
1998-01-17,16,La Makina,Nadie Se Muere,14,14,8
1998-01-17,17,Marc Anthony,Me Voy A Regalar,13,13,3
1998-01-17,18,Banda El Recodo de Cruz Lizarraga,Como El Primer Dia,18,18,8
1998-01-17,19,Jose Jose,El Mas Feliz Del Mundo,26,19,3
1998-01-17,20,Marc Anthony,Y Hubo Alguien,21,1,14
1998-01-17,21,Intocable,Donde Estas?,31,21,12
1998-01-17,22,Juanma Y Su Tuna Para Todo El Ano,Por Dos Pulgadas,10,10,3
1998-01-17,23,La Original Banda el Limon de Salvador Lizarraga,Que Se Te Olvido,17,11,26
1998-01-17,24,Gilberto Santa Rosa,Que Se Lo Lleve El Rio,24,24,4
1998-01-17,25,MDO,Volveras A Mi,30,25,3
1998-01-17,26,Domingo Quinones,No Voy A Dejarte Ir,,6,13
1998-01-17,27,Banda Arkangel R-15,Voy A Pintar Mi Raya,28,27,7
1998-01-17,28,Gisselle,Quiero Estar Contigo,23,5,11
1998-01-17,29,Alejandro Fernandez,Nube Viajera,38,9,24
1998-01-17,30,Fey,Subidon,32,20,7
1998-01-17,31,Alto Voltaje,Yo Sin Tu Amor,37,31,2
1998-01-17,32,Jerry Rivera,El Amor Nunca Pregunta,40,32,2
1998-01-17,33,Los Tucanes de Tijuana,Es Verdad,27,8,20
1998-01-17,34,Tiranos del Norte,Ensenate A Vivir,35,34,2
1998-01-17,35,Bobby Pulido,Le Pedire,39,28,10
1998-01-17,36,Eros Ramazzotti,Cuanto Amor Me Das [Quanto Amore Sei],,34,5
1998-01-17,37,Los Angeles Azules,Como Te Voy A Olvidar,36,7,22
1998-01-17,38,Jose Luis Rodriguez Featuring Los Panchos,No Me Quieras Tanto,,38,1
1998-01-17,39,Ricardo Montaner,Es Asi,16,5,9
1998-01-17,40,Los Tigres del Norte,Con Que Derecho,,40,1
1998-01-24,1,Alejandro Fernandez Featuring Gloria Estefan,En El Jardin,1,1,8
1998-01-24,2,Luis Miguel,Contigo (Estar Contigo),4,2,7
1998-01-24,3,Ana Gabriel,A Pesar De Todos,2,2,12
1998-01-24,4,Alejandro Fernandez,Si Tu Supieras,3,1,19
1998-01-24,5,Cristian,Si Tu Me Amaras,8,5,7
1998-01-24,6,Enrique Iglesias,Lluvia Cae,7,6,6
1998-01-24,7,Victor Manuelle,Asi Es La Mujer,14,7,7
1998-01-24,8,Grupo Mania,Me Miras Y Te Miro,10,6,10
1998-01-24,9,Cristian,Lo Mejor De Mi,15,1,20
1998-01-24,10,Juan Gabriel,Te Sigo Amando,5,1,34
1998-01-24,11,Pedro Fernandez,Despacito,12,11,9
1998-01-24,12,Limite,Hasta Manana,6,6,14
1998-01-24,13,Celine Dion,My Heart Will Go On,,13,1
1998-01-24,14,Gilberto Santa Rosa,Que Se Lo Lleve El Rio,24,14,5
1998-01-24,15,Jose Luis Rodriguez Featuring Los Panchos,No Me Quieras Tanto,38,15,2
1998-01-24,16,Marco Antonio Solis,La Venia Bendita,11,1,16
1998-01-24,17,Gisselle,Quiero Estar Contigo,28,5,12
1998-01-24,18,MDO,Volveras A Mi,25,18,4
1998-01-24,19,Los Tigres del Norte,Con Que Derecho,40,19,2
1998-01-24,20,Vicente Fernandez,Nos Estorbo La Ropa,9,4,16
1998-01-24,21,Luis Miguel,El Reloj,13,2,17
1998-01-24,22,Alto Voltaje,Yo Sin Tu Amor,31,22,3
1998-01-24,23,Banda El Recodo de Cruz Lizarraga,Como El Primer Dia,18,18,9
1998-01-24,24,Marc Anthony,Y Hubo Alguien,20,1,15
1998-01-24,25,Alejandro Sanz,Corazon Partio,,25,1
1998-01-24,26,Intocable,Donde Estas?,21,21,13
1998-01-24,27,Jerry Rivera,El Amor Nunca Pregunta,32,27,3
1998-01-24,28,Jose Jose,El Mas Feliz Del Mundo,19,19,4
1998-01-24,29,Los Tucanes de Tijuana,Es Verdad,33,8,21
1998-01-24,30,India,Mi Mayor Venganza,,30,1
1998-01-24,31,La Makina,Nadie Se Muere,16,14,9
1998-01-24,32,Bobby Pulido,Le Pedire,35,28,11
1998-01-24,33,Alejandro Fernandez,Nube Viajera,29,9,25
1998-01-24,34,Juan Gabriel,Asi Fue,,34,1
1998-01-24,35,Banda Arkangel R-15,Voy A Pintar Mi Raya,27,27,8
1998-01-24,36,Millie,Me Equivoque,,36,1
1998-01-24,37,Will Smith,Gettin' Jiggy Wit It,,37,1
1998-01-24,38,Domingo Quinones,No Voy A Dejarte Ir,26,6,14
1998-01-24,39,Marco Antonio Solis,Me Vas A Hacer Llorar,,39,1
1998-01-24,40,Los Angeles Azules,Como Te Voy A Olvidar,37,7,23
1998-01-31,1,Alejandro Fernandez Featuring Gloria Estefan,En El Jardin,1,1,9
1998-01-31,2,Luis Miguel,Contigo (Estar Contigo),2,2,8
1998-01-31,3,Enrique Iglesias,Lluvia Cae,6,3,7
1998-01-31,4,Alejandro Fernandez,Si Tu Supieras,4,1,20
1998-01-31,5,Ana Gabriel,A Pesar De Todos,3,2,13
1998-01-31,6,Cristian,Si Tu Me Amaras,5,5,8
1998-01-31,7,Celine Dion,My Heart Will Go On,13,7,2
1998-01-31,8,Victor Manuelle,Asi Es La Mujer,7,7,8
1998-01-31,9,Alejandro Sanz,Corazon Partio,25,9,2
1998-01-31,10,Marco Antonio Solis,Me Vas A Hacer Llorar,39,10,2
1998-01-31,11,Cristian,Lo Mejor De Mi,9,1,21
1998-01-31,12,Jose Luis Rodriguez Featuring Los Panchos,No Me Quieras Tanto,15,12,3
1998-01-31,13,Los Tigres del Norte,Con Que Derecho,19,13,3
1998-01-31,14,Pedro Fernandez,Despacito,11,11,10
1998-01-31,15,Grupo Mania,Me Miras Y Te Miro,8,6,11
1998-01-31,16,Juan Gabriel,Asi Fue,34,16,2
1998-01-31,17,Luis Miguel,El Reloj,21,2,18
1998-01-31,18,India,Mi Mayor Venganza,30,18,2
1998-01-31,19,Alto Voltaje,Yo Sin Tu Amor,22,19,4
1998-01-31,20,Gilberto Santa Rosa,Que Se Lo Lleve El Rio,14,14,6
1998-01-31,21,MDO,Volveras A Mi,18,18,5
1998-01-31,22,Marc Anthony,Y Hubo Alguien,24,1,16
1998-01-31,23,Vicente Fernandez,Nos Estorbo La Ropa,20,4,17
1998-01-31,24,Olga Tanon,El Frio De Tu Adios,,24,1
1998-01-31,25,Intocable,Donde Estas?,26,21,14
1998-01-31,26,Limite,Hasta Manana,12,6,15
1998-01-31,27,La Makina,Nadie Se Muere,31,14,10
1998-01-31,28,Millie,Me Equivoque,36,28,2
1998-01-31,29,Banda El Recodo de Cruz Lizarraga,Como El Primer Dia,23,18,10
1998-01-31,30,Jose Jose,El Mas Feliz Del Mundo,28,19,5
1998-01-31,31,Ednita Nazario,Siento Que Te Acabas De Ir,,31,1
1998-01-31,32,Limite,Sentimientos,,32,1
1998-01-31,33,Jerry Rivera,El Amor Nunca Pregunta,27,27,4
1998-01-31,34,Marco Antonio Solis,La Venia Bendita,16,1,17
1998-01-31,35,Los Angeles Azules,Como Te Voy A Olvidar,40,7,24
1998-01-31,36,Alejandro Fernandez,Nube Viajera,33,9,26
1998-01-31,37,Bobby Pulido,Le Pedire,32,28,12
1998-01-31,38,Banda Arkangel R-15,Voy A Pintar Mi Raya,35,27,9
1998-01-31,39,Dinastia Nortena,Acabo De Enterarme,,27,6
1998-01-31,40,Limi-T XXI,Ya Llego,,40,1
1998-02-07,1,Los Temerarios,Por Que Te Conoci,,1,1
1998-02-07,2,Alejandro Fernandez Featuring Gloria Estefan,En El Jardin,1,1,10
1998-02-07,3,Enrique Iglesias,Lluvia Cae,3,3,8
1998-02-07,4,Luis Miguel,Contigo (Estar Contigo),2,2,9
1998-02-07,5,Ana Gabriel,A Pesar De Todos,5,2,14
1998-02-07,6,Alejandro Fernandez,Si Tu Supieras,4,1,21
1998-02-07,7,Celine Dion,My Heart Will Go On,7,7,3
1998-02-07,8,India,Mi Mayor Venganza,18,8,3
1998-02-07,9,Cristian,Si Tu Me Amaras,6,5,9
1998-02-07,10,Alejandro Sanz,Corazon Partio,9,9,3
1998-02-07,11,Olga Tanon,El Frio De Tu Adios,24,11,2
1998-02-07,12,Marco Antonio Solis,Me Vas A Hacer Llorar,10,10,3
1998-02-07,13,Los Tigres del Norte,Con Que Derecho,13,13,4
1998-02-07,14,Juan Gabriel,Asi Fue,16,14,3
1998-02-07,15,Pedro Fernandez,Despacito,14,11,11
1998-02-07,16,Marc Anthony,Si Te Vas,,16,1
1998-02-07,17,Dayanara,Jerigonza,,17,1
1998-02-07,18,Cristian,Lo Mejor De Mi,11,1,22
1998-02-07,19,Victor Manuelle,Asi Es La Mujer,8,7,9
