date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1990-01-06,1,Emmanuel,La Chica De Humo,1,1,11
1990-01-06,2,Los Bukis,Como Fui A Enamorarme De Ti,2,1,20
1990-01-06,3,Isabel Pantoja,Se Me Enamora El Alma,3,3,7
1990-01-06,4,Roberto Carlos,Si Me Vas A Olvidar,4,3,14
1990-01-06,5,Daniela Romo,Quiero Amanecer Con Alguien,5,5,6
1990-01-06,6,Ricardo Montaner,La Cima Del Cielo,6,5,7
1990-01-06,7,Ana Gabriel,No Digas No,7,6,15
1990-01-06,8,Dyango,El Que Mas Te Ha Querido,8,6,15
1990-01-06,9,Chayanne,Fuiste Un Trozo De Hielo En La Escarcha,9,1,14
1990-01-06,10,Marisela,Demasiado Tarde,10,9,5
1990-01-06,11,Gipsy Kings,Vamos A Bailar,11,11,4
1990-01-06,12,Los Yonic's,Frente A Frente,12,10,9
1990-01-06,13,Kaoma,Lambada,13,13,3
1990-01-06,14,Luis Miguel,Separados,14,14,7
1990-01-06,15,Lucerito,Cuentame,15,2,21
1990-01-06,16,Mirian Hernandez,El Hombre Que Yo Amo,16,16,11
1990-01-06,17,Teresa Guerra,Lambada-Llorando Se Fue,17,17,2
1990-01-06,18,Jose Luis Rodriguez,Rodando Caminos,18,8,12
1990-01-06,19,Franco de Vita,Luis,19,7,15
1990-01-06,20,Rocio Durcal,Por Que Tanta Soledad,20,18,10
1990-01-06,21,Lucia Mendez,Nos Aburriremos Juntos,21,16,9
1990-01-06,22,Raphael,"Maravilloso, Corazon, Maravilloso",22,22,3
1990-01-06,23,Frankie Ruiz,Tu Eres,23,22,6
1990-01-06,24,Jose Jose,Piel De Azucar,24,18,27
1990-01-06,25,Vicente Fernandez,Por Tu Maldito Amor,25,10,12
1990-01-06,26,Willy Chirino,Un Artista Famoso,26,26,4
1990-01-06,27,Pablo Ruiz,Hawai,27,14,8
1990-01-06,28,Lissette,Amantes Por Atraccion,28,27,3
1990-01-06,29,Los Bukis,A donde vayas,29,2,27
1990-01-06,30,La Patrulla 15,La Negra,30,24,9
1990-01-06,31,Yuri,No Puedo Mas,31,20,13
1990-01-06,32,Juan Luis Guerra 440,Como Aveja Al Panal,32,32,2
1990-01-06,33,Bronco: El Gigante De America,Un Fin Semana,33,25,8
1990-01-06,34,Los Hispanos,Pide Que Hay,34,34,2
1990-01-06,35,Luis Miguel,Fria como el viento,35,1,19
1990-01-06,36,Franco,Nena,36,30,3
1990-01-06,37,Braulio,Cuando Se Acaba La Magia,37,31,4
1990-01-06,38,Gloria Estefan,Oye Mi Canto,38,20,9
1990-01-06,39,Bronco: El Gigante De America,Que No Quede Huella,39,26,10
1990-01-06,40,Paolo Salvatore,Lambada,40,34,3
1990-01-13,1,Los Bukis,Como Fui A Enamorarme De Ti,2,1,21
1990-01-13,2,Roberto Carlos,Si Me Vas A Olvidar,4,2,15
1990-01-13,3,Isabel Pantoja,Se Me Enamora El Alma,3,3,8
1990-01-13,4,Emmanuel,La Chica De Humo,1,1,12
1990-01-13,5,Daniela Romo,Quiero Amanecer Con Alguien,5,5,7
1990-01-13,6,Ricardo Montaner,La Cima Del Cielo,6,5,8
1990-01-13,7,Dyango,El Que Mas Te Ha Querido,8,6,16
1990-01-13,8,Luis Miguel,Separados,14,8,8
1990-01-13,9,Kaoma,Lambada,13,9,4
1990-01-13,10,Mirian Hernandez,El Hombre Que Yo Amo,16,10,12
1990-01-13,11,Gipsy Kings,Vamos A Bailar,11,11,5
1990-01-13,12,Lucerito,Cuentame,15,2,22
1990-01-13,13,Teresa Guerra,Lambada-Llorando Se Fue,17,13,3
1990-01-13,14,Marisela,Demasiado Tarde,10,9,6
1990-01-13,15,Ana Gabriel,No Digas No,7,6,16
1990-01-13,16,Los Yonic's,Frente A Frente,12,10,10
1990-01-13,17,Chayanne,Fuiste Un Trozo De Hielo En La Escarcha,9,1,15
1990-01-13,18,Raphael,"Maravilloso, Corazon, Maravilloso",22,18,4
1990-01-13,19,Franco de Vita,Luis,19,7,16
1990-01-13,20,Jose Jose,Piel De Azucar,24,18,28
1990-01-13,21,Los Hispanos,Pide Que Hay,34,21,3
1990-01-13,22,Lucia Mendez,Nos Aburriremos Juntos,21,16,10
1990-01-13,23,Angela Carrasco,Ese Hombre Es,,23,1
1990-01-13,24,Gloria Estefan,Si voy a perderte,,1,21
1990-01-13,25,Xuxa,Ilarie,,25,1
1990-01-13,26,Jose Luis Rodriguez,Rodando Caminos,18,8,13
1990-01-13,27,El Gran Combo de Puerto Rico,Mi Nina,,27,1
1990-01-13,28,Jose Nogueras,Para Saludarte,,28,1
1990-01-13,29,Frankie Ruiz,Tu Eres,23,22,7
1990-01-13,30,Vicente Fernandez,Por Tu Maldito Amor,25,10,13
1990-01-13,31,Luis Daniel Rivera/Tony Croatto,Nino Trobador,,31,1
1990-01-13,32,Juan Luis Guerra 440,Como Aveja Al Panal,32,32,3
1990-01-13,33,Lalo Rodriguez,Amame,,33,1
1990-01-13,34,Bronco: El Gigante De America,Que No Quede Huella,39,26,11
1990-01-13,35,Los Caminantes,Tu Nuevo Carinito,,35,1
1990-01-13,36,Paolo Salvatore,Lambada,40,34,4
1990-01-13,37,Rocio Durcal,Por Que Tanta Soledad,20,18,11
1990-01-13,38,Lissette,Amantes Por Atraccion,28,27,4
1990-01-13,39,Bronco: El Gigante De America,Un Fin Semana,33,25,9
