date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1989-01-07,1,Rocio Durcal,Como Tu Mujer,1,1,13
1989-01-07,2,Roberto Carlos,SI EL AMOR SE VA,2,1,14
1989-01-07,3,Angela Carrasco,BOCA ROSA,3,1,19
1989-01-07,4,Yolandita Monge,BORINQUENA,30,4,4
1989-01-07,5,Los Yonic's,TU PRESA FACIL,6,5,7
1989-01-07,6,Gipsy Kings,BAMBOLEO,36,6,3
1989-01-07,7,Lucerito,NO ME HABLEN DE EL,5,5,11
1989-01-07,8,Luis Enrique,Comprendelo,20,8,10
1989-01-07,9,Los Caminantes,ENTRE MAS LEJOS ME VAYA,13,9,13
1989-01-07,10,Eydie Gorme,DE CORAZON A CORAZON,4,4,7
1989-01-07,11,Braulio,UN TIEMPO PARA NOSOTROS,16,11,5
1989-01-07,12,Lucia Mendez,MORIR UN POCO,15,12,5
1989-01-07,13,Chayanne,Tu Pirata Soy Yo,11,11,6
1989-01-07,14,ALBERTO VASQUEZ/JOAN SEBASTIAN,MARACAS,7,5,13
1989-01-07,15,Jorge Muniz,PEGADO AL TELEFONO,8,8,9
1989-01-07,16,Yolandita Monge,ESTE AMOR QUE HAY QUE CALLAR,33,3,22
1989-01-07,17,Tatiana,UN LOBO EN LA NOCHE,10,10,5
1989-01-07,18,Emmanuel,EN LA NOCHE,37,18,3
1989-01-07,19,Mijares,Uno Entre Mil,35,19,3
1989-01-07,20,Bonny Cepeda,AMANTE MIA,12,7,9
1989-01-07,21,Luis Angel,LA UNICA,29,21,6
1989-01-07,22,La Patrulla 15,EL MORENO ESTA,38,22,3
1989-01-07,23,Ricardo Montaner,Tan Enamorados,22,9,23
1989-01-07,24,Yuri,HOMBRES AL BORDE DE UN ATAQUE DE CELOS,,24,1
1989-01-07,25,Nydia Caro,TODOS LOS FUEGOS,21,21,4
1989-01-07,26,Ruben Blades,Juana Mayo,23,23,6
1989-01-07,27,Los Joao,POR RETENERTE,17,17,8
1989-01-07,28,Eddie Santiago,TU ME HACES FALTA,,28,1
1989-01-07,29,Lupita D'Alessio,EL QUE JUEGA CON FUEGO,9,5,15
1989-01-07,30,Ednita Nazario,Aprendere,27,27,3
1989-01-07,31,Glenn Monroig,CAUSA PERDIDA,28,28,5
1989-01-07,32,Ana Gabriel,ES EL AMOR QUE LLEGA,31,31,3
1989-01-07,33,Isabel Pantoja,Asi Fue,18,18,7
1989-01-07,34,Oscar D'Leon,COMUNIQUEMOS,,34,1
1989-01-07,35,Veronica Castro,MALA NOCHE NO,39,6,19
1989-01-07,36,Lucha Villa,GRACIAS AL AMOR,,36,1
1989-01-07,37,Los Hispanos,LAS CAMPANAS DE LA CATEDRAL,,37,1
1989-01-07,38,RUBBEN,ATREVETE,,34,3
1989-01-07,39,Jochi Hernandez,QUE TE PASA,,39,1
1989-01-07,40,Roberto Carlos,MIS AMORES,,40,1
1989-01-14,1,Rocio Durcal,Como Tu Mujer,1,1,14
1989-01-14,2,Angela Carrasco,BOCA ROSA,3,1,20
1989-01-14,3,Roberto Carlos,SI EL AMOR SE VA,2,1,15
1989-01-14,4,Los Yonic's,TU PRESA FACIL,5,4,8
1989-01-14,5,Yolandita Monge,BORINQUENA,4,4,5
1989-01-14,6,Gipsy Kings,BAMBOLEO,6,6,4
1989-01-14,7,Chayanne,Tu Pirata Soy Yo,13,7,7
1989-01-14,8,Lucerito,NO ME HABLEN DE EL,7,5,12
1989-01-14,9,Los Caminantes,ENTRE MAS LEJOS ME VAYA,9,9,14
1989-01-14,10,Eydie Gorme,DE CORAZON A CORAZON,10,4,8
1989-01-14,11,Mijares,Uno Entre Mil,19,11,4
1989-01-14,12,ALBERTO VASQUEZ/JOAN SEBASTIAN,MARACAS,14,5,14
1989-01-14,13,Braulio,UN TIEMPO PARA NOSOTROS,11,11,6
1989-01-14,14,Emmanuel,EN LA NOCHE,18,14,4
1989-01-14,15,Ednita Nazario,Aprendere,30,15,4
1989-01-14,16,Isabel Pantoja,Asi Fue,33,16,8
1989-01-14,17,La Patrulla 15,EL MORENO ESTA,22,17,4
1989-01-14,18,Yuri,HOMBRES AL BORDE DE UN ATAQUE DE CELOS,24,18,2
1989-01-14,19,Luis Enrique,Comprendelo,8,8,11
1989-01-14,20,Tatiana,UN LOBO EN LA NOCHE,17,10,6
1989-01-14,21,Nydia Caro,TODOS LOS FUEGOS,25,21,5
1989-01-14,22,Eddie Santiago,TU ME HACES FALTA,28,22,2
1989-01-14,23,Lupita D'Alessio,EL QUE JUEGA CON FUEGO,29,5,16
1989-01-14,24,Jose Nogueras,HAY FIESTA,,24,1
1989-01-14,25,Yolandita Monge,ESTE AMOR QUE HAY QUE CALLAR,16,3,23
1989-01-14,26,Glenn Monroig,CAUSA PERDIDA,31,26,6
1989-01-14,27,Jochi Hernandez,QUE TE PASA,39,27,2
1989-01-14,28,Roberto Carlos,MIS AMORES,40,28,2
1989-01-14,29,Lucia Mendez,MORIR UN POCO,12,12,6
