date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1988-01-02,1,Jose Luis Rodriguez,Y TU TAMBIEN LLORARAS,1,1,9
1988-01-02,2,Jose Jose,SOY ASI,2,2,6
1988-01-02,3,Beatriz Adriana,La luna sera la luna,3,2,14
1988-01-02,4,Roberto Carlos,Negra,4,3,10
1988-01-02,5,Ana Gabriel,AY AMOR,5,5,7
1988-01-02,6,Jose Feliciano,PONTE A CANTAR,6,5,10
1988-01-02,7,Julio Iglesias,Que no se rompa la noche,7,1,19
1988-01-02,8,Los Yonic's,PETALO Y ESPINAS,8,6,9
1988-01-02,9,Jose Javier Solis,Me estoy volviendo loco,9,9,6
1988-01-02,10,Luis Miguel,Ahora Te Puedes Marchar,10,1,26
1988-01-02,11,Los Lobos,La Bamba,11,1,21
1988-01-02,12,Karina,Se Como Duele,12,12,6
1988-01-02,13,Eddie Santiago,LLUVIA,13,13,6
1988-01-02,14,Danny Rivera,Amar o morir,14,6,13
1988-01-02,15,Alvaro Torres,HAZME OLVIDARLA,15,15,6
1988-01-02,16,Yolandita Monge,Laberinto,16,16,8
1988-01-02,17,Rocio Banquells/Luis Miguel,No Me Puedo Ecapar,17,17,6
1988-01-02,18,Paloma San Basilio,luna de miel,18,14,12
1988-01-02,19,Los Bukis,Tu carcel,19,3,44
1988-01-02,20,Jose Luis Perales,Amada Mia,20,10,11
1988-01-02,21,Wilkins,Margarita,21,4,13
1988-01-02,22,Julio Iglesias,Todo El Amor Que Te Hace Falta,22,20,21
1988-01-02,23,Pandora,Mi Hombre,23,8,17
1988-01-02,24,Maria Conchita Alonso,Otra Mentira Mas,24,24,5
1988-01-02,25,Elio Roca,UNA ROSA Y UNA ESPINA,25,17,12
1988-01-02,26,Brenda K. Starr,DESAYUNO DE AMOR,26,26,3
1988-01-02,27,Nelson Ned,Me Pase De La Cuenta,27,5,22
1988-01-02,28,Vicente Fernandez,QUE NO TE EXTRANE,28,23,7
1988-01-02,29,La Patrulla 15,SI TU ME DICES,29,29,4
1988-01-02,30,Juan Gabriel,DEBO HACERLO,30,30,2
1988-01-02,31,Flans,CORRE CORRE,31,30,8
1988-01-02,32,Franco,Muriendo Aqui,32,24,13
1988-01-02,33,Laura Flores,Desamor,33,33,4
1988-01-02,34,Mijares,No Se Murio El Amor,34,4,21
1988-01-02,35,Sonia Rivas,De Pecho A Pecho,35,25,22
1988-01-02,36,Rocio Durcal,Infidelidad,36,22,8
1988-01-02,37,Fandango USA,"AUTOS, MODA Y ROCK AND ROLL",37,11,15
1988-01-02,38,Bonny Cepeda,CUARTO DE HOTEL 303,38,37,5
1988-01-02,39,Al Bano Y Romina Power,LOVE,39,39,3
1988-01-02,40,Emmanuel,No Te Quites La Ropa,40,6,22
1988-01-02,41,Jose Nogueras,AJA AJU,41,41,2
1988-01-02,42,Los Bukis,Me Volvi A Acordar De Ti,42,26,28
1988-01-02,43,Conjunto Quisqueya,LAMENTO DE SOLTERO,43,28,6
1988-01-02,44,Franco de Vita,Solo Importas Tu,44,8,24
1988-01-02,45,Napoleon,PARA NO PENSAR EN TI,45,30,5
1988-01-02,46,Tommy Olivencia,NO TIRES LA PRIMERA PIEDRA,46,13,12
1988-01-02,47,Vicente Fernandez/Vikki Carr,DOS CORAZONES,47,47,4
1988-01-02,48,Lunna,Fugitivo amante,48,32,9
1988-01-02,49,Grupo El Tiempo,A FUEGO LENTO,49,49,2
1988-01-02,50,Ismael Miranda,Se Acabo El Pan De Piquito,50,50,2
1988-01-09,1,Jose Luis Rodriguez,Y TU TAMBIEN LLORARAS,1,1,10
1988-01-09,2,Roberto Carlos,Negra,4,2,11
1988-01-09,3,Jose Jose,SOY ASI,2,2,7
1988-01-09,4,Beatriz Adriana,La luna sera la luna,3,2,15
1988-01-09,5,Ana Gabriel,AY AMOR,5,5,8
1988-01-09,6,Los Yonic's,PETALO Y ESPINAS,8,6,10
1988-01-09,7,Jose Feliciano,PONTE A CANTAR,6,5,11
1988-01-09,8,Julio Iglesias,Que no se rompa la noche,7,1,20
1988-01-09,9,Jose Javier Solis,Me estoy volviendo loco,9,9,7
1988-01-09,10,Eddie Santiago,LLUVIA,13,10,7
1988-01-09,11,Juan Gabriel,DEBO HACERLO,30,11,3
1988-01-09,12,Luis Miguel,Ahora Te Puedes Marchar,10,1,27
1988-01-09,13,Karina,Se Como Duele,12,12,7
1988-01-09,14,Brenda K. Starr,DESAYUNO DE AMOR,26,14,4
1988-01-09,15,Conjunto Quisqueya,LAMENTO DE SOLTERO,43,15,7
1988-01-09,16,Rocio Banquells/Luis Miguel,No Me Puedo Ecapar,17,16,7
1988-01-09,17,Los Lobos,La Bamba,11,1,22
1988-01-09,18,Danny Rivera,Amar o morir,14,6,14
1988-01-09,19,Los Bukis,Tu carcel,19,3,45
1988-01-09,20,Yolandita Monge,Laberinto,16,16,9
1988-01-09,21,Alvaro Torres,HAZME OLVIDARLA,15,15,7
1988-01-09,22,La Patrulla 15,SI TU ME DICES,29,22,5
1988-01-09,23,Paloma San Basilio,luna de miel,18,14,13
1988-01-09,24,Vicente Fernandez,QUE NO TE EXTRANE,28,23,8
1988-01-09,25,Laura Flores,Desamor,33,25,5
1988-01-09,26,Julio Iglesias,Todo El Amor Que Te Hace Falta,22,20,22
1988-01-09,27,Wilkins,Margarita,21,4,14
1988-01-09,28,Flans,CORRE CORRE,31,28,9
1988-01-09,29,Bonny Cepeda,CUARTO DE HOTEL 303,38,29,6
1988-01-09,30,Vicente Fernandez/Vikki Carr,DOS CORAZONES,47,30,5
1988-01-09,31,Maria Conchita Alonso,Otra Mentira Mas,24,24,6
1988-01-09,32,Franco,Muriendo Aqui,32,24,14
1988-01-09,33,Tommy Olivencia,NO TIRES LA PRIMERA PIEDRA,46,13,13
1988-01-09,34,Pandora,Mi Hombre,23,8,18
1988-01-09,35,Rocio Durcal,Infidelidad,36,22,9
1988-01-09,36,Millie Y Los Vecinos,LA FIESTA,,36,1
1988-01-09,37,Elio Roca,UNA ROSA Y UNA ESPINA,25,17,13
1988-01-09,38,Mijares,No Se Murio El Amor,34,4,22
1988-01-09,39,Al Bano Y Romina Power,LOVE,39,39,4
1988-01-09,40,Sonia Rivas,De Pecho A Pecho,35,25,23
1988-01-09,41,Jose Nogueras,SI NO HAY CUATRO NO ES NAVIDAD,,41,1
1988-01-09,42,Danny Rivera,LA PARRANDA,,42,1
1988-01-09,43,Tinta Blanca,PORQUE EL AMOR ES TAN CRUEL,,43,1
1988-01-09,44,Lunna,Fugitivo amante,48,32,10
1988-01-09,45,Jose Nogueras,AJA AJU,41,41,3
1988-01-09,46,JOHNNY VENTURA/SOPHY,NO LO DEJES CAER,,42,2
1988-01-09,47,Napoleon,PARA NO PENSAR EN TI,45,30,6
1988-01-09,48,Los Hermanos Mier,La Coloreteada,,27,9
1988-01-09,49,Jose Luis Perales,Amada Mia,20,10,12
1988-01-09,50,SALVADOR'S/BERTA ALICIA,COMO TE VA,,50,1
1988-01-16,1,Jose Jose,SOY ASI,3,1,8
1988-01-16,2,Jose Luis Rodriguez,Y TU TAMBIEN LLORARAS,1,1,11
1988-01-16,3,Roberto Carlos,Negra,2,2,12
1988-01-16,4,Ana Gabriel,AY AMOR,5,4,9
1988-01-16,5,Beatriz Adriana,La luna sera la luna,4,2,16
1988-01-16,6,Los Yonic's,PETALO Y ESPINAS,6,6,11
1988-01-16,7,Jose Javier Solis,Me estoy volviendo loco,9,7,8
1988-01-16,8,Jose Feliciano,PONTE A CANTAR,7,5,12
1988-01-16,9,Eddie Santiago,LLUVIA,10,9,8
1988-01-16,10,Julio Iglesias,Que no se rompa la noche,8,1,21
1988-01-16,11,Juan Gabriel,DEBO HACERLO,11,11,4
1988-01-16,12,Alvaro Torres,HAZME OLVIDARLA,21,12,8
1988-01-16,13,Brenda K. Starr,DESAYUNO DE AMOR,14,13,5
1988-01-16,14,Rocio Banquells/Luis Miguel,No Me Puedo Ecapar,16,14,8
1988-01-16,15,Luis Miguel,Ahora Te Puedes Marchar,12,1,28
1988-01-16,16,Los Lobos,La Bamba,17,1,23
1988-01-16,17,Los Bukis,Tu carcel,19,3,46
1988-01-16,18,Karina,Se Como Duele,13,12,8
1988-01-16,19,Conjunto Quisqueya,LAMENTO DE SOLTERO,15,15,8
1988-01-16,20,Danny Rivera,Amar o morir,18,6,15
1988-01-16,21,Laura Flores,Desamor,25,21,6
1988-01-16,22,Paloma San Basilio,luna de miel,23,14,14
1988-01-16,23,Lissette,GENTE,,23,1
1988-01-16,24,Julio Iglesias,Todo El Amor Que Te Hace Falta,26,20,23
1988-01-16,25,La Patrulla 15,SI TU ME DICES,22,22,6
1988-01-16,26,Bonny Cepeda,CUARTO DE HOTEL 303,29,26,7
1988-01-16,27,Maria Conchita Alonso,Otra Mentira Mas,31,24,7
1988-01-16,28,Vicente Fernandez/Vikki Carr,DOS CORAZONES,30,28,6
1988-01-16,29,Danny Rivera,LA PARRANDA,42,29,2
1988-01-16,30,Yolandita Monge,Laberinto,20,16,10
1988-01-16,31,Tommy Olivencia,NO TIRES LA PRIMERA PIEDRA,33,13,14
1988-01-16,32,Vicente Fernandez,QUE NO TE EXTRANE,24,23,9
1988-01-16,33,JOHNNY VENTURA/SOPHY,NO LO DEJES CAER,46,33,3
1988-01-16,34,Jose Nogueras,SI NO HAY CUATRO NO ES NAVIDAD,41,34,2
1988-01-16,35,Al Bano Y Romina Power,LOVE,39,35,5
1988-01-16,36,Jose Nogueras,AJA AJU,45,36,4
1988-01-16,37,Emmanuel,LUCES DE BOHEMIA,,37,1
1988-01-16,38,Pandora,Mi Hombre,34,8,19
1988-01-16,39,Wilkins,Margarita,27,4,15
1988-01-16,40,Jose Luis Rodriguez,SUENO CONTIGO,,40,1
1988-01-16,41,Millie Y Los Vecinos,LA FIESTA,36,36,2
1988-01-16,42,Lunna,Fugitivo amante,44,32,11
1988-01-16,43,Roberto Lugo,NOS AMAMOS,,43,1
1988-01-16,44,Marisela Verena,RAICES,,44,1
1988-01-16,45,Flans,CORRE CORRE,28,28,10
1988-01-16,46,Napoleon,PARA NO PENSAR EN TI,47,30,7
1988-01-16,47,Wilfrido Vargas,A MOVER LA COLITA,,47,1
1988-01-16,48,Franco,Muriendo Aqui,32,24,15
1988-01-16,49,Mijares,No Se Murio El Amor,38,4,23
1988-01-16,50,Elio Roca,UNA ROSA Y UNA ESPINA,37,17,14
1988-01-23,1,Ana Gabriel,AY AMOR,4,1,10
1988-01-23,2,Jose Jose,SOY ASI,1,1,9
1988-01-23,3,Jose Luis Rodriguez,Y TU TAMBIEN LLORARAS,2,1,12
1988-01-23,4,Beatriz Adriana,La luna sera la luna,5,2,17
1988-01-23,5,Roberto Carlos,Negra,3,2,13
1988-01-23,6,Eddie Santiago,LLUVIA,9,6,9
1988-01-23,7,Juan Gabriel,DEBO HACERLO,11,7,5
1988-01-23,8,Jose Feliciano,PONTE A CANTAR,8,5,13
1988-01-23,9,Jose Javier Solis,Me estoy volviendo loco,7,7,9
1988-01-23,10,Los Yonic's,PETALO Y ESPINAS,6,6,12
1988-01-23,11,Alvaro Torres,HAZME OLVIDARLA,12,11,9
1988-01-23,12,Julio Iglesias,Que no se rompa la noche,10,1,22
1988-01-23,13,Brenda K. Starr,DESAYUNO DE AMOR,13,13,6
1988-01-23,14,Karina,Se Como Duele,18,12,9
1988-01-23,15,Vicente Fernandez/Vikki Carr,DOS CORAZONES,28,15,7
1988-01-23,16,Flans,CORRE CORRE,45,16,11
1988-01-23,17,Yolandita Monge,Laberinto,30,16,11
1988-01-23,18,Lissette,GENTE,23,18,2
1988-01-23,19,Los Bukis,Tu carcel,17,3,47
1988-01-23,20,Julio Iglesias,Todo El Amor Que Te Hace Falta,24,20,24
1988-01-23,21,Laura Flores,Desamor,21,21,7
1988-01-23,22,Luis Miguel,Ahora Te Puedes Marchar,15,1,29
1988-01-23,23,Los Lobos,La Bamba,16,1,24
1988-01-23,24,Paloma San Basilio,luna de miel,22,14,15
1988-01-23,25,Rocio Durcal,CON TODO Y MI TRISTEZA,,25,1
1988-01-23,26,Danny Rivera,Amar o morir,20,6,16
1988-01-23,27,JOHNNY VENTURA/SOPHY,NO LO DEJES CAER,33,27,4
1988-01-23,28,La Patrulla 15,SI TU ME DICES,25,22,7
1988-01-23,29,Maria Conchita Alonso,Otra Mentira Mas,27,24,8
1988-01-23,30,Rocio Banquells/Luis Miguel,No Me Puedo Ecapar,14,14,9
1988-01-23,31,Joan Sebastian,MASCARADA,,31,1
1988-01-23,32,Millie Y Los Vecinos,LA FIESTA,41,32,3
1988-01-23,33,Tommy Olivencia,NO TIRES LA PRIMERA PIEDRA,31,13,15
1988-01-23,34,Luis Angel,DAME TU AMOR,,34,1
1988-01-23,35,Conjunto Quisqueya,LAMENTO DE SOLTERO,19,15,9
1988-01-23,36,Wilfrido Vargas,A MOVER LA COLITA,47,36,2
1988-01-23,37,Nelson Ned,LA REVANCHA,,37,1
1988-01-23,38,Lunna,Fugitivo amante,42,32,12
1988-01-23,39,Karina,A Quien,,39,1
1988-01-23,40,Los Joao,LA PUERTA DE ALCALA,,40,1
1988-01-23,41,Sonia Rivas,De Pecho A Pecho,,25,24
1988-01-23,42,Napoleon,PARA NO PENSAR EN TI,46,30,8
1988-01-23,43,Marisela Verena,RAICES,44,43,2
1988-01-23,44,Sergio Facchelli,CORAZON CAUTIVO,,44,1
1988-01-23,45,Maria Sorte,SOLO QUIERO CONTIGO,,45,1
1988-01-23,46,Roberto Lugo,NOS AMAMOS,43,43,2
1988-01-23,47,Jose Nogueras,AJA AJU,36,36,5
1988-01-23,48,Wilkins,Margarita,39,4,16
1988-01-23,49,Los Grecos,PREGUNTATE,,49,1
1988-01-23,50,Jose Augusto,DEJATE LLEVAR,,50,1
1988-01-30,1,Ana Gabriel,AY AMOR,1,1,11
1988-01-30,2,Jose Jose,SOY ASI,2,1,10
1988-01-30,3,Jose Luis Rodriguez,Y TU TAMBIEN LLORARAS,3,1,13
1988-01-30,4,Jose Javier Solis,Me estoy volviendo loco,9,4,10
1988-01-30,5,Juan Gabriel,DEBO HACERLO,7,5,6
1988-01-30,6,Roberto Carlos,Negra,5,2,14
1988-01-30,7,Eddie Santiago,LLUVIA,6,6,10
1988-01-30,8,Beatriz Adriana,La luna sera la luna,4,2,18
1988-01-30,9,Los Yonic's,PETALO Y ESPINAS,10,6,13
1988-01-30,10,Brenda K. Starr,DESAYUNO DE AMOR,13,10,7
1988-01-30,11,Flans,CORRE CORRE,16,11,12
1988-01-30,12,Jose Feliciano,PONTE A CANTAR,8,5,14
1988-01-30,13,Julio Iglesias,Que no se rompa la noche,12,1,23
1988-01-30,14,Karina,Se Como Duele,14,12,10
1988-01-30,15,Vicente Fernandez/Vikki Carr,DOS CORAZONES,15,15,8
1988-01-30,16,Lissette,GENTE,18,16,3
