date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1987-01-03,1,Daniela Romo,De mi enamorate,1,1,11
1987-01-03,2,Jose Jose,y quien puede ser,2,1,12
1987-01-03,3,Prisma,De color de rosa,3,3,12
1987-01-03,4,Joan Sebastian & Prisma,Oiga,4,4,16
1987-01-03,5,Rocio Durcal,Quedate conmigo esta noche,5,5,16
1987-01-03,6,Marisela,Tu dama de hierro,6,6,8
1987-01-03,7,Braulio,Juguete de nadie,7,7,7
1987-01-03,8,Beatriz Adriana,Hasta cuando,8,5,16
1987-01-03,9,Ednita Nazario,Tu sin mi,9,9,9
1987-01-03,10,Pandora,Solo el y yo,10,3,16
1987-01-03,11,Flans,Timido,11,11,9
1987-01-03,12,Basilio,Vivir lo nuestro,12,12,9
1987-01-03,13,Dyango y Rocio Durcal,La hora del adios,13,13,5
1987-01-03,14,Emmanuel,Toda la vida,14,1,16
1987-01-03,15,Jose Feliciano,Se me sigue olvidando,15,6,15
1987-01-03,16,Franco,Toda la vida,16,1,16
1987-01-03,17,Lucerito,Era la primera vez,17,17,11
1987-01-03,18,Los Yonic's,Corazon vacio,18,6,16
1987-01-03,19,Andy Montanez,Me la estas poniendo dificil,19,19,7
1987-01-03,20,Los Bukis,Este adios,20,20,6
1987-01-03,21,Camilo Sesto,Me la estas poniendo dificil,21,9,16
1987-01-03,22,Juan Gabriel,Que lastima,22,20,5
1987-01-03,23,Carmin,Otra semana,23,16,13
1987-01-03,24,Juan Gabriel,Yo no se que me paso,24,1,17
1987-01-03,25,Jose Medina,Y me decidi,25,25,7
1987-01-03,26,Bobby Valentin,El senor de la senora,26,23,8
1987-01-03,27,Rocio Durcal,La guirnalda,27,1,17
1987-01-03,28,Angelica Maria,El hombre de mi vida,28,28,2
1987-01-03,29,Miami Sound Machine,No me vuelvo a enamorar,29,17,13
1987-01-03,30,La Hermandad,Ven a cantar,30,28,3
1987-01-03,31,Valeria Lynch,Fuera de mi vida,31,25,10
1987-01-03,32,Maria Conchita Alonso,Sueltame,32,27,5
1987-01-03,33,Roberto Carlos,De corazon a corazon,33,7,16
1987-01-03,34,Jose Nogueras,No quieren parar,34,34,2
1987-01-03,35,La Patrulla,Ojo aja,35,35,4
1987-01-03,36,Pedro Pardo,Celos,36,33,6
1987-01-03,37,The New York Band,Cole,37,17,16
1987-01-03,38,Lissette,Fuga,38,38,4
1987-01-03,39,Juan Gabriel,Hasta Que Te Conoci,39,39,2
1987-01-03,40,Lupita D'Alessio,Te Estas Pasando,40,40,2
1987-01-03,41,Jorge Rigo,No renunciare,41,15,16
1987-01-03,42,The New York Band,Si tu eres mi hombre,42,42,2
1987-01-03,43,Johnny Ventura,Olvida tus penas,43,43,2
1987-01-03,44,Isabel Pantoja,Hoy quiero confesarme,44,40,9
1987-01-03,45,Little Joe,Mi nena,45,45,4
1987-01-03,46,El Gran Combo de Puerto Rico,Garantia,46,13,15
1987-01-03,47,Veronica Castro,Macumba,47,47,2
1987-01-03,48,Mario Pintor,Adios que te vaya bien,48,38,11
1987-01-03,49,Wilkins,Si yo fuera mujer,49,44,3
1987-01-03,50,Lissette,Eva,50,7,16
1987-01-10,1,Daniela Romo,De mi enamorate,1,1,12
1987-01-10,2,Jose Jose,y quien puede ser,2,1,13
1987-01-10,3,Prisma,De color de rosa,3,3,13
1987-01-10,4,Marisela,Tu dama de hierro,6,4,9
1987-01-10,5,Joan Sebastian & Prisma,Oiga,4,4,17
1987-01-10,6,Rocio Durcal,Quedate conmigo esta noche,5,5,17
1987-01-10,7,Dyango y Rocio Durcal,La hora del adios,13,7,6
1987-01-10,8,Pandora,Solo el y yo,10,3,17
1987-01-10,9,Flans,Timido,11,9,10
1987-01-10,10,Beatriz Adriana,Hasta cuando,8,5,17
1987-01-10,11,Basilio,Vivir lo nuestro,12,11,10
1987-01-10,12,Ednita Nazario,Tu sin mi,9,9,10
1987-01-10,13,Braulio,Juguete de nadie,7,7,8
1987-01-10,14,Franco,Toda la vida,16,1,17
1987-01-10,15,Andy Montanez,Me la estas poniendo dificil,19,15,8
1987-01-10,16,Los Bukis,Este adios,20,16,7
1987-01-10,17,Angelica Maria,El hombre de mi vida,28,17,3
1987-01-10,18,Miami Sound Machine,No me vuelvo a enamorar,29,17,14
1987-01-10,19,Juan Gabriel,Que lastima,22,19,6
1987-01-10,20,Juan Gabriel,Yo no se que me paso,24,1,18
1987-01-10,21,Jose Feliciano,Se me sigue olvidando,15,6,16
1987-01-10,22,Carmin,Otra semana,23,16,14
1987-01-10,23,Emmanuel,Toda la vida,14,1,17
1987-01-10,24,Lucerito,Era la primera vez,17,17,12
1987-01-10,25,Los Yonic's,Corazon vacio,18,6,17
1987-01-10,26,Camilo Sesto,Me la estas poniendo dificil,21,9,17
1987-01-10,27,La Hermandad,Ven a cantar,30,27,4
1987-01-10,28,Maria Conchita Alonso,Sueltame,32,27,6
1987-01-10,29,Jose Medina,Y me decidi,25,25,8
1987-01-10,30,Rocio Durcal,La guirnalda,27,1,18
1987-01-10,31,Valeria Lynch,Fuera de mi vida,31,25,11
1987-01-10,32,Lupita D'Alessio,Te Estas Pasando,40,32,3
1987-01-10,33,Roberto Carlos,De corazon a corazon,33,7,17
1987-01-10,34,Emmanuel,Es mi mujer,,34,1
1987-01-10,35,Pedro Pardo,Celos,36,33,7
1987-01-10,36,La Patrulla,Ojo aja,35,35,5
1987-01-10,37,Bobby Valentin,El senor de la senora,26,23,9
1987-01-10,38,Lissette,Fuga,38,38,5
1987-01-10,39,Juan Gabriel,Hasta Que Te Conoci,39,39,3
1987-01-10,40,The New York Band,Si tu eres mi hombre,42,40,3
1987-01-10,41,Johnny Ventura,Olvida tus penas,43,41,3
1987-01-10,42,The New York Band,Cole,37,17,17
1987-01-10,43,Jorge Rigo,No renunciare,41,15,17
1987-01-10,44,Jose Nogueras,No quieren parar,34,34,3
1987-01-10,45,Isabel Pantoja,Hoy quiero confesarme,44,40,10
1987-01-10,46,Wilkins,Si yo fuera mujer,49,44,4
1987-01-10,47,Veronica Castro,Macumba,47,47,3
1987-01-10,48,Little Joe,Mi nena,45,45,5
1987-01-10,49,Mario Pintor,Adios que te vaya bien,48,38,12
