date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1993-01-02,1,Ricardo Montaner,Castillo Azul,1,1,6
1993-01-02,2,Braulio,Que Tentacion,2,2,11
1993-01-02,3,Daniela Romo,Para Que Te Quedes Conmigo,3,1,12
1993-01-02,4,Chayanne,Provocame,4,4,9
1993-01-02,5,Emmanuel,Magdalena,5,5,10
1993-01-02,6,Paulina Rubio,Mio,6,6,6
1993-01-02,7,Jose Jose,40 Y 20,7,7,6
1993-01-02,8,Pandora,Matandome Suavemente,8,3,12
1993-01-02,9,Ana Gabriel,Silueta,9,9,7
1993-01-02,10,La Mafia,Dile,10,10,5
1993-01-02,11,Bronco: El Gigante De America,Adoro,11,9,7
1993-01-02,12,Frankie Ruiz,Bailando,12,10,7
1993-01-02,13,Gloria Trevi,Con Los Ojos Cerrados,13,13,7
1993-01-02,14,Ednita Nazario,Tanto Nos Amamos,14,14,7
1993-01-02,15,Alvaro Torres,Te Olvidare,15,13,5
1993-01-02,16,Myriam Hernandez,Si No Fueras Tu,16,8,13
1993-01-02,17,Jon Secada,Cree En Nuestro Amor,17,17,3
1993-01-02,18,Jose Luis Rodriguez,Vale La Pena Volver,18,18,6
1993-01-02,19,Yolandita Monge,Cara De Angel,19,19,8
1993-01-02,20,Los Temerarios,Extranandote,20,18,8
1993-01-02,21,Sergio Vargas,La Ventanita,21,13,10
1993-01-02,22,Juan Luis Guerra 440,El Costo De La Vida,22,22,3
1993-01-02,23,Gilberto Santa Rosa,En La Soledad,23,19,7
1993-01-02,24,Jerry Rivera,Cuenta Conmigo,24,24,4
1993-01-02,25,Gipsy Kings,Quiero Saber,25,25,3
1993-01-02,26,"Jose Alberto ""El Canario""",Disculpeme Senora,26,26,4
1993-01-02,27,Selena,Que Creias,27,27,6
1993-01-02,28,Tony Vega,Aparentemente,28,28,2
1993-01-02,29,H2o,Nena,29,29,4
1993-01-02,30,Las Chicas del Can,Hacer El Amor Con Otro,30,30,4
1993-01-02,31,Rocio Durcal,Como Amigos,31,27,8
1993-01-02,32,Gustavo Alarco,Fue La Noche,32,32,2
1993-01-02,33,Banda Machos,Sangre De Indio,33,33,2
1993-01-02,34,Mijares,Quizas Quizas Quizas,34,25,7
1993-01-02,35,Jose Feliciano,Venga La Esperanza,35,35,3
1993-01-02,36,The Barrio Boyzz,Muy Suavemente,36,36,2
1993-01-02,37,Luis Miguel,"America, America",37,20,13
1993-01-02,38,Marisela,Te Devuelvo Tu Apellido,38,38,2
1993-01-02,39,Cristian,No Podras,39,3,24
1993-01-02,40,Jon Secada,Angel,40,1,19
1993-01-09,1,Ricardo Montaner,Castillo Azul,1,1,7
1993-01-09,2,Daniela Romo,Para Que Te Quedes Conmigo,3,1,13
1993-01-09,3,Braulio,Que Tentacion,2,2,12
1993-01-09,4,Chayanne,Provocame,4,4,10
1993-01-09,5,Emmanuel,Magdalena,5,5,11
1993-01-09,6,Paulina Rubio,Mio,6,6,7
1993-01-09,7,Jose Jose,40 Y 20,7,7,7
1993-01-09,8,Bronco: El Gigante De America,Adoro,11,8,8
1993-01-09,9,La Mafia,Dile,10,9,6
1993-01-09,10,Ana Gabriel,Silueta,9,9,8
1993-01-09,11,Pandora,Matandome Suavemente,8,3,13
1993-01-09,12,Frankie Ruiz,Bailando,12,10,8
1993-01-09,13,Gloria Trevi,Con Los Ojos Cerrados,13,13,8
1993-01-09,14,Alvaro Torres,Te Olvidare,15,13,6
1993-01-09,15,Ednita Nazario,Tanto Nos Amamos,14,14,8
1993-01-09,16,Jon Secada,Cree En Nuestro Amor,17,16,4
1993-01-09,17,Juan Luis Guerra 440,El Costo De La Vida,22,17,4
1993-01-09,18,Los Temerarios,Extranandote,20,18,9
1993-01-09,19,Myriam Hernandez,Si No Fueras Tu,16,8,14
1993-01-09,20,Yolandita Monge,Cara De Angel,19,19,9
1993-01-09,21,Gilberto Santa Rosa,En La Soledad,23,19,8
1993-01-09,22,Tony Vega,Aparentemente,28,22,3
1993-01-09,23,"Jose Alberto ""El Canario""",Disculpeme Senora,26,23,5
1993-01-09,24,Jose Luis Rodriguez,Vale La Pena Volver,18,18,7
1993-01-09,25,Jerry Rivera,Cuenta Conmigo,24,24,5
1993-01-09,26,Selena,Que Creias,27,26,7
1993-01-09,27,Gipsy Kings,Quiero Saber,25,25,4
1993-01-09,28,Jose Feliciano,Venga La Esperanza,35,28,4
1993-01-09,29,Sergio Vargas,La Ventanita,21,13,11
1993-01-09,30,Gustavo Alarco,Fue La Noche,32,30,3
1993-01-09,31,Kiara,Que Suba La Temperatura,,31,1
1993-01-09,32,Marisela,Te Devuelvo Tu Apellido,38,32,3
