date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1996-01-06,1,Gloria Estefan,Mas Alla,2,1,5
1996-01-06,2,Enrique Iglesias,Si Tu Te Vas,1,1,13
1996-01-06,3,Pete Astudillo,Como Te Extrano,3,3,12
1996-01-06,4,Bronco: El Gigante De America,Todo Por Ti,5,4,7
1996-01-06,5,Cristian,Vuelveme A Querer,4,2,17
1996-01-06,6,Luis Miguel,Amaneci En Tus Brazos,8,6,4
1996-01-06,7,Liberacion,Enamorado De Un Fantasma,11,7,4
1996-01-06,8,Jose Jose,Llora Corazon,7,7,10
1996-01-06,9,Ricky Martin,Maria,9,9,5
1996-01-06,10,Marco Antonio Solis y Los Bukis,Himno A La Humildad,6,6,5
1996-01-06,11,Los Rehenes,Me Pides Tu Libertad,10,7,10
1996-01-06,12,David Lee Garza y Los Musicales,Tonta,17,12,12
1996-01-06,13,Pedro Fernandez,Quien,25,13,3
1996-01-06,14,Mazz,Estupido Romantico,21,6,17
1996-01-06,15,Selena,Dreaming Of You,12,11,8
1996-01-06,16,Michael Salgado,Si Quisieras,20,16,6
1996-01-06,17,Marc Anthony,Nadie Como Ella,13,13,8
1996-01-06,18,Los Temerarios,La Mujer De Los Dos,15,8,7
1996-01-06,19,Luis Miguel,Si Nos Dejan,14,1,16
1996-01-06,20,Los Tigres del Norte,Golpes En El Corazon,16,2,21
1996-01-06,21,Los Tigres del Norte,No Puedo Mas,24,19,5
1996-01-06,22,Danny Rivera,Todavia Es Navidad,,22,1
1996-01-06,23,Thalia,Piel Morena,22,7,17
1996-01-06,24,Rocio Durcal,Como Han Pasado Los Anos,19,17,9
1996-01-06,25,Vicente Fernandez,Sufriendo Y Penando,36,25,2
1996-01-06,26,Sparx,Quiero Volver El Tiempo A Tras,23,17,7
1996-01-06,27,Yolandita Monge,"Tu, Tu, Tu, Tu",18,17,4
1996-01-06,28,Los Bukis,Navidad Sin Ti,,13,4
1996-01-06,29,Jose Manuel Figueroa,Expulsado Del Paraiso,35,13,9
1996-01-06,30,Ram Herrera,Ahora Dile,33,30,7
1996-01-06,31,Olga Tanon,Exitos Y Mas,28,28,3
1996-01-06,32,Intocable,Coqueta,,32,1
1996-01-06,33,Fama,Lagrimas De Alegria,27,27,3
1996-01-06,34,Los Tigres del Norte,Que De Raro Tiene,,34,1
1996-01-06,35,Trulla Express,Pasteles Y Lechon,,35,1
1996-01-06,36,Selena,Tu Solo Tu,31,1,26
1996-01-06,37,Iridian,Senor Locutor,40,36,5
1996-01-06,38,Los Fugitivos,Ilusiones,,38,1
1996-01-06,39,Madonna,You'll See,39,39,2
1996-01-06,40,Bobby Pulido,No Se Por Que,32,32,4
1996-01-13,1,Enrique Iglesias,Si Tu Te Vas,2,1,14
1996-01-13,2,Pete Astudillo,Como Te Extrano,3,2,13
1996-01-13,3,Bronco: El Gigante De America,Todo Por Ti,4,3,8
1996-01-13,4,Gloria Estefan,Mas Alla,1,1,6
1996-01-13,5,Liberacion,Enamorado De Un Fantasma,7,5,5
1996-01-13,6,Luis Miguel,Amaneci En Tus Brazos,6,6,5
1996-01-13,7,Cristian,Vuelveme A Querer,5,2,18
1996-01-13,8,David Lee Garza y Los Musicales,Tonta,12,8,13
1996-01-13,9,Ricky Martin,Maria,9,9,6
1996-01-13,10,Jose Jose,Llora Corazon,8,7,11
1996-01-13,11,Pedro Fernandez,Quien,13,11,4
1996-01-13,12,Mazz,Estupido Romantico,14,6,18
1996-01-13,13,Michael Salgado,Si Quisieras,16,13,7
1996-01-13,14,Los Temerarios,La Mujer De Los Dos,18,8,8
1996-01-13,15,Marco Antonio Solis y Los Bukis,Himno A La Humildad,10,6,6
1996-01-13,16,Los Tigres del Norte,Golpes En El Corazon,20,2,22
1996-01-13,17,Los Rehenes,Me Pides Tu Libertad,11,7,11
1996-01-13,18,Selena,Dreaming Of You,15,11,9
1996-01-13,19,Thalia,Piel Morena,23,7,18
1996-01-13,20,Luis Miguel,Si Nos Dejan,19,1,17
1996-01-13,21,Rocio Durcal,Como Han Pasado Los Anos,24,17,10
1996-01-13,22,Los Tigres del Norte,No Puedo Mas,21,19,6
1996-01-13,23,Danny Rivera,Todavia Es Navidad,22,22,2
1996-01-13,24,Madonna,You'll See,39,24,3
1996-01-13,25,Fama,Lagrimas De Alegria,33,25,4
1996-01-13,26,Intocable,Coqueta,32,26,2
1996-01-13,27,Ram Herrera,Ahora Dile,30,27,8
1996-01-13,28,Banda Machos,Te Lo Debo A Ti,,28,3
1996-01-13,29,Vicente Fernandez,Sufriendo Y Penando,25,25,3
1996-01-13,30,Alejandro Fernandez,Paso Del Norte,,30,1
1996-01-13,31,Jose Manuel Figueroa,Expulsado Del Paraiso,29,13,10
1996-01-13,32,Michael Salgado,Cruz De Madera,,29,9
1996-01-13,33,Los Tigres del Norte,Que De Raro Tiene,34,33,2
1996-01-13,34,Sparx,Quiero Volver El Tiempo A Tras,26,17,8
1996-01-13,35,Yolandita Monge,"Tu, Tu, Tu, Tu",27,17,5
1996-01-13,36,Marc Anthony,Nadie Como Ella,17,13,9
1996-01-13,37,Olga Tanon,Exitos Y Mas,31,28,4
1996-01-13,38,Jay Perez,Hoy Soy Feliz,,26,7
1996-01-13,39,Iridian,Senor Locutor,37,36,6
1996-01-13,40,Bobby Pulido,No Se Por Que,40,32,5
1996-01-20,1,Enrique Iglesias,Si Tu Te Vas,1,1,15
1996-01-20,2,Pete Astudillo,Como Te Extrano,2,2,14
1996-01-20,3,Cristian,Amor,,3,1
1996-01-20,4,Bronco: El Gigante De America,Todo Por Ti,3,3,9
1996-01-20,5,Luis Miguel,Amaneci En Tus Brazos,6,5,6
1996-01-20,6,Liberacion,Enamorado De Un Fantasma,5,5,6
1996-01-20,7,Ricky Martin,Maria,9,7,7
1996-01-20,8,Michael Salgado,Si Quisieras,13,8,8
1996-01-20,9,Pedro Fernandez,Quien,11,9,5
1996-01-20,10,Cristian,Vuelveme A Querer,7,2,19
1996-01-20,11,La Mafia,Un Millon De Rosas,,11,1
1996-01-20,12,Gloria Estefan,Tres Deseos,,12,1
1996-01-20,13,David Lee Garza y Los Musicales,Tonta,8,8,14
1996-01-20,14,Mazz,Estupido Romantico,12,6,19
1996-01-20,15,Los Temerarios,La Mujer De Los Dos,14,8,9
1996-01-20,16,Jerry Rivera,Suave,,16,1
1996-01-20,17,Olga Tanon,Exitos Y Mas,37,17,5
1996-01-20,18,Jose Jose,Llora Corazon,10,7,12
1996-01-20,19,Gisselle,Lo Mio Es Mio,,19,1
1996-01-20,20,Intocable,Coqueta,26,20,3
1996-01-20,21,Madonna,You'll See,24,21,4
1996-01-20,22,Selena,Dreaming Of You,18,11,10
1996-01-20,23,Los Rehenes,Me Pides Tu Libertad,17,7,12
1996-01-20,24,Banda Machos,Te Lo Debo A Ti,28,24,4
1996-01-20,25,Thalia,Piel Morena,19,7,19
1996-01-20,26,Fama,Lagrimas De Alegria,25,25,5
1996-01-20,27,Giro,Mi Forma De Sentir,,27,1
1996-01-20,28,Los Tigres del Norte,No Puedo Mas,22,19,7
1996-01-20,29,Alejandro Fernandez,Paso Del Norte,30,29,2
1996-01-20,30,Los Fugitivos,Ilusiones,,30,2
1996-01-20,31,Rocio Durcal,Como Han Pasado Los Anos,21,17,11
1996-01-20,32,Yolandita Monge,"Tu, Tu, Tu, Tu",35,17,6
1996-01-20,33,Gloria Estefan,Mas Alla,4,1,7
1996-01-20,34,Jay Perez,Hoy Soy Feliz,38,26,8
1996-01-20,35,Marco Antonio Solis y Los Bukis,Himno A La Humildad,15,6,7
1996-01-20,36,Stephanie Lynn & High Energy,Nada,,36,1
1996-01-20,37,Los Tigres del Norte,Golpes En El Corazon,16,2,23
1996-01-20,38,Vicente Fernandez,Sufriendo Y Penando,29,25,4
1996-01-20,39,Luis Miguel,Si Nos Dejan,20,1,18
1996-01-20,40,Ram Herrera,Ahora Dile,27,27,9
1996-01-27,1,Enrique Iglesias,Si Tu Te Vas,1,1,16
1996-01-27,2,Cristian,Amor,3,2,2
1996-01-27,3,La Mafia,Un Millon De Rosas,11,3,2
1996-01-27,4,Pete Astudillo,Como Te Extrano,2,2,15
1996-01-27,5,Liberacion,Enamorado De Un Fantasma,6,5,7
1996-01-27,6,Luis Miguel,Amaneci En Tus Brazos,5,5,7
1996-01-27,7,Ricky Martin,Maria,7,7,8
1996-01-27,8,Bronco: El Gigante De America,Todo Por Ti,4,3,10
1996-01-27,9,Pedro Fernandez,Quien,9,9,6
1996-01-27,10,Michael Salgado,Si Quisieras,8,8,9
1996-01-27,11,Giro,Mi Forma De Sentir,27,11,2
1996-01-27,12,David Lee Garza y Los Musicales,Tonta,13,8,15
1996-01-27,13,Olga Tanon,Exitos Y Mas,17,13,6
1996-01-27,14,Intocable,Coqueta,20,14,4
1996-01-27,15,Los Temerarios,La Mujer De Los Dos,15,8,10
1996-01-27,16,Gisselle,Lo Mio Es Mio,19,16,2
1996-01-27,17,Jerry Rivera,Suave,16,16,2
1996-01-27,18,Los Tigres del Norte,No Puedo Mas,28,18,8
1996-01-27,19,Cristian,Vuelveme A Querer,10,2,20
1996-01-27,20,Jose Jose,Llora Corazon,18,7,13
1996-01-27,21,Fama,Lagrimas De Alegria,26,21,6
1996-01-27,22,Gloria Estefan,Tres Deseos,12,12,2
1996-01-27,23,Marco Antonio Solis y Los Bukis,Por Amor A Mi Pueblo,,23,1
1996-01-27,24,Mazz,Estupido Romantico,14,6,20
1996-01-27,25,Lorenzo Antonio,Amandote,,25,1
1996-01-27,26,Banda Machos,Te Lo Debo A Ti,24,24,5
1996-01-27,27,Stephanie Lynn & High Energy,Nada,36,27,2
1996-01-27,28,Guardianes del Amor,Ya Lo Se Todo,,28,1
