date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1980-01-05,1,KC And The Sunshine Band,Please Don't Go,2,1,20
1980-01-05,2,Rupert Holmes,Escape (The Pina Colada Song),1,1,12
1980-01-05,3,Michael Jackson,Rock With You,11,3,10
1980-01-05,4,Stevie Wonder,Send One Your Love,4,4,10
1980-01-05,5,Captain & Tennille,Do That To Me One More Time,6,5,12
1980-01-05,6,Styx,Babe,3,1,14
1980-01-05,7,Commodores,Still,5,1,15
1980-01-05,8,Kenny Rogers,Coward Of The County,22,8,8
1980-01-05,9,Kool & The Gang,Ladies Night,9,9,14
1980-01-05,10,Cliff Richard,We Don't Talk Anymore,13,10,12
1980-01-05,11,Little River Band,Cool Change,12,11,12
1980-01-05,12,Smokey Robinson,Cruisin',15,12,14
1980-01-05,13,Eagles,The Long Run,17,13,5
1980-01-05,14,Foreigner,Head Games,14,14,9
1980-01-05,15,Dr. Hook,Better Love Next Time,16,15,13
1980-01-05,16,Jefferson Starship,Jane,18,16,10
1980-01-05,17,Prince,I Wanna Be Your Lover,23,17,7
1980-01-05,18,Kenny Loggins,This Is It,21,18,12
1980-01-05,19,Pablo Cruise,I Want You Tonight,19,19,13
1980-01-05,20,J.D. Souther,You're Only Lonely,7,7,18
1980-01-05,21,Barbra Streisand/Donna Summer,No More Tears (Enough Is Enough),8,1,12
1980-01-05,22,Tom Petty And The Heartbreakers,Don't Do Me Like That,25,22,8
1980-01-05,23,Daryl Hall John Oates,Wait For Me,26,23,11
1980-01-05,24,Isaac Hayes,Don't Let Go,28,24,11
1980-01-05,25,Fleetwood Mac,Sara,35,25,4
1980-01-05,26,Supertramp,Take The Long Way Home,10,10,13
1980-01-05,27,The Alan Parsons Project,Damned If I Do,27,27,15
1980-01-05,28,Foghat,Third Time Lucky (First Time I Was A Fool),30,28,8
1980-01-05,29,Dionne Warwick,Deja Vu,34,29,9
1980-01-05,30,ABBA,Chiquitita,31,30,9
1980-01-05,31,Teri DeSario With K.C.,"Yes, I'm Ready",36,31,8
1980-01-05,32,M,Pop Muzik,32,1,22
1980-01-05,33,Crystal Gayle,Half The Way,24,15,15
1980-01-05,34,Eagles,Heartache Tonight,20,1,14
1980-01-05,35,Steve Forbert,Romeo's Tune,48,35,6
1980-01-05,36,Herb Alpert,Rotation,40,36,8
1980-01-05,37,Sugarhill Gang,Rapper's Delight,43,37,9
1980-01-05,38,Blackfoot,"Train, Train",38,38,12
1980-01-05,39,Rita Coolidge,I'd Rather Leave While I'm In Love,44,39,8
1980-01-05,40,The O'Jays,Forever Mine,42,40,7
1980-01-05,41,Tom Johnston,Savannah Nights,45,41,8
1980-01-05,42,Led Zeppelin,Fool In The Rain,64,42,3
1980-01-05,43,Queen,Crazy Little Thing Called Love,58,43,3
1980-01-05,44,Cheap Trick,Voices,56,44,5
1980-01-05,45,Styx,Why Me,65,45,4
1980-01-05,46,Santana,You Know That I Love You,53,46,7
1980-01-05,47,Suzi Quatro,She's In Love With You,51,47,7
1980-01-05,48,Rufus And Chaka Khan,Do You Love What You Feel,54,48,7
1980-01-05,49,Mistress,Mistrusted Love,49,49,9
1980-01-05,50,Robert John,Lonely Eyes,55,50,5
1980-01-05,51,John Stewart,Lost Her In The Sun,59,51,5
1980-01-05,52,Joyce Cobb,Dig The Gold,62,52,7
1980-01-05,53,Electric Light Orchestra,Last Train To London,63,53,5
1980-01-05,54,Neil Diamond,September Morn',66,54,3
1980-01-05,55,The Flying Lizards,Money,60,55,6
1980-01-05,56,Anne Murray,Daydream Believer,67,56,3
1980-01-05,57,Bar-Kays,Move Your Boogie Body,61,57,5
1980-01-05,58,Commodores,Wonderland,68,58,4
1980-01-05,59,The Dirt Band,An American Dream,70,59,5
1980-01-05,60,The Inmates,Dirty Water,69,60,5
1980-01-05,61,Dann Rogers,Looks Like Love Again,71,61,4
1980-01-05,62,The Spinners,"Working My Way Back To You/Forgive Me, Girl",72,62,4
1980-01-05,63,Pleasure,Glide,73,63,5
1980-01-05,64,Barry Manilow,Ships,29,9,13
1980-01-05,65,Pat Benatar,Heartbreaker,76,65,3
1980-01-05,66,Barry Manilow,When I Wanted You,78,66,4
1980-01-05,67,Dan Fogelberg,Longer,77,67,4
1980-01-05,68,Peter Brown,Stargazer,79,68,4
1980-01-05,69,John Cougar,I Need A Lover,33,28,13
1980-01-05,70,Leif Garrett,Memorize Your Number,80,70,4
1980-01-05,71,"Earth, Wind & Fire",Star,81,71,3
1980-01-05,72,Robert Palmer,Can We Still Be Friends,82,72,3
1980-01-05,73,Toto,99,85,73,3
1980-01-05,74,Shalamar,The Second Time Around,83,74,5
1980-01-05,75,Bonnie Raitt,You're Gonna Get What's Coming,75,75,5
1980-01-05,76,Rod Stewart,I Don't Want To Talk About It,84,76,3
1980-01-05,77,Bonnie Pointer,"I Can't Help Myself (Sugar Pie, Honey Bunch)",86,77,3
1980-01-05,78,Dollar,Shooting Star,88,78,3
1980-01-05,79,Jennifer Warnes,Don't Make Me Over,87,79,3
1980-01-05,80,Jimmy Buffett,Volcano,89,80,3
1980-01-05,81,Gamma,I'm Alive,,81,1
1980-01-05,82,Anne Murray,Broken Hearted Me,37,12,16
1980-01-05,83,Molly Hatchet,Flirtin' With Disaster,,83,1
1980-01-05,84,The Buggles,Video Killed The Radio Star,46,40,9
1980-01-05,85,Bobby Vinton,Make Believe It's Your First Time,,85,1
1980-01-05,86,Mike Pinera,Goodnight My Love,,86,1
1980-01-05,87,Richie Furay,I Still Have Dreams,39,39,11
1980-01-05,88,Yvonne Elliman,Love Pains,41,34,13
1980-01-05,89,Switch,I Call Your Name,91,89,10
1980-01-05,90,Cugini,Let Me Sleep Alone,90,90,3
1980-01-05,91,Billy Preston & Syreeta,With You I'm Born Again,92,91,5
1980-01-05,92,Lobo,Holdin' On For Dear Love,93,92,3
1980-01-05,93,Tavares,Bad Times,,93,1
1980-01-05,94,Rainbow,Since You Been Gone,57,57,8
1980-01-05,95,Kermit (Jim Henson),Rainbow Connection,47,25,17
1980-01-05,96,Herb Alpert,Rise,96,1,24
1980-01-05,97,Kenny Rogers,You Decorated My Life,94,7,18
1980-01-05,98,Donna Summer,Dim All The Lights,50,2,20
1980-01-05,99,Fleetwood Mac,Tusk,52,8,14
1980-01-05,100,The Police,Message In A Bottle,74,74,7
1980-01-12,1,Rupert Holmes,Escape (The Pina Colada Song),2,1,13
1980-01-12,2,Michael Jackson,Rock With You,3,2,11
1980-01-12,3,Captain & Tennille,Do That To Me One More Time,5,3,13
1980-01-12,4,Stevie Wonder,Send One Your Love,4,4,11
1980-01-12,5,KC And The Sunshine Band,Please Don't Go,1,1,21
1980-01-12,6,Commodores,Still,7,1,16
1980-01-12,7,Kenny Rogers,Coward Of The County,8,7,9
1980-01-12,8,Kool & The Gang,Ladies Night,9,8,15
1980-01-12,9,Cliff Richard,We Don't Talk Anymore,10,9,13
1980-01-12,10,Styx,Babe,6,1,15
1980-01-12,11,Little River Band,Cool Change,11,11,13
1980-01-12,12,Smokey Robinson,Cruisin',12,12,15
1980-01-12,13,Eagles,The Long Run,13,13,6
1980-01-12,14,Dr. Hook,Better Love Next Time,15,14,14
1980-01-12,15,Jefferson Starship,Jane,16,15,11
1980-01-12,16,Prince,I Wanna Be Your Lover,17,16,8
1980-01-12,17,Kenny Loggins,This Is It,18,17,13
1980-01-12,18,Foreigner,Head Games,14,14,10
1980-01-12,19,Tom Petty And The Heartbreakers,Don't Do Me Like That,22,19,9
1980-01-12,20,Fleetwood Mac,Sara,25,20,5
1980-01-12,21,Daryl Hall John Oates,Wait For Me,23,21,12
1980-01-12,22,Isaac Hayes,Don't Let Go,24,22,12
1980-01-12,23,J.D. Souther,You're Only Lonely,20,7,19
1980-01-12,24,Barbra Streisand/Donna Summer,No More Tears (Enough Is Enough),21,1,13
1980-01-12,25,Pablo Cruise,I Want You Tonight,19,19,14
1980-01-12,26,Foghat,Third Time Lucky (First Time I Was A Fool),28,26,9
1980-01-12,27,Dionne Warwick,Deja Vu,29,27,10
1980-01-12,28,Teri DeSario With K.C.,"Yes, I'm Ready",31,28,9
1980-01-12,29,ABBA,Chiquitita,30,29,10
1980-01-12,30,Queen,Crazy Little Thing Called Love,43,30,4
1980-01-12,31,Steve Forbert,Romeo's Tune,35,31,7
1980-01-12,32,Herb Alpert,Rotation,36,32,9
1980-01-12,33,The Dirt Band,An American Dream,59,33,6
1980-01-12,34,Tom Johnston,Savannah Nights,41,34,9
1980-01-12,35,Supertramp,Take The Long Way Home,26,10,14
1980-01-12,36,Sugarhill Gang,Rapper's Delight,37,36,10
1980-01-12,37,The O'Jays,Forever Mine,40,37,8
1980-01-12,38,Rita Coolidge,I'd Rather Leave While I'm In Love,39,38,9
1980-01-12,39,Blackfoot,"Train, Train",38,38,13
1980-01-12,40,Led Zeppelin,Fool In The Rain,42,40,4
1980-01-12,41,Cheap Trick,Voices,44,41,6
1980-01-12,42,Styx,Why Me,45,42,5
1980-01-12,43,Santana,You Know That I Love You,46,43,8
1980-01-12,44,Rufus And Chaka Khan,Do You Love What You Feel,48,44,8
1980-01-12,45,Suzi Quatro,She's In Love With You,47,45,8
1980-01-12,46,Anne Murray,Daydream Believer,56,46,4
1980-01-12,47,The Alan Parsons Project,Damned If I Do,27,27,16
1980-01-12,48,Robert John,Lonely Eyes,50,48,6
1980-01-12,49,John Stewart,Lost Her In The Sun,51,49,6
1980-01-12,50,Electric Light Orchestra,Last Train To London,53,50,6
1980-01-12,51,Neil Diamond,September Morn',54,51,4
1980-01-12,52,Joyce Cobb,Dig The Gold,52,52,8
1980-01-12,53,The Flying Lizards,Money,55,53,7
1980-01-12,54,Commodores,Wonderland,58,54,5
1980-01-12,55,Dan Fogelberg,Longer,67,55,5
1980-01-12,56,The Inmates,Dirty Water,60,56,6
1980-01-12,57,Bar-Kays,Move Your Boogie Body,57,57,6
1980-01-12,58,The Spinners,"Working My Way Back To You/Forgive Me, Girl",62,58,5
1980-01-12,59,M,Pop Muzik,32,1,23
1980-01-12,60,Dann Rogers,Looks Like Love Again,61,60,5
1980-01-12,61,Barry Manilow,When I Wanted You,66,61,5
1980-01-12,62,Peter Brown,Stargazer,68,62,5
1980-01-12,63,Pleasure,Glide,63,63,6
1980-01-12,64,Pat Benatar,Heartbreaker,65,64,4
1980-01-12,65,Toto,99,73,65,4
1980-01-12,66,Leif Garrett,Memorize Your Number,70,66,5
1980-01-12,67,Shalamar,The Second Time Around,74,67,6
1980-01-12,68,"Earth, Wind & Fire",Star,71,68,4
1980-01-12,69,John Cougar,I Need A Lover,69,28,14
1980-01-12,70,Robert Palmer,Can We Still Be Friends,72,70,4
1980-01-12,71,Rod Stewart,I Don't Want To Talk About It,76,71,4
1980-01-12,72,Bonnie Pointer,"I Can't Help Myself (Sugar Pie, Honey Bunch)",77,72,4
1980-01-12,73,Bonnie Raitt,You're Gonna Get What's Coming,75,73,6
1980-01-12,74,Jimmy Buffett,Volcano,80,74,4
1980-01-12,75,Dollar,Shooting Star,78,75,4
1980-01-12,76,Molly Hatchet,Flirtin' With Disaster,83,76,2
1980-01-12,77,Jennifer Warnes,Don't Make Me Over,79,77,4
1980-01-12,78,Bobby Vinton,Make Believe It's Your First Time,85,78,2
1980-01-12,79,Mike Pinera,Goodnight My Love,86,79,2
1980-01-12,80,Gamma,I'm Alive,81,80,2
1980-01-12,81,Journey,Too Late,,81,1
1980-01-12,82,Nicolette Larson & Michael McDonald,"Let Me Go, Love",,82,1
1980-01-12,83,The Buggles,Video Killed The Radio Star,84,40,10
1980-01-12,84,Aerosmith,Remember (Walking In The Sand),,84,1
1980-01-12,85,Crystal Gayle,Half The Way,33,15,16
1980-01-12,86,Donna Summer,On The Radio,,86,1
1980-01-12,87,Switch,I Call Your Name,89,87,11
1980-01-12,88,Cugini,Let Me Sleep Alone,90,88,4
1980-01-12,89,Lobo,Holdin' On For Dear Love,92,89,4
1980-01-12,90,Barbra Streisand,Kiss Me In The Rain,,90,1
1980-01-12,91,Billy Preston & Syreeta,With You I'm Born Again,91,91,6
1980-01-12,92,Anne Murray,Broken Hearted Me,82,12,17
1980-01-12,93,Cindy Bullens,Trust Me,,93,1
1980-01-12,94,Herb Alpert,Rise,96,1,25
1980-01-12,95,Tavares,Bad Times,93,93,2
1980-01-12,96,Breathless,Takin' It Back,,96,1
1980-01-12,97,Fleetwood Mac,Tusk,99,8,15
1980-01-12,98,Donna Summer,Dim All The Lights,98,2,21
1980-01-12,99,Eagles,Heartache Tonight,34,1,15
1980-01-12,100,Barry Manilow,Ships,64,9,14
1980-01-19,1,Michael Jackson,Rock With You,2,1,12
1980-01-19,2,Captain & Tennille,Do That To Me One More Time,3,2,14
1980-01-19,3,Rupert Holmes,Escape (The Pina Colada Song),1,1,14
1980-01-19,4,Kenny Rogers,Coward Of The County,7,4,10
1980-01-19,5,Stevie Wonder,Send One Your Love,4,4,12
1980-01-19,6,Smokey Robinson,Cruisin',12,6,16
1980-01-19,7,Cliff Richard,We Don't Talk Anymore,9,7,14
1980-01-19,8,Kool & The Gang,Ladies Night,8,8,16
1980-01-19,9,KC And The Sunshine Band,Please Don't Go,5,1,22
1980-01-19,10,Little River Band,Cool Change,11,10,14
1980-01-19,11,Eagles,The Long Run,13,11,7
1980-01-19,12,Dr. Hook,Better Love Next Time,14,12,15
1980-01-19,13,Prince,I Wanna Be Your Lover,16,13,9
1980-01-19,14,Jefferson Starship,Jane,15,14,12
