date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1986-01-04,1,Lionel Richie,"Say You, Say Me",1,1,9
1986-01-04,2,Eddie Murphy,Party All The Time,2,2,14
1986-01-04,3,Simple Minds,Alive & Kicking,3,3,12
1986-01-04,4,"Dionne & Friends Featuring Elton John, Gladys Knight And Stevie Wonder",That's What Friends Are For,4,4,9
1986-01-04,5,Klymaxx,I Miss You,5,5,17
1986-01-04,6,John Mellencamp,Small Town,6,6,10
1986-01-04,7,Mr. Mister,Broken Wings,7,1,16
1986-01-04,8,Phil Collins and Marilyn Martin,Separate Lives,8,1,14
1986-01-04,9,The Cars,Tonight She Comes,9,9,10
1986-01-04,10,Arcadia,Election Day,10,6,11
1986-01-04,11,Stevie Nicks,Talk To Me,11,11,8
1986-01-04,12,ZZ Top,Sleeping Bag,12,8,12
1986-01-04,13,Dire Straits,Walk Of Life,13,13,10
1986-01-04,14,Scritti Politti,Perfect Way,14,11,18
1986-01-04,15,Survivor,Burning Heart,15,15,10
1986-01-04,16,Bruce Springsteen,My Hometown,16,16,5
1986-01-04,17,Sting,Love Is The Seventh Wave,17,17,9
1986-01-04,18,Kool & The Gang,Emergency,18,18,11
1986-01-04,19,Bryan Adams/Tina Turner,It's Only Love,19,19,7
1986-01-04,20,Wham!,I'm Your Man,20,20,6
1986-01-04,21,Miami Sound Machine,Conga,21,21,12
1986-01-04,22,Stevie Wonder,Go Home,22,22,7
1986-01-04,23,Clarence Clemons & Jackson Browne,You're A Friend Of Mine,23,23,11
1986-01-04,24,Paul McCartney,Spies Like Us,24,24,7
1986-01-04,25,Heart,Never,25,4,17
1986-01-04,26,Starship,We Built This City,26,1,18
1986-01-04,27,Night Ranger,Goodbye,27,27,9
1986-01-04,28,Ta Mara & The Seen,Everybody Dance,28,28,13
1986-01-04,29,Starpoint,Object Of My Desire,29,25,15
1986-01-04,30,Jellybean Featuring Catherine Buchanan,Sidewalk Talk,30,30,8
1986-01-04,31,Billy Ocean,"When The Going Gets Tough, The Tough Get Going",31,31,6
1986-01-04,32,Pat Benatar,Sex As A Weapon,32,32,7
1986-01-04,33,Pete Townshend,Face The Face,33,33,9
1986-01-04,34,Aretha Franklin,Who's Zoomin' Who,34,7,15
1986-01-04,35,Elton John,Wrap Her Up,35,20,11
1986-01-04,36,Whitney Houston,How Will I Know,36,36,5
1986-01-04,37,Sheila E.,A Love Bizarre,37,37,8
1986-01-04,38,Sade,The Sweetest Taboo,38,38,7
1986-01-04,39,Corey Hart,Everything In My Heart,39,39,6
1986-01-04,40,Thompson Twins,Lay Your Hands On Me,40,6,16
1986-01-04,41,Artists United Against Apartheid,Sun City,41,38,10
1986-01-04,42,Eurythmics & Aretha Franklin,Sisters Are Doin' It For Themselves,42,18,12
1986-01-04,43,a-ha,The Sun Always Shines on T.V.,43,43,6
1986-01-04,44,James Brown,Living In America,44,44,5
1986-01-04,45,Baltimora,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",45,45,12
1986-01-04,46,The Dream Academy,Life In A Northern Town,46,46,6
1986-01-04,47,Glenn Frey,You Belong To The City,47,2,17
1986-01-04,48,Rush,The Big Money,48,48,9
1986-01-04,49,Sheena Easton,Do It For Love,49,29,11
1986-01-04,50,Mr. Mister,Kyrie,50,50,3
1986-01-04,51,Wang Chung,To Live And Die In L.A.,51,41,13
1986-01-04,52,Mike + The Mechanics,Silent Running (On Dangerous Ground),52,52,7
1986-01-04,53,Asia,Go,53,53,5
1986-01-04,54,Ready For The World,Digital Display,54,54,5
1986-01-04,55,New Edition,Count Me Out,55,51,10
1986-01-04,56,Twisted Sister,Leader Of The Pack,56,56,6
1986-01-04,57,Paul Young,Everything Must Change,57,57,7
1986-01-04,58,Stevie Wonder,Part-Time Lover,58,1,18
1986-01-04,59,Jack Wagner,Too Young,59,52,11
1986-01-04,60,Freddie Jackson,You Are My Lady,60,12,18
1986-01-04,61,Jan Hammer,Miami Vice Theme,61,1,18
1986-01-04,62,Freddie Jackson,He'll Never Love You (Like I Do),62,62,4
1986-01-04,63,Barbra Streisand,Somewhere,63,63,4
1986-01-04,64,Queen,One Vision,64,64,5
1986-01-04,65,Starship,Sara,65,65,2
1986-01-04,66,Hooters,Day By Day,66,66,4
1986-01-04,67,"Isley, Jasper, Isley",Caravan Of Love,67,67,5
1986-01-04,68,David Foster,Love Theme From St. Elmo's Fire (Instrumental),68,15,20
1986-01-04,69,Tears For Fears,Head Over Heels,69,3,17
1986-01-04,70,Lisa Lisa And Cult Jam With Full Force,Can You Feel The Beat,70,69,8
1986-01-04,71,James Taylor,Everyday,71,61,9
1986-01-04,72,Kenny Rogers,Morning Desire,72,72,7
1986-01-04,73,Tina Turner,One Of The Living,73,15,14
1986-01-04,74,Charlie Sexton,Beat's So Lonely,74,74,4
1986-01-04,75,Kate Bush,Running Up That Hill (A Deal With God),75,30,18
1986-01-04,76,El DeBarge With DeBarge,The Heart Is Not So Smart,76,76,5
1986-01-04,77,Orchestral Manoeuvres In The Dark,Secret,77,77,4
1986-01-04,78,Chaka Khan,Own The Night,78,78,3
1986-01-04,79,ABC,Be Near Me,79,9,20
1986-01-04,80,Atlantic Starr,Secret Lovers,80,80,2
1986-01-04,81,Nick Lowe And His Cowboy Outfit,I Knew The Bride (When She Use To Rock And Roll),81,81,6
1986-01-04,82,Eugene Wilde,Don't Say No Tonight,82,82,5
1986-01-04,83,John Cafferty & The Beaver Brown Band,Small Town Girl,83,64,9
1986-01-04,84,Loverboy,Dangerous,84,65,8
1986-01-04,85,Sly Fox,Let's Go All The Way,85,85,2
1986-01-04,86,Fortune,Stacy,86,86,3
1986-01-04,87,Alisha,Baby Talk,87,87,3
1986-01-04,88,Joni Mitchell,Good Friends,88,88,2
1986-01-04,89,Roger Daltrey,Let Me Down Easy,89,89,2
1986-01-04,90,KISS,Tears Are Falling,90,51,12
1986-01-04,91,The Alarm,Strength,91,91,2
1986-01-04,92,Whitney Houston,Saving All My Love For You,92,1,21
1986-01-04,93,Loverboy,Lovin' Every Minute Of It,93,9,20
1986-01-04,94,Talking Heads,And She Was,94,54,18
1986-01-04,95,The Pointer Sisters,Freedom,95,59,10
1986-01-04,96,Olivia Newton-John,Soul Kiss,96,20,14
1986-01-04,97,a-ha,Take On Me,97,1,26
1986-01-04,98,Sting,Fortress Around Your Heart,98,8,20
1986-01-04,99,Ray Parker Jr.,Girls Are More Fun,99,34,14
1986-01-04,100,John Mellencamp,Lonely Ol' Night,100,6,20
1986-01-11,1,Lionel Richie,"Say You, Say Me",1,1,10
1986-01-11,2,Eddie Murphy,Party All The Time,2,2,15
1986-01-11,3,"Dionne & Friends Featuring Elton John, Gladys Knight And Stevie Wonder",That's What Friends Are For,4,3,10
1986-01-11,4,Simple Minds,Alive & Kicking,3,3,13
1986-01-11,5,Klymaxx,I Miss You,5,5,18
1986-01-11,6,John Mellencamp,Small Town,6,6,11
1986-01-11,7,The Cars,Tonight She Comes,9,7,11
1986-01-11,8,Stevie Nicks,Talk To Me,11,8,9
