date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1985-01-05,1,Madonna,Like A Virgin,1,1,8
1985-01-05,2,Duran Duran,The Wild Boys,2,2,10
1985-01-05,3,The Honeydrippers,Sea Of Love,4,3,13
1985-01-05,4,New Edition,Cool It Now,5,4,16
1985-01-05,5,Pat Benatar,We Belong,6,5,11
1985-01-05,6,Jack Wagner,All I Need,9,6,12
1985-01-05,7,Daryl Hall John Oates,Out Of Touch,3,1,15
1985-01-05,8,Bryan Adams,Run To You,12,8,10
1985-01-05,9,Chicago,You're The Inspiration,15,9,8
1985-01-05,10,Julian Lennon,Valotte,10,10,12
1985-01-05,11,Bruce Springsteen,Born In The USA,14,11,9
1985-01-05,12,Chaka Khan,I Feel For You,7,3,18
1985-01-05,13,Jermaine Jackson,Do What You Do,17,13,11
1985-01-05,14,Foreigner,I Want To Know What Love Is,21,14,5
1985-01-05,15,Paul McCartney,No More Lonely Nights,8,6,13
1985-01-05,16,Philip Bailey With Phil Collins,Easy Lover,22,16,7
1985-01-05,17,Bob Seger,Understanding,19,17,9
1985-01-05,18,Ray Parker Jr.,Jamie,25,18,8
1985-01-05,19,Don Henley,The Boys Of Summer,27,19,9
1985-01-05,20,Band Aid,Do They Know It's Christmas?,65,20,3
1985-01-05,21,Cyndi Lauper,All Through The Night,13,5,14
1985-01-05,22,Survivor,I Can't Hold Back,16,13,17
1985-01-05,23,Wham! Featuring George Michael,Careless Whisper,37,23,3
1985-01-05,24,Rebbie Jackson,Centipede,24,24,14
1985-01-05,25,Prince And The Revolution,I Would Die 4 U,32,25,4
1985-01-05,26,Billy Ocean,Lover Boy,31,26,6
1985-01-05,27,Wham!,Wake Me Up Before You Go-Go,11,1,18
1985-01-05,28,The Cars,Hello Again,20,20,11
1985-01-05,29,Rick Springfield,Bruce,33,29,8
1985-01-05,30,Lionel Richie,Penny Lover,18,8,14
1985-01-05,31,Stevie Wonder,Love Light In Flight,36,31,6
1985-01-05,32,The Pointer Sisters,Neutron Dance,40,32,7
1985-01-05,33,John Cafferty & The Beaver Brown Band,Tender Years,35,33,8
1985-01-05,34,Sheila E.,The Belle Of St. Mark,34,34,11
1985-01-05,35,Daryl Hall John Oates,Method Of Modern Love,42,35,4
1985-01-05,36,Ashford & Simpson,Solid,45,36,9
1985-01-05,37,Steve Perry,Foolish Heart,39,37,7
1985-01-05,38,Giuffria,Call To The Heart,41,38,9
