date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1991-01-05,1,Madonna,Justify My Love,2,1,8
1991-01-05,2,Stevie B,Because I Love You (The Postman Song),1,1,14
1991-01-05,3,Bette Midler,From A Distance,3,2,14
1991-01-05,4,Damn Yankees,High Enough,6,4,16
1991-01-05,5,DNA Featuring Suzanne Vega,Tom's Diner,5,5,14
1991-01-05,6,Wilson Phillips,Impulsive,4,4,13
1991-01-05,7,Janet Jackson,Love Will Never Do (Without You),11,7,8
1991-01-05,8,Ralph Tresvant,Sensitivity,10,8,10
1991-01-05,9,Surface,The First Time,16,9,10
1991-01-05,10,Whitney Houston,I'm Your Baby Tonight,7,1,12
1991-01-05,11,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),21,11,8
1991-01-05,12,George Michael,Freedom,8,8,11
1991-01-05,13,Winger,Miles Away,17,13,13
1991-01-05,14,Vanilla Ice,Play That Funky Music,23,14,5
1991-01-05,15,UB40,The Way You Do The Things You Do,9,6,17
1991-01-05,16,Nelson,After The Rain,20,16,10
1991-01-05,17,Poison,Something To Believe In,13,4,14
1991-01-05,18,Jon Bon Jovi,"Miracle (From ""Young Guns II"")",12,12,11
1991-01-05,19,Mariah Carey,Love Takes Time,14,1,17
1991-01-05,20,Will To Power,I'm Not In Love,25,20,8
1991-01-05,21,Cathy Dennis,Just Another Dream,24,21,11
1991-01-05,22,Steve Winwood,One And Only Man,18,18,10
1991-01-05,23,Deee-Lite,Groove Is In The Heart,15,4,17
1991-01-05,24,The Outfield,For You,26,24,10
1991-01-05,25,Phil Collins,Hang In Long Enough,27,25,9
1991-01-05,26,2 In A Room,Wiggle It,19,15,14
1991-01-05,27,Elisa Fiorillo,On The Way Up,29,27,15
1991-01-05,28,Debbie Gibson,Anything Is Possible,32,28,8
1991-01-05,29,Keith Sweat,I'll Give All My Love To You,36,29,6
1991-01-05,30,Robert Palmer,You're Amazing,33,30,8
1991-01-05,31,Dino,Gentle,34,31,9
1991-01-05,32,INXS,Disappear,39,32,7
1991-01-05,33,Tony Toni Tone,Feels Good,22,9,19
1991-01-05,34,Alias,More Than Words Can Say,28,2,18
1991-01-05,35,Heart,Stranded,30,13,16
1991-01-05,36,LL Cool J,Around The Way Girl,41,36,6
1991-01-05,37,Whitney Houston,All The Man That I Need,53,37,3
1991-01-05,38,Breathe Featuring David Glasper,Does She Love That Man?,43,38,8
1991-01-05,39,Celine Dion,Where Does My Heart Beat Now,51,39,5
1991-01-05,40,Warrant,I Saw Red,46,40,6
1991-01-05,41,The Righteous Brothers,Unchained Melody,40,19,14
1991-01-05,42,Too $hort,The Ghetto,44,42,8
1991-01-05,43,Elton John,You Gotta Love Someone,45,43,7
1991-01-05,44,Pebbles,Love Makes Things Happen,55,44,6
1991-01-05,45,Johnny Gill,Fairweather Friend,31,28,12
1991-01-05,46,Cher,The Shoop Shoop Song (It's In His Kiss),49,46,7
1991-01-05,47,M.C. Hammer,Pray,47,2,15
1991-01-05,48,After 7,Heat Of The Moment,62,48,19
1991-01-05,49,Chris Isaak,Wicked Game,64,49,6
1991-01-05,50,Iggy Pop With Kate Pierson,Candy,61,50,7
1991-01-05,51,Bad Company,If You Needed Somebody,56,51,9
1991-01-05,52,Vanilla Ice,Ice Ice Baby,35,1,18
1991-01-05,53,Black Box,I Don't Know Anybody Else,68,53,5
1991-01-05,54,Don Henley,New York Minute,48,48,9
1991-01-05,55,AC/DC,Moneytalks,60,55,5
1991-01-05,56,Depeche Mode,World In My Eyes,52,52,7
1991-01-05,57,Candyman,Knockin' Boots,38,9,19
1991-01-05,58,George LaMond (Duet With Brenda K. Starr),No Matter What,58,58,6
1991-01-05,59,Daryl Hall John Oates,So Close,42,11,15
1991-01-05,60,Cinderella,Shelter Me,67,60,5
1991-01-05,61,Donny Osmond,My Love Is A Fire,37,21,13
1991-01-05,62,Styx,Show Me The Way,74,62,5
1991-01-05,63,Bell Biv DeVoe,B.B.D. (I Thought It Was Me)?,57,26,13
1991-01-05,64,Guy,I Wanna Get With U,65,50,9
1991-01-05,65,Trixter,Give It To Me Good,73,65,6
1991-01-05,66,Joey B. Ellis & Tynetta Hare,Go For It! (Heart And Fire),70,66,5
1991-01-05,67,Tony Toni Tone,It Never Rains (In Southern California),66,66,3
1991-01-05,68,Tevin Campbell,Round And Round,75,68,5
1991-01-05,69,Jude Cole,House Full Of Reasons,71,69,6
1991-01-05,70,Timmy T.,One More Try,92,70,3
1991-01-05,71,Maxi Priest,Close To You,63,1,28
1991-01-05,72,The Black Crowes,Hard To Handle,50,45,11
1991-01-05,73,Maxi Priest,Just A Little Bit Longer,77,73,5
1991-01-05,74,Oleta Adams,Get Here,79,74,4
1991-01-05,75,Urban Dance Squad,Deeper Shade Of Soul,78,75,4
1991-01-05,76,James Ingram,I Don't Have The Heart,59,1,23
1991-01-05,77,2nu,This Is Ponderous,86,77,3
1991-01-05,78,Soho,Hippychick,54,14,18
1991-01-05,79,Tracie Spencer,This House,89,79,3
1991-01-05,80,Warrant,Cherry Pie,81,10,18
1991-01-05,81,Information Society,Think,72,28,14
1991-01-05,82,Candyman,Melt In Your Mouth,85,82,4
1991-01-05,83,Pat & Mick,Use It Up And Wear It Out,84,83,4
1991-01-05,84,After 7,Can't Stop,69,6,24
1991-01-05,85,M.C. Hammer,Here Comes The Hammer,,85,1
1991-01-05,86,Slaughter,Spend My Life,96,86,3
1991-01-05,87,Pebbles,Giving You The Benefit,76,4,21
1991-01-05,88,TKA Featuring Michelle Visage,Crash (Have Some Fun),82,80,6
1991-01-05,89,Tesla,Signs,,89,1
1991-01-05,90,Notorious,The Swalk,90,90,4
1991-01-05,91,House Of Lords,Remember My Name,,91,1
1991-01-05,92,Paul Simon,The Obvious Child,93,92,4
1991-01-05,93,Guys Next Door,I've Been Waiting For You,,93,1
1991-01-05,94,Al B. Sure!,Missunderstanding,88,42,13
1991-01-05,95,Daryl Hall John Oates,Don't Hold Back Your Love,,95,1
1991-01-05,96,Deee-Lite,Power Of Love,,96,1
1991-01-05,97,The Party,I Found Love,91,79,10
1991-01-05,98,David Cassidy,Lyin' To Myself,87,27,16
1991-01-05,99,Billy Joel,And So It Goes,80,37,12
1991-01-05,100,Concrete Blonde,Joey,83,19,21
1991-01-12,1,Madonna,Justify My Love,1,1,9
1991-01-12,2,Stevie B,Because I Love You (The Postman Song),2,1,15
1991-01-12,3,Damn Yankees,High Enough,4,3,17
1991-01-12,4,Janet Jackson,Love Will Never Do (Without You),7,4,9
1991-01-12,5,Bette Midler,From A Distance,3,2,15
1991-01-12,6,DNA Featuring Suzanne Vega,Tom's Diner,5,5,15
1991-01-12,7,Surface,The First Time,9,7,11
1991-01-12,8,Ralph Tresvant,Sensitivity,8,8,11
1991-01-12,9,Wilson Phillips,Impulsive,6,4,14
1991-01-12,10,C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),11,10,9
1991-01-12,11,Vanilla Ice,Play That Funky Music,14,11,6
1991-01-12,12,Winger,Miles Away,13,12,14
1991-01-12,13,Whitney Houston,I'm Your Baby Tonight,10,1,13
1991-01-12,14,Nelson,After The Rain,16,14,11
1991-01-12,15,UB40,The Way You Do The Things You Do,15,6,18
1991-01-12,16,George Michael,Freedom,12,8,12
1991-01-12,17,Will To Power,I'm Not In Love,20,17,9
1991-01-12,18,Poison,Something To Believe In,17,4,15
1991-01-12,19,Cathy Dennis,Just Another Dream,21,19,12
1991-01-12,20,Mariah Carey,Love Takes Time,19,1,18
1991-01-12,21,The Outfield,For You,24,21,11
1991-01-12,22,Jon Bon Jovi,"Miracle (From ""Young Guns II"")",18,12,12
1991-01-12,23,Phil Collins,Hang In Long Enough,25,23,10
1991-01-12,24,Deee-Lite,Groove Is In The Heart,23,4,18
1991-01-12,25,Steve Winwood,One And Only Man,22,18,11
1991-01-12,26,Debbie Gibson,Anything Is Possible,28,26,9
1991-01-12,27,2 In A Room,Wiggle It,26,15,15
1991-01-12,28,Keith Sweat,I'll Give All My Love To You,29,28,7
1991-01-12,29,Elisa Fiorillo,On The Way Up,27,27,16
1991-01-12,30,Robert Palmer,You're Amazing,30,30,9
1991-01-12,31,INXS,Disappear,32,31,8
1991-01-12,32,Dino,Gentle,31,31,10
1991-01-12,33,Whitney Houston,All The Man That I Need,37,33,4
1991-01-12,34,LL Cool J,Around The Way Girl,36,34,7
