date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1994-01-01,1,Mariah Carey,Hero,1,1,11
1994-01-01,2,Janet Jackson,Again,2,1,11
1994-01-01,3,Ace Of Base,All That She Wants,3,2,16
1994-01-01,4,Bryan Adams/Rod Stewart/Sting,All For Love,5,4,6
1994-01-01,5,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),4,1,16
1994-01-01,6,Toni Braxton,Breathe Again,8,6,12
1994-01-01,7,DRS,Gangsta Lean,6,4,12
1994-01-01,8,Snoop Dogg,What's My Name?,9,8,5
1994-01-01,9,Michael Bolton,Said I Loved You...But I Lied,10,9,9
1994-01-01,10,Salt-N-Pepa,Shoop,7,4,13
1994-01-01,11,Tag Team,Whoomp! (There It Is),13,2,32
1994-01-01,12,Bryan Adams,Please Forgive Me,11,7,11
1994-01-01,13,Tevin Campbell,Can We Talk,12,10,12
1994-01-01,14,2Pac,Keep Ya Head Up,15,13,10
1994-01-01,15,Xscape,Just Kickin' It,14,2,16
1994-01-01,16,The Cranberries,Linger,16,16,11
1994-01-01,17,Domino,Getto Jam,19,17,6
1994-01-01,18,Jodeci,Cry For You,23,18,6
1994-01-01,19,"10,000 Maniacs",Because The Night,18,18,9
1994-01-01,20,Culture Beat,Mr. Vain,20,20,9
1994-01-01,21,Babyface,Never Keeping Secrets,21,21,11
1994-01-01,22,Celine Dion,The Power Of Love,28,22,6
1994-01-01,23,Jimmy Cliff,"I Can See Clearly Now (From ""Cool Runnings"")",24,23,9
1994-01-01,24,Haddaway,What Is Love,22,11,19
1994-01-01,25,Zhane,Hey Mr. D.J.,17,6,19
1994-01-01,26,K7,Come Baby Come,25,18,18
1994-01-01,27,R. Kelly,Sex Me (Parts I & II),27,20,10
1994-01-01,28,Queen Latifah,U.N.I.T.Y.,34,28,6
1994-01-01,29,Gabrielle,Dreams,32,29,13
1994-01-01,30,Mariah Carey,Dreamlover,26,1,22
1994-01-01,31,Hi-Five,"Never Should've Let You Go (From ""Sister Act 2"")",30,30,12
1994-01-01,32,Billy Joel,All About Soul,29,29,9
1994-01-01,33,Color Me Badd,Time And Chance,31,23,10
1994-01-01,34,Aerosmith,Cryin',35,12,23
1994-01-01,35,Joshua Kadison,Jessie,33,33,13
1994-01-01,36,Aerosmith,Amazing,45,36,5
1994-01-01,37,Shaquille O'Neal,(I Know I Got) Skillz,39,35,11
1994-01-01,38,Tony Toni Tone,Anniversary,36,10,15
1994-01-01,39,Gin Blossoms,Found Out About You,46,39,7
1994-01-01,40,Billy Joel,The River Of Dreams,38,3,23
1994-01-01,41,Inner Circle,Sweat (A La La La La Long),40,16,22
1994-01-01,42,Eazy-E,Real Muthaphuckkin G's,49,42,8
1994-01-01,43,Boyz II Men,Let It Snow,53,43,4
1994-01-01,44,Mr. Big,Wild World,47,27,13
1994-01-01,45,UB40,Higher Ground,51,45,13
1994-01-01,46,Xscape,Understanding,42,42,2
1994-01-01,47,Zapp & Roger,Slow And Easy,44,44,10
1994-01-01,48,Janet Jackson,If,43,4,24
1994-01-01,49,Blind Melon,No Rain,41,20,20
1994-01-01,50,Phil Collins,Both Sides Of The Story,37,25,10
1994-01-01,51,US3,Cantaloop (Flip Fantasia),54,51,6
1994-01-01,52,Def Leppard,"Two Steps Behind (From ""Last Action Hero"")",50,12,17
1994-01-01,53,A Tribe Called Quest,Award Tour,55,53,9
1994-01-01,54,Def Leppard,Miss You In A Heartbeat,59,54,4
1994-01-01,55,Lisette Melendez,Goody Goody,58,55,4
1994-01-01,56,Elton John & Kiki Dee,True Love,56,56,6
1994-01-01,57,Little Texas,God Blessed Texas,65,57,8
1994-01-01,58,Collage,I'll Be Loving You,60,57,6
1994-01-01,59,Intro,Come Inside,57,33,18
