date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1995-01-07,1,Boyz II Men,On Bended Knee,1,1,8
1995-01-07,2,TLC,Creep,4,2,9
1995-01-07,3,Ini Kamoze,"Here Comes The Hotstepper (From ""Ready To Wear"")",2,1,17
1995-01-07,4,Real McCoy,Another Night,3,3,20
1995-01-07,5,Bon Jovi,Always,5,4,15
1995-01-07,6,Brandy,I Wanna Be Down,6,6,15
1995-01-07,7,BLACKstreet,Before I Let You Go,8,7,12
1995-01-07,8,69 Boyz,Tootsee Roll,9,8,27
1995-01-07,9,Boyz II Men,I'll Make Love To You,7,1,22
1995-01-07,10,Janet Jackson,You Want This/70's Love Groove,11,8,12
1995-01-07,11,Melissa Etheridge,I'm The Only One,10,10,23
1995-01-07,12,Madonna,Take A Bow,14,12,4
1995-01-07,13,4PM,Sukiyaki,13,13,17
1995-01-07,14,20 Fingers Featuring Gillette,Short Dick Man,15,14,18
1995-01-07,15,Madonna,Secret,12,3,14
1995-01-07,16,Des'ree,You Gotta Be,16,16,19
1995-01-07,17,Sheryl Crow,All I Wanna Do,17,2,23
1995-01-07,18,Barry White,Practice What You Preach,19,18,14
1995-01-07,19,Immature,Constantly,29,19,7
1995-01-07,20,Gloria Estefan,"Turn The Beat Around (From ""The Specialist"")",18,13,16
1995-01-07,21,Corona,The Rhythm Of The Night,22,21,9
1995-01-07,22,Tom Petty,You Don't Know How It Feels,24,22,6
1995-01-07,23,Pretenders,I'll Stand By You,20,16,22
1995-01-07,24,Vanessa Williams,The Sweetest Days,23,23,9
1995-01-07,25,Hootie & The Blowfish,Hold My Hand,25,25,14
1995-01-07,26,Crystal Waters,100% Pure Love,21,11,33
1995-01-07,27,Deadeye Dick,"New Age Girl (From ""Dumb And Dumber"")",31,27,20
1995-01-07,28,Jade,Every Day Of The Week,28,28,7
1995-01-07,29,The 4 Seasons,"December 1963 (Oh, What A Night)",26,14,22
1995-01-07,30,Toni Braxton,I Belong To You/How Many Ways,33,30,15
1995-01-07,31,Craig Mack,Flava In Ya Ear,35,9,22
1995-01-07,32,Ace Of Base,Living In Danger,27,20,12
1995-01-07,33,Mary J. Blige,Be Happy,34,29,10
1995-01-07,34,Brownstone,If You Love Me,41,34,5
