date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1997-01-04,1,Toni Braxton,Un-Break My Heart,1,1,11
1997-01-04,2,R. Kelly,"I Believe I Can Fly (From ""Space Jam"")",2,2,4
1997-01-04,3,En Vogue,Don't Let Go (Love),3,3,9
1997-01-04,4,BLACKstreet (Featuring Dr. Dre),No Diggity,4,1,13
1997-01-04,5,Keith Sweat Featuring Athena Cage,Nobody,5,3,14
1997-01-04,6,Whitney Houston,"I Believe In You And Me (From ""The Preacher's Wife"")",7,6,2
1997-01-04,7,Merril Bainbridge,Mouth,6,4,18
1997-01-04,8,New Edition,I'm Still In Love With You,9,8,9
1997-01-04,9,Barbra Streisand & Bryan Adams,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",10,8,7
1997-01-04,10,Los Del Rio,Macarena (Bayside Boys Mix),12,1,55
1997-01-04,11,Celine Dion,It's All Coming Back To Me Now,8,2,21
1997-01-04,12,Ginuwine,Pony,11,6,18
1997-01-04,13,Seal,"Fly Like An Eagle (From ""Space Jam"")",17,13,3
1997-01-04,14,Az Yet,"Last Night (From ""The Nutty Professor"")",16,9,20
1997-01-04,15,Journey,When You Love A Woman,15,12,11
1997-01-04,16,Sheryl Crow,If It Makes You Happy,14,11,16
1997-01-04,17,No Mercy,Where Do You Go,13,5,27
1997-01-04,18,Mint Condition,What Kind Of Man Would I Be,19,17,18
1997-01-04,19,Lil' Kim Featuring Puff Daddy,No Time,20,19,9
1997-01-04,20,Donna Lewis,I Love You Always Forever,18,2,29
1997-01-04,21,"Babyface Featuring LL Cool J, Howard Hewett, Jody Watley & Jeffrey Daniels",This Is For The Lover In You,21,6,11
1997-01-04,22,Montell Jordan,Falling,22,18,14
1997-01-04,23,Nas,Street Dreams,27,23,9
1997-01-04,24,Madonna,"You Must Love Me (From ""Evita"")",28,18,8
1997-01-04,25,Keith Sweat,Twisted,23,2,29
1997-01-04,26,MC Lyte,Cold Rock A Party,31,26,6
1997-01-04,27,Dru Hill,"Tell Me (From ""Eddie"")",24,18,19
1997-01-04,28,Jewel,Foolish Games/You Were Meant For Me,33,28,6
1997-01-04,29,Eric Clapton,Change The World,25,5,25
1997-01-04,30,Amber,This Is Your Night,26,25,30
1997-01-04,31,Gina G,Ooh Aah... Just A Little Bit,34,31,6
1997-01-04,32,Toni Braxton,You're Makin' Me High/Let It Flow,30,1,31
1997-01-04,33,112,Come See Me,39,33,9
1997-01-04,34,dc Talk,Between You And Me,29,29,8
1997-01-04,35,702,Steelo,36,32,17
1997-01-04,36,OutKast,ATLiens,40,36,6
1997-01-04,37,Dishwalla,Counting Blue Cars,32,15,40
1997-01-04,38,Nate Dogg Featuring Snoop Doggy Dogg,Never Leave Me Alone,41,33,9
1997-01-04,39,John Mellencamp,Key West Intermezzo (I Saw You First),35,14,19
1997-01-04,40,Alanis Morissette,You Learn/You Oughta Know,37,6,24
1997-01-04,41,Quad City DJ's,"Space Jam (From ""Space Jam"")",56,41,3
1997-01-04,42,The Cranberries,When You're Gone/Free To Decide,44,42,7
1997-01-04,43,Bryan Adams,Let's Make A Night To Remember,42,24,19
1997-01-04,44,Westside Connection,Bow Down,45,21,15
1997-01-04,45,Ghost Town DJ's,My Boo,38,31,27
1997-01-04,46,Mack 10 & Tha Dogg Pound,"Nothin' But The Cavi Hit (From ""Rhyme & Reason"")",47,46,4
1997-01-04,47,The Smashing Pumpkins,Thirty-Three,49,47,6
1997-01-04,48,LL Cool J,Loungin,43,3,27
1997-01-04,49,Donell Jones,Knocks Me Off My Feet,51,49,10
1997-01-04,50,"Brandy, Tamia, Gladys Knight & Chaka Khan","Missing You (From ""Set It Off"")",54,25,20
1997-01-04,51,Aaliyah,If Your Girl Only Knew,53,11,19
1997-01-04,52,Donna Lewis,Without Love,52,52,4
1997-01-04,53,The Blackout Allstars,I Like It,59,53,5
1997-01-04,54,Gloria Estefan,I'm Not Giving You Up,57,54,5
1997-01-04,55,Rod Stewart,If We Fall In Love Tonight,55,55,8
1997-01-04,56,Johnny Gill Featuring Roger Troutman,It's Your Body,63,56,4
1997-01-04,57,Los Del Rio,Macarena Christmas,66,57,3
1997-01-04,58,Alan Jackson,Little Bitty,60,58,8
1997-01-04,59,Total,When Boy Meets Girl,61,50,11
1997-01-04,60,K-Ci & JoJo,"How Could You (From ""Bulletproof"")",58,53,8
1997-01-04,61,LL Cool J,"Ain't Nobody (From ""Beavis And Butt-Head Do America"")",98,61,2
1997-01-04,62,Duncan Sheik,Barely Breathing,62,62,6
1997-01-04,63,Better Than Ezra,Desperately Wanting,64,63,3
1997-01-04,64,Rockell,I Fell In Love,65,64,9
