date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1981-01-03,1,John Lennon,(Just Like) Starting Over,1,1,10
1981-01-03,2,Leo Sayer,More Than I Can Say,2,2,15
1981-01-03,3,Neil Diamond,Love On The Rocks,3,3,10
1981-01-03,4,Kenny Rogers,Lady,4,1,14
1981-01-03,5,Bruce Springsteen,Hungry Heart,5,5,9
1981-01-03,6,Air Supply,Every Woman In The World,6,6,11
1981-01-03,7,Barbra Streisand & Barry Gibb,Guilty,7,7,10
1981-01-03,8,Blondie,The Tide Is High,8,8,8
1981-01-03,9,Pat Benatar,Hit Me With Your Best Shot,9,9,14
1981-01-03,10,Heart,Tell It Like It Is,10,10,7
1981-01-03,11,Rod Stewart,Passion,11,11,7
1981-01-03,12,The Police,"De Do Do Do, De Da Da Da",12,12,11
1981-01-03,13,Stevie Wonder,Master Blaster (Jammin'),13,5,16
1981-01-03,14,Queen,Another One Bites The Dust,14,1,21
1981-01-03,15,Diana Ross,It's My Turn,15,15,11
1981-01-03,16,Barry Manilow,I Made It Through The Rain,16,16,7
1981-01-03,17,Kool & The Gang,Celebration,17,17,11
1981-01-03,18,The Korgis,Everybody's Got To Learn Sometime,18,18,13
1981-01-03,19,Eddie Rabbitt,I Love A Rainy Night,19,19,9
1981-01-03,20,Steely Dan,Hey Nineteen,20,20,6
1981-01-03,21,Andy Gibb,Time Is Time,21,21,7
1981-01-03,22,Barbra Streisand,Woman In Love,22,1,18
1981-01-03,23,Olivia Newton-John And Cliff Richard,Suddenly,23,23,11
1981-01-03,24,Don Williams,I Believe In You,24,24,15
1981-01-03,25,Daryl Hall John Oates,You've Lost That Lovin' Feeling,25,12,15
1981-01-03,26,The Doobie Brothers,One Step Closer,26,26,7
1981-01-03,27,Devo,Whip It,27,14,19
1981-01-03,28,Delbert McClinton,Giving It Up For Your Love,28,28,5
1981-01-03,29,Tierra,Together,29,29,9
1981-01-03,30,Boz Scaggs,Miss Sun,30,30,6
1981-01-03,31,Christopher Cross,Never Be The Same,31,15,13
1981-01-03,32,Waylon,Theme From The Dukes Of Hazzard (Good Ol' Boys),32,21,17
1981-01-03,33,Dolly Parton,9 To 5,33,33,6
1981-01-03,34,Diana Ross,I'm Coming Out,34,5,18
1981-01-03,35,Dr. Hook,Girls Can Get It,35,34,10
1981-01-03,36,ABBA,The Winner Takes It All,36,36,7
1981-01-03,37,Dan Fogelberg,Same Old Lang Syne,37,37,4
1981-01-03,38,Harry Chapin,Sequel,38,23,10
1981-01-03,39,REO Speedwagon,Keep On Loving You,39,39,6
1981-01-03,40,Fred Knoblock & Susan Anton,Killin' Time,40,40,7
1981-01-03,41,Donna Summer,Cold Love,41,41,6
1981-01-03,42,The Babys,Turn And Walk Away,42,42,8
1981-01-03,43,Michael Stanley Band,He Can't Love You,43,43,7
1981-01-03,44,Queen,Need Your Loving Tonight,44,44,6
1981-01-03,45,Bette Midler,My Mother's Eyes,45,45,7
1981-01-03,46,L.T.D.,Shine On,46,46,8
1981-01-03,47,Climax Blues Band,Gotta Have More Love,47,47,8
1981-01-03,48,"Earth, Wind & Fire",You,48,48,7
1981-01-03,49,Teena Marie,I Need Your Lovin',49,49,7
1981-01-03,50,Ronnie Milsap,Smoky Mountain Rain,50,50,6
1981-01-03,51,The Jacksons,Heartbreak Hotel,51,51,5
1981-01-03,52,Teddy Pendergrass,Love T.K.O.,52,52,6
1981-01-03,53,Rockpile,Teacher Teacher,53,53,7
1981-01-03,54,The Alan Parsons Project,Games People Play,54,54,5
1981-01-03,55,Eagles,Seven Bridges Road,55,55,3
1981-01-03,56,Stevie Wonder,I Ain't Gonna Stand For It,56,56,4
1981-01-03,57,John Cougar,This Time,57,27,15
1981-01-03,58,Cliff Richard,Dreaming,58,10,17
1981-01-03,59,Randy Meisner,Deep Inside My Heart,59,22,12
1981-01-03,60,Donna Summer,The Wanderer,60,3,16
1981-01-03,61,Rita Coolidge,Fool That I Am,61,61,4
1981-01-03,62,Supertramp,Breakfast In America,62,62,4
1981-01-03,63,The Pointer Sisters,He's So Shy,63,3,24
1981-01-03,64,Blues Brothers,Who's Making Love,64,64,3
1981-01-03,65,Cliff Richard,A Little In Love,65,65,4
1981-01-03,66,Stephanie Mills,Never Knew Love Like This Before,66,6,22
1981-01-03,67,Bob Seger,The Horizontal Bop,67,42,9
1981-01-03,68,The Pointer Sisters,Could I Be Dreaming,68,52,9
1981-01-03,69,The Star Wars Intergalactic Droid Choir & Chorale,What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?),69,69,4
1981-01-03,70,Donnie Iris,Ah! Leah!,70,70,4
1981-01-03,71,AC/DC,Back In Black,71,71,3
1981-01-03,72,David Bowie,Fashion,72,72,5
1981-01-03,73,Oak,Set The Night On Fire,73,73,4
1981-01-03,74,Dionne Warwick,Easy Love,74,62,7
1981-01-03,75,The Vapors,Turning Japanese,75,36,15
1981-01-03,76,Roger Daltrey,Without Your Love,76,20,17
1981-01-03,77,Diana Ross,Upside Down,77,1,26
1981-01-03,78,The Jacksons,Lovely One,78,12,15
1981-01-03,79,Shalamar,Full Of Fire,79,79,3
1981-01-03,80,Dire Straits,Skateaway,80,80,3
1981-01-03,81,Aretha Franklin,United Together,81,81,2
1981-01-03,82,"Willis ""The Guard"" & Vigorish",Merry Christmas In The NFL,82,82,2
1981-01-03,83,Outlaws,(Ghost) Riders In The Sky,83,83,2
1981-01-03,84,The Kings,Switchin' To Glide/This Beat Goes On,84,43,20
1981-01-03,85,Stacy Lattisaw,Let Me Be Your Angel,85,21,22
1981-01-03,86,Cheap Trick,Stop This Game,86,48,9
1981-01-03,87,Willie Nelson,On The Road Again,87,20,18
1981-01-03,88,J.D. Drews,Don't Want No-Body,88,88,2
1981-01-03,89,Pendulum,Gypsy Spirit,89,89,6
1981-01-03,90,Kansas,Got To Rock On,90,90,2
1981-01-03,91,The 4 Seasons,Spend The Night In Love,91,91,4
1981-01-03,92,The Manhattan Transfer,Trickle Trickle,92,73,6
1981-01-03,93,Paul Simon,One-Trick Pony,93,40,11
1981-01-03,94,The Reddings,Remote Control,94,89,8
1981-01-03,95,Pure Prairie League,I Can't Stop The Feelin',95,77,5
1981-01-03,96,Jackie English,Once A Night,96,96,3
1981-01-03,97,Marcy Levy & Robin Gibb,Help Me!,97,50,9
1981-01-03,98,Jimmy Hall,I'm Happy That Love Has Found You,98,27,15
1981-01-03,99,Irene Cara,Out Here On My Own,99,19,21
1981-01-03,100,Carly Simon,Jesse,100,11,23
1981-01-10,1,John Lennon,(Just Like) Starting Over,1,1,11
1981-01-10,2,Neil Diamond,Love On The Rocks,3,2,11
1981-01-10,3,Barbra Streisand & Barry Gibb,Guilty,7,3,11
1981-01-10,4,Blondie,The Tide Is High,8,4,9
1981-01-10,5,Bruce Springsteen,Hungry Heart,5,5,10
1981-01-10,6,Air Supply,Every Woman In The World,6,6,12
1981-01-10,7,Rod Stewart,Passion,11,7,8
1981-01-10,8,Heart,Tell It Like It Is,10,8,8
1981-01-10,9,Kenny Rogers,Lady,4,1,15
1981-01-10,10,Leo Sayer,More Than I Can Say,2,2,16
1981-01-10,11,The Police,"De Do Do Do, De Da Da Da",12,11,12
1981-01-10,12,Pat Benatar,Hit Me With Your Best Shot,9,9,15
1981-01-10,13,Diana Ross,It's My Turn,15,13,12
1981-01-10,14,Barry Manilow,I Made It Through The Rain,16,14,8
1981-01-10,15,Eddie Rabbitt,I Love A Rainy Night,19,15,10
1981-01-10,16,Kool & The Gang,Celebration,17,16,12
1981-01-10,17,Steely Dan,Hey Nineteen,20,17,7
1981-01-10,18,Stevie Wonder,Master Blaster (Jammin'),13,5,17
1981-01-10,19,Andy Gibb,Time Is Time,21,19,8
1981-01-10,20,Queen,Another One Bites The Dust,14,1,22
1981-01-10,21,Olivia Newton-John And Cliff Richard,Suddenly,23,21,12
