date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1984-01-07,1,Paul McCartney And Michael Jackson,Say Say Say,1,1,13
1984-01-07,2,Daryl Hall John Oates,Say It Isn't So,2,2,11
1984-01-07,3,Duran Duran,Union Of The Snake,3,3,10
1984-01-07,4,Yes,Owner Of A Lonely Heart,4,4,10
1984-01-07,5,Olivia Newton-John,Twist Of Fate,8,5,10
1984-01-07,6,The Romantics,Talking In Your Sleep,12,6,14
1984-01-07,7,Matthew Wilder,Break My Stride,10,7,17
1984-01-07,8,Elton John,I Guess That's Why They Call It The Blues,11,8,11
1984-01-07,9,The Rolling Stones,Undercover Of The Night,9,9,9
1984-01-07,10,Lionel Richie,All Night Long (All Night),5,1,17
1984-01-07,11,Billy Joel,Uptown Girl,6,3,16
1984-01-07,12,Pat Benatar,Love Is A Battlefield,7,5,16
1984-01-07,13,Culture Club,Karma Chameleon,17,13,6
1984-01-07,14,Peter Schilling,Major Tom (Coming Home),14,14,16
1984-01-07,15,Lionel Richie,Running With The Night,21,15,7
1984-01-07,16,Culture Club,Church Of The Poison Mind,13,10,12
1984-01-07,17,Kool & The Gang,Joanna,22,17,10
1984-01-07,18,Barry Manilow,Read 'Em And Weep,23,18,8
1984-01-07,19,The Police,Synchronicity II,16,16,10
1984-01-07,20,Quiet Riot,Cum On Feel The Noize,15,5,17
1984-01-07,21,Jump 'n The Saddle,The Curly Shuffle,32,21,6
1984-01-07,22,Genesis,That's All,27,22,7
1984-01-07,23,Thirty Eight Special,If I'd Been The One,25,23,9
1984-01-07,24,Ray Parker Jr.,I Still Can't Get Over Loving You,28,24,9
1984-01-07,25,Debarge,Time Will Reveal,26,25,13
1984-01-07,26,John Mellencamp,Pink Houses,29,26,5
1984-01-07,27,Madonna,Holiday,31,27,11
1984-01-07,28,Irene Cara,Why Me?,19,13,12
1984-01-07,29,Kenny Rogers Duet With Dolly Parton,Islands In The Stream,18,1,20
1984-01-07,30,Christopher Cross,Think Of Laura,38,30,5
1984-01-07,31,Jeffrey Osborne,Stay With Me Tonight,33,31,13
1984-01-07,32,Spandau Ballet,Gold,34,32,8
1984-01-07,33,The Fixx,The Sign Of Fire,35,33,7
1984-01-07,34,Paul McCartney,So Bad,49,34,3
1984-01-07,35,Big Country,In A Big Country,20,17,12
1984-01-07,36,Deborah Allen,Baby I Lied,39,36,13
1984-01-07,37,Pretenders,Middle Of The Road,43,37,4
1984-01-07,38,Shannon,Let The Music Play,42,38,9
1984-01-07,39,Billy Joel,An Innocent Man,44,39,4
1984-01-07,40,Robert Plant,In The Mood,40,40,8
1984-01-07,41,The Motels,Remember The Night,45,41,6
1984-01-07,42,Real Life,Send Me An Angel,46,42,9
1984-01-07,43,Stevie Nicks,Nightbird,48,43,4
1984-01-07,44,Naked Eyes,When The Lights Go Out,37,37,12
1984-01-07,45,James Ingram With Michael McDonald,Yah Mo B There,50,45,5
1984-01-07,46,Rick James And Smokey Robinson,Ebony Eyes,52,46,5
1984-01-07,47,Irene Cara,The Dream,58,47,5
1984-01-07,48,Bonnie Tyler,Take Me Back,51,48,6
1984-01-07,49,Chaka Khan,Ain't Nobody,30,22,15
1984-01-07,50,Nena,99 Luftballons,62,50,5
1984-01-07,51,John Cougar Mellencamp,Crumblin' Down,24,9,13
1984-01-07,52,Dolly Parton,Save The Last Dance For Me,60,52,5
1984-01-07,53,Huey Lewis & The News,Heart And Soul,36,8,18
1984-01-07,54,Re-flex,The Politics Of Dancing,59,54,7
1984-01-07,55,Eddie Money,Big Crash,55,55,8
1984-01-07,56,Linda Ronstadt & The Nelson Riddle Orchestra,What's New,53,53,11
1984-01-07,57,Sheena Easton,Almost Over You,63,57,5
1984-01-07,58,Night Ranger,(You Can Still) Rock In America,61,58,6
1984-01-07,59,KC,Give It Up,67,59,3
1984-01-07,60,The Alan Parsons Project,You Don't Believe,54,54,8
1984-01-07,61,The Police,Wrapped Around Your Finger,,61,1
1984-01-07,62,Cyndi Lauper,Girls Just Want To Have Fun,69,62,4
1984-01-07,63,Midnight Star,Wet My Whistle,64,63,7
1984-01-07,64,Michael Jackson,P.Y.T. (Pretty Young Thing),47,10,14
1984-01-07,65,Rick Springfield,Souls,41,23,13
1984-01-07,66,Peabo Bryson & Roberta Flack,You're Looking Like Love To Me,74,66,3
1984-01-07,67,Stray Cats,I Won't Stand In Your Way,56,35,11
1984-01-07,68,Barbra Streisand,The Way He Makes Me Feel,57,40,12
1984-01-07,69,KISS,Lick It Up,66,66,9
1984-01-07,70,The S.O.S. Band,Tell Me If You Still Care,79,70,8
1984-01-07,71,The Doors,Gloria,73,71,6
1984-01-07,72,Quiet Riot,Bang Your Head (Metal Health),,72,1
1984-01-07,73,Bonnie Tyler,Total Eclipse Of The Heart,68,1,26
1984-01-07,74,Peabo Bryson/Roberta Flack,"Tonight, I Celebrate My Love",70,16,27
1984-01-07,75,Prince,LET's PRETEND WE'rE MARRIED,82,75,4
1984-01-07,76,Sheena Easton,Telefone (long Distance Love Affair),71,9,21
