date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1986-01-04,1,Alisha,Baby Talk,1,1,11
1986-01-04,2,Stevie Wonder,Go Home (Remix),2,2,5
1986-01-04,3,Total Contrast,Takes A Little Time,3,1,11
1986-01-04,4,Jocelyn Brown,Love's Gonna Get You,4,4,7
1986-01-04,5,Grace Jones,Slave To The Rhythm (LP Cuts),5,5,7
1986-01-04,6,Baltimora,Tarzan Boy,6,6,8
1986-01-04,7,Various Artists,Krush Groove (LP Cuts),7,7,6
1986-01-04,8,"Evelyn ""Champagne"" King",Your Personal Touch,8,5,9
1986-01-04,9,Book Of Love,I Touch Roses,9,8,9
1986-01-04,10,Lisa Lisa And Cult Jam With Full Force,Can You Feel The Beat,10,10,7
1986-01-04,11,Jennifer Holliday,No Frills Love (Remix),11,11,5
1986-01-04,12,Five Star,Let Me Be The One (Remix),12,12,7
1986-01-04,13,Phyllis Nelson,I Like You,13,1,11
1986-01-04,14,Eurythmics & Aretha Franklin,Sisters Are Doin' It For Themselves,14,14,5
1986-01-04,15,Ready For The World,Digital Display (Remix),15,15,4
1986-01-04,16,Third World,One More Time (Remix),16,16,5
1986-01-04,17,Yoko Ono,Hell In Paradise,17,12,9
1986-01-04,18,Magazine 60,Don Quichotte,18,18,6
1986-01-04,19,Bronski Beat,Hundreds And Thousands (EP),19,19,6
1986-01-04,20,Rochelle,My Magic Man,20,17,7
1986-01-04,21,The Jets,Curiosity,21,21,6
1986-01-04,22,Sheila E.,A Love Bizarre,22,1,12
1986-01-04,23,Expose,Exposed To Love,23,23,5
1986-01-04,24,Reggie,On The Park/Into The Groove,24,24,4
1986-01-04,25,Kurtis Blow,If I Ruled The World,25,25,6
1986-01-04,26,Sheena Easton,Do It For Love,26,26,4
1986-01-04,27,Subject,"The Magic, The Moment",27,27,5
1986-01-04,28,Chip E. Inc. Featuring K. Joy,Like This,28,28,5
1986-01-04,29,Arcadia,Election Day,29,29,5
1986-01-04,30,Haywoode,Roses,30,30,5
1986-01-04,31,Teen Rock,Set Me Free,31,31,3
1986-01-04,32,Stephanie Mills,Stand Back,32,32,2
1986-01-04,33,Simple Minds,Alive & Kicking,33,33,3
1986-01-04,34,INXS,Listen Like Thieves (LP Cuts),34,34,3
1986-01-04,35,New Order,Sub-Culture (Remix),35,35,4
1986-01-04,36,Siouxsie & The Banshees,Cities In Dust,36,36,3
1986-01-04,37,The Weather Girls,No One Can Love You More Than Me,37,37,3
1986-01-04,38,Fine Young Cannibals,Johnny Come Home/Blue,38,38,2
1986-01-04,39,Colonel Abrams,Colonel Abrams (LP Cuts),39,39,2
1986-01-04,40,Blancmange,Lose Your Love/Ave Maria,40,40,2
1986-01-04,41,Kool & The Gang,Emergency,41,41,4
1986-01-04,42,Eddie Murphy,Party All The Time,42,19,10
1986-01-04,43,Tricky Tee,Johnny The Fox,43,43,4
1986-01-04,44,Black Ivory,I've Got My Eye On You,44,44,2
1986-01-04,45,Boys Don't Cry,I Wanna Be A Cowboy,45,45,2
1986-01-04,46,C-Bank,Good To The Last Drop,46,46,2
1986-01-04,47,Ta Mara & The Seen,Everybody Dance,47,9,11
1986-01-04,48,Artists United Against Apartheid,Sun City,48,48,2
1986-01-04,49,The Temptations,Do You Really Love Your Baby,49,49,2
1986-01-04,50,Natalie Cole,Secrets,50,50,2
1986-01-04,51,a-ha,The Sun Always Shines On T.V. (Remix),51,51,
1986-01-04,52,James Brown,Living In America,52,52,
1986-01-11,1,Stevie Wonder,Go Home (Remix),2,1,6
1986-01-11,2,Jocelyn Brown,Love's Gonna Get You,4,2,8
1986-01-11,3,Grace Jones,Slave To The Rhythm (LP Cuts),5,3,8
1986-01-11,4,Jennifer Holliday,No Frills Love (Remix),11,4,6
1986-01-11,5,Alisha,Baby Talk,1,1,12
1986-01-11,6,Various Artists,Krush Groove (LP Cuts),7,6,7
1986-01-11,7,Lisa Lisa And Cult Jam With Full Force,Can You Feel The Beat,10,7,8
1986-01-11,8,Ready For The World,Digital Display (Remix),15,8,5
1986-01-11,9,Third World,One More Time (Remix),16,9,6
1986-01-11,10,Five Star,Let Me Be The One (Remix),12,10,8
1986-01-11,11,Baltimora,Tarzan Boy,6,6,9
1986-01-11,12,Eurythmics & Aretha Franklin,Sisters Are Doin' It For Themselves,14,12,6
1986-01-11,13,Book Of Love,I Touch Roses,9,8,10
1986-01-11,14,"Evelyn ""Champagne"" King",Your Personal Touch,8,5,10
