date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1988-01-02,1,Whitney Houston,So Emotional (Remix),1,1,8
1988-01-02,2,M/A/R/R/S,Pump Up The Volume,2,1,13
1988-01-02,3,Supertramp,I'm Beggin' You (Remix),3,3,7
1988-01-02,4,Rick Astley,Never Gonna Give You Up,4,4,6
1988-01-02,5,Pet Shop Boys & Dusty Springfield,What Have I Done To Deserve This?,5,5,5
1988-01-02,6,Tina Turner,Afterglow (Remix),6,5,10
1988-01-02,7,Bananarama,I Can't Help It(Remix)/Mr.Sleaze,7,7,8
1988-01-02,8,INXS,Need You Tonight,8,8,7
1988-01-02,9,Michael Jackson,The Way You Make Me Feel (Remix),9,9,4
1988-01-02,10,Gladys Knight And The Pips,Love Overboard (Remix),10,10,6
1988-01-02,11,Nocera,Let's Go,11,8,9
1988-01-02,12,John Rocca,Move,12,11,8
1988-01-02,13,The Communards,Never Can Say Goodbye,13,13,4
1988-01-02,14,Les Rita Mitsouko,Andy (Remix),14,14,6
1988-01-02,15,Buster Poindexter & His Banshees Of Blue,Hot Hot Hot,15,15,6
1988-01-02,16,Various Artists,Welcome To The Club (LP Cuts),16,16,5
1988-01-02,17,Madonna,You Can Dance (LP Cuts),17,17,3
1988-01-02,18,Chic,Jack Le Freak,18,18,4
1988-01-02,19,Sting,We'll Be Together (Remix),19,17,8
1988-01-02,20,D.A.F.,The Gun,20,20,7
1988-01-02,21,Georgio,Lover's Lane (Remix),21,2,13
1988-01-02,22,The Cookie Crew,Females (Get On Up),22,22,5
1988-01-02,23,Boy George,"Live My Life (From The Film ""Hiding Out"")",23,23,4
1988-01-02,24,"Earth, Wind & Fire",System of Survival (Remix),24,1,11
1988-01-02,25,Judy Torres,Come Into My Arms,25,25,5
1988-01-02,26,Double Destiny,Prove It,26,26,5
1988-01-02,27,The Alarm,Rain In The Summertime (Remix),27,27,4
1988-01-02,28,Nitzer Ebb,Join In The Chant (Remix),28,9,10
1988-01-02,29,Swing Out Sister,Twilight World (Remix),29,29,3
1988-01-02,30,Public Image Ltd.,Seattle/The Body,30,30,4
1988-01-02,31,Chena,E.S.P.,31,31,4
1988-01-02,32,Stevie Wonder,Characters (LP Cuts),32,32,2
1988-01-02,33,Taste-T-Lips,Hypnotize (Remix),33,33,3
1988-01-02,34,Debbie Gibson,Shake Your Love (Remix),34,6,12
1988-01-02,35,Ex-Sample,And So It Goes,35,35,3
1988-01-02,36,Brenda K. Starr,Breakfast In Bed (Remix),36,18,8
1988-01-02,37,Total Contrast,Kiss,37,37,2
1988-01-02,38,Prince,I Could Never.../Hot Thing,38,38,2
1988-01-02,39,Wally Jump Jr./Criminal Element,Private Party (Remix),39,39,5
1988-01-02,40,Raquel Welch,This Girl's Back In Town,40,40,2
1988-01-02,41,Society,Love It,41,30,13
1988-01-02,42,Ava Cherry,Keep Me Satisfied,42,42,2
1988-01-02,43,Sisters Of Mercy,This Corrosion,43,38,5
1988-01-02,44,Depeche Mode,Never Let Me Down Again/Pleasure Little Treasure,44,12,10
1988-01-02,45,Patrice Rushen,Come Back To Me,45,45,3
1988-01-02,46,Lydia Love,Don't Take Your Love Away,46,43,7
1988-01-02,47,Age Of Chance,Don't Get Mad...Get Even!,47,47,2
1988-01-02,48,Castle Beat,"Today, Tonight, Forever",48,48,2
1988-01-02,49,Erotic Exotic,(I Can) Give You What You Need,49,49,2
1988-01-02,50,The Breakfast Club,Never Be The Same,50,8,11
1988-01-02,51,Jody Watley,Some Kind Of Lover (Remix),51,51,
1988-01-02,52,George Michael,Faith,52,52,
1988-01-02,53,Nancy Martinez,Can't Wait,53,53,
1988-01-02,54,Taravhonty,Join Hands,54,54,
1988-01-02,55,Alisha,Let Your Heart Make Up Your Mind,55,55,
1988-01-02,56,Elisa Fiorillo,How Can I Forget You (Remix),56,56,
1988-01-02,58,Terry Billy,Don't Lock Me Out,58,58,
1988-01-02,59,Ashley Paul,When Boys Cry,59,59,
1988-01-09,1,Supertramp,I'm Beggin' You (Remix),3,1,8
1988-01-09,2,Rick Astley,Never Gonna Give You Up,4,2,7
1988-01-09,3,Whitney Houston,So Emotional (Remix),1,1,9
1988-01-09,4,M/A/R/R/S,Pump Up The Volume,2,1,14
1988-01-09,5,Pet Shop Boys & Dusty Springfield,What Have I Done To Deserve This?,5,5,6
1988-01-09,6,Michael Jackson,The Way You Make Me Feel (Remix),9,6,5
1988-01-09,7,Gladys Knight And The Pips,Love Overboard (Remix),10,7,7
1988-01-09,8,INXS,Need You Tonight,8,8,8
1988-01-09,9,The Communards,Never Can Say Goodbye,13,9,5
1988-01-09,10,Madonna,You Can Dance (LP Cuts),17,10,4
1988-01-09,11,Les Rita Mitsouko,Andy (Remix),14,11,7
1988-01-09,12,Buster Poindexter & His Banshees Of Blue,Hot Hot Hot,15,12,7
1988-01-09,13,Bananarama,I Can't Help It(Remix)/Mr.Sleaze,7,7,9
1988-01-09,14,Various Artists,Welcome To The Club (LP Cuts),16,14,6
1988-01-09,15,Chic,Jack Le Freak,18,15,5
1988-01-09,16,The Cookie Crew,Females (Get On Up),22,16,6
1988-01-09,17,John Rocca,Move,12,11,9
1988-01-09,18,Tina Turner,Afterglow (Remix),6,5,11
1988-01-09,19,Swing Out Sister,Twilight World (Remix),29,19,4
1988-01-09,20,Prince,I Could Never.../Hot Thing,38,20,3
1988-01-09,21,Boy George,"Live My Life (From The Film ""Hiding Out"")",23,21,5
1988-01-09,22,Stevie Wonder,Characters (LP Cuts),32,22,3
1988-01-09,23,Nocera,Let's Go,11,8,10
1988-01-09,24,Judy Torres,Come Into My Arms,25,24,6
1988-01-09,25,D.A.F.,The Gun,20,20,8
1988-01-09,26,Jody Watley,Some Kind Of Lover (Remix),51,26,1
1988-01-09,27,Taste-T-Lips,Hypnotize (Remix),33,27,4
1988-01-09,28,Chena,E.S.P.,31,28,5
1988-01-09,29,Ex-Sample,And So It Goes,35,29,4
1988-01-09,30,The Alarm,Rain In The Summertime (Remix),27,27,5
1988-01-09,31,Sting,We'll Be Together (Remix),19,17,9
1988-01-09,32,Age Of Chance,Don't Get Mad...Get Even!,47,32,3
1988-01-09,33,Total Contrast,Kiss,37,33,3
1988-01-09,34,Public Image Ltd.,Seattle/The Body,30,30,5
1988-01-09,35,Ava Cherry,Keep Me Satisfied,42,35,3
1988-01-09,36,Raquel Welch,This Girl's Back In Town,40,36,3
1988-01-09,37,Double Destiny,Prove It,26,26,6
1988-01-09,38,Castle Beat,"Today, Tonight, Forever",48,38,3
1988-01-09,39,Nancy Martinez,Can't Wait,53,39,1
1988-01-09,40,Patrice Rushen,Come Back To Me,45,40,4
1988-01-09,41,Aerosmith,Dude (Looks Like A Lady),,41,1
1988-01-09,42,Erotic Exotic,(I Can) Give You What You Need,49,42,3
1988-01-09,43,Wally Jump Jr./Criminal Element,Private Party (Remix),39,39,6
1988-01-09,44,Society,Love It,41,30,14
1988-01-09,45,George Michael,Faith,52,45,1
1988-01-09,46,Sisters Of Mercy,This Corrosion,43,38,6
1988-01-09,47,Keith Sweat,I Want Her,,47,1
1988-01-09,48,Joyce Sims,Come Into My Life,,48,1
1988-01-09,49,Well Red,Get Lucky,,49,1
1988-01-09,50,Georgio,Lover's Lane (Remix),21,2,14
1988-01-09,51,Jellybean,Just A Mirage (Remix),,51,
1988-01-09,52,Salt-N-Pepa,Chick On The Side/I Am Down,,52,
1988-01-09,53,Mel & Kim,I'm The One Who Really Loves You,,53,
1988-01-09,54,Company B,Perfect Lover,,54,
1988-01-09,55,Eurythmics,I Need A Man/Beethoven,,55,
1988-01-09,56,Blue Mercedes,I Want To Be Your Property,,56,
1988-01-09,57,Meli'sa Morgan,If You Can Do It; I Can Too!!,,57,
1988-01-16,1,Rick Astley,Never Gonna Give You Up,2,1,8
1988-01-16,2,Pet Shop Boys & Dusty Springfield,What Have I Done To Deserve This?,5,2,7
1988-01-16,3,Supertramp,I'm Beggin' You (Remix),1,1,9
1988-01-16,4,Gladys Knight And The Pips,Love Overboard (Remix),7,4,8
1988-01-16,5,Michael Jackson,The Way You Make Me Feel (Remix),6,5,6
1988-01-16,6,The Communards,Never Can Say Goodbye,9,6,6
1988-01-16,7,INXS,Need You Tonight,8,7,9
1988-01-16,8,Madonna,You Can Dance (LP Cuts),10,8,5
1988-01-16,9,M/A/R/R/S,Pump Up The Volume,4,1,15
1988-01-16,10,Whitney Houston,So Emotional (Remix),3,1,10
1988-01-16,11,Les Rita Mitsouko,Andy (Remix),11,11,8
1988-01-16,12,Buster Poindexter & His Banshees Of Blue,Hot Hot Hot,12,12,8
1988-01-16,13,Various Artists,Welcome To The Club (LP Cuts),14,13,7
1988-01-16,14,Prince,I Could Never.../Hot Thing,20,14,4
1988-01-16,15,Jody Watley,Some Kind Of Lover (Remix),26,15,2
1988-01-16,16,Swing Out Sister,Twilight World (Remix),19,16,5
1988-01-16,17,Stevie Wonder,Characters (LP Cuts),22,17,4
1988-01-16,18,The Cookie Crew,Females (Get On Up),16,16,7
1988-01-16,19,Chic,Jack Le Freak,15,15,6
1988-01-16,20,Judy Torres,Come Into My Arms,24,20,7
1988-01-16,21,Boy George,"Live My Life (From The Film ""Hiding Out"")",21,21,6
1988-01-16,22,Bananarama,I Can't Help It(Remix)/Mr.Sleaze,13,7,10
1988-01-16,23,Ava Cherry,Keep Me Satisfied,35,23,4
1988-01-16,24,Age Of Chance,Don't Get Mad...Get Even!,32,24,4
1988-01-16,25,Ex-Sample,And So It Goes,29,25,5
1988-01-16,26,Total Contrast,Kiss,33,26,4
1988-01-16,27,Taste-T-Lips,Hypnotize (Remix),27,27,5
1988-01-16,28,Castle Beat,"Today, Tonight, Forever",38,28,4
1988-01-16,29,Raquel Welch,This Girl's Back In Town,36,29,4
1988-01-16,30,George Michael,Faith,45,30,2
1988-01-16,31,Nancy Martinez,Can't Wait,39,31,2
1988-01-16,32,Chena,E.S.P.,28,28,6
1988-01-16,33,D.A.F.,The Gun,25,20,9
1988-01-16,34,The Alarm,Rain In The Summertime (Remix),30,27,6
1988-01-16,35,Public Image Ltd.,Seattle/The Body,34,30,6
1988-01-16,36,John Rocca,Move,17,11,10
1988-01-16,37,Patrice Rushen,Come Back To Me,40,37,5
1988-01-16,38,Eurythmics,I Need A Man/Beethoven,55,38,1
1988-01-16,39,Double Destiny,Prove It,37,26,7
1988-01-16,40,Claudja Barry,Hot To The Touch,,40,1
1988-01-16,41,Blue Mercedes,I Want To Be Your Property,56,41,1
1988-01-16,42,Jellybean,Just A Mirage (Remix),51,42,1
1988-01-16,43,Alisha,Let Your Heart Make Up Your Mind,,43,1
1988-01-16,44,Mel & Kim,I'm The One Who Really Loves You,53,44,1
1988-01-16,45,Terry Billy,Don't Lock Me Out,,45,1
1988-01-16,46,Erotic Exotic,(I Can) Give You What You Need,42,42,4
1988-01-16,47,Company B,Perfect Lover,54,47,1
1988-01-16,48,Tina Turner,Afterglow (Remix),18,5,12
1988-01-16,49,Aerosmith,Dude (Looks Like A Lady),41,41,2
1988-01-16,50,Keith Sweat,I Want Her,47,47,2
1988-01-16,51,Tina B.,Miracles Explode,,51,
1988-01-16,52,Eric B. & Rakim,Move The Crowd/Paid In Full (Remix),,52,
1988-01-16,54,Flesh For Lulu,Postcards From Paradise,,54,
1988-01-23,1,Pet Shop Boys & Dusty Springfield,What Have I Done To Deserve This?,2,1,8
1988-01-23,2,Rick Astley,Never Gonna Give You Up,1,1,9
1988-01-23,3,Michael Jackson,The Way You Make Me Feel (Remix),5,3,7
1988-01-23,4,Gladys Knight And The Pips,Love Overboard (Remix),4,4,9
1988-01-23,5,The Communards,Never Can Say Goodbye,6,5,7
1988-01-23,6,Madonna,You Can Dance (LP Cuts),8,6,6
1988-01-23,7,INXS,Need You Tonight,7,7,10
1988-01-23,8,Jody Watley,Some Kind Of Lover (Remix),15,8,3
1988-01-23,9,Prince,I Could Never.../Hot Thing,14,9,5
1988-01-23,10,Supertramp,I'm Beggin' You (Remix),3,1,10
1988-01-23,11,Buster Poindexter & His Banshees Of Blue,Hot Hot Hot,12,11,9
1988-01-23,12,Les Rita Mitsouko,Andy (Remix),11,11,9
1988-01-23,13,Stevie Wonder,Characters (LP Cuts),17,13,5
1988-01-23,14,Swing Out Sister,Twilight World (Remix),16,14,6
1988-01-23,15,M/A/R/R/S,Pump Up The Volume,9,1,16
1988-01-23,16,The Cookie Crew,Females (Get On Up),18,16,8
1988-01-23,17,Age Of Chance,Don't Get Mad...Get Even!,24,17,5
1988-01-23,18,Ava Cherry,Keep Me Satisfied,23,18,5
1988-01-23,19,Judy Torres,Come Into My Arms,20,19,8
1988-01-23,20,Boy George,"Live My Life (From The Film ""Hiding Out"")",21,20,7
1988-01-23,21,Ex-Sample,And So It Goes,25,21,6
1988-01-23,22,Whitney Houston,So Emotional (Remix),10,1,11
1988-01-23,23,Blue Mercedes,I Want To Be Your Property,41,23,2
1988-01-23,24,George Michael,Faith,30,24,3
1988-01-23,25,Castle Beat,"Today, Tonight, Forever",28,25,5
1988-01-23,26,Nancy Martinez,Can't Wait,31,26,3
1988-01-23,27,Total Contrast,Kiss,26,26,5
1988-01-23,28,Taste-T-Lips,Hypnotize (Remix),27,27,6
1988-01-23,29,Raquel Welch,This Girl's Back In Town,29,29,5
1988-01-23,30,Eurythmics,I Need A Man/Beethoven,38,30,2
1988-01-23,31,Various Artists,Welcome To The Club (LP Cuts),13,13,8
1988-01-23,32,Jellybean,Just A Mirage (Remix),42,32,2
