date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1985-01-05,1,Madonna,Like A Virgin,1,1,7
1985-01-05,2,Paul Hardcastle,Rain Forest/Sound Chaser,2,2,9
1985-01-05,3,Dan Hartman,We Are The Young,3,3,7
1985-01-05,4,Double Entente,Sleeping Dogs Lie,4,4,6
1985-01-05,5,Eurythmics,Sexcrime (Nineteen Eighty-Four)/I Did It Just The Same,5,5,6
1985-01-05,6,Nuance Featuring Vikki Love,Loveride,8,6,6
1985-01-05,7,Deodato,"S.O.S., Fire In The Sky",10,7,6
1985-01-05,8,Teena Marie,Lover Girl,6,6,10
1985-01-05,9,Thelma Houston,You Used To Hold Me So Tight,7,7,8
1985-01-05,10,Fun Fun,Color My Love,9,9,7
1985-01-05,11,Billy Ocean,Loverboy,20,11,4
1985-01-05,12,Sade,Hang On To Your Love,16,12,5
1985-01-05,13,The Limit,Say Yeah,24,13,4
1985-01-05,14,Melissa Manchester,Thief Of Hearts,14,14,7
1985-01-05,15,Angela Bofill,Can't Slow Down,15,15,6
1985-01-05,16,Jellybean,Sidewalk Talk,48,16,3
1985-01-05,17,Midnight Star,Operator,17,17,6
1985-01-05,18,Tina B.,Nothin's Gonna Come Easy,18,18,5
1985-01-05,19,New York City Peech Boys,"Come On, Come On",23,19,5
1985-01-05,20,Malcolm McLaren,Madam Butterfly,19,19,7
1985-01-05,21,General Public,Tenderness,28,21,8
1985-01-05,22,Bronski Beat,Smalltown Boy,44,22,3
1985-01-05,23,Clair Hicks And Love Exchange,Push (In The Bush),50,23,3
1985-01-05,24,The Pointer Sisters,Neutron Dance,49,24,3
1985-01-05,25,Sylvester,Rock The Box,26,25,7
1985-01-05,26,Girltalk,Can The Rhythm,33,26,4
1985-01-05,27,Bronski Beat,Why?,36,27,4
1985-01-05,28,Fred Schneider,Monster / Boonga (The New Jersey Caveman),25,25,6
1985-01-05,29,Laura Branigan,Satisfaction,53,29,1
1985-01-05,30,Stephanie Mills,Edge Of The Razor,51,30,1
1985-01-05,31,Jolo,Last Call,42,31,3
1985-01-05,32,Apollonia 6,Sex Shooter (Remix),32,32,8
1985-01-05,33,Serious Intention,You Don't Know,35,33,6
1985-01-05,34,The Fatback Band,Spread Love,58,34,1
1985-01-05,35,Alphaville,Big In Japan,12,1,10
1985-01-05,36,Bonzo Goes To Washington,5 Minutes,38,36,4
1985-01-05,37,Klymaxx,The Men All Pause,66,37,1
1985-01-05,38,Blancmange,That's Love That It Is/Game Above My Head,52,38,1
1985-01-05,39,Shakatak,Down On the Street,57,39,1
1985-01-05,40,The Vels,Look My Way,47,40,3
1985-01-05,41,Junie Morrison,Tease Me,13,13,8
1985-01-05,42,Toni Basil,Suspense,11,8,10
1985-01-05,43,Jeffrey Osborne,The Borderlines,,43,1
1985-01-05,44,Nolan Thomas,Yo' Little Brother,43,39,7
1985-01-05,45,Robey,One Night In Bangkok,56,45,1
1985-01-05,46,Dazz Band,Let It All Blow,27,3,10
1985-01-05,47,Roy Ayers,In The Dark,64,47,1
1985-01-05,48,Bronski Beat,The Age Of Consent (all cuts),,48,1
1985-01-05,49,Murray Head,One Night In Bangkok,,49,1
1985-01-05,50,Fancy,Come Inside/Chinese Eyes,,50,1
1985-01-05,51,Dalbello,Animal,60,51,
1985-01-05,52,Barry Gibb,Fine Line,54,52,
1985-01-05,53,Scritti Politti,Hypnotize,65,53,
1985-01-05,54,Lauren Grey,Putting The Night On Hold/Irresistable Love,,54,
1985-01-05,55,Donna Summer,Supernatural Love,39,39,4
1985-01-05,56,Gianni Sirenne,Do Whatcha Wanna Do,46,46,3
1985-01-05,57,Samson & Delilah,I Can Feel Your Love Slippin' Away,,57,
1985-01-05,58,Clandestine Featuring Ned Sublette,Radio Rhythm (S-I-G-N-A-L S-M-A-R-T),68,58,
1985-01-05,59,Ashford & Simpson,Solid,31,15,8
1985-01-05,60,Daryl Hall John Oates,Method Of Modern Love,,60,
1985-01-05,61,The Flirts,Helpless (You Took My Love),21,12,9
1985-01-05,62,Duran Duran,The Wild Boys,30,27,5
1985-01-05,63,Rita Hart,Pardon Me Mister,45,45,3
1985-01-05,64,Boney M.,Kalimba De Luna,,64,
1985-01-05,65,Stevie Wonder,Love Light In Flight,,65,
1985-01-05,66,Rock Master Scott And The Dynamic Three,Request Line,,66,
1985-01-05,67,The Whispers,Contagious,59,59,
1985-01-05,68,Culture Club,The War Song,34,7,10
1985-01-05,69,UB40,If It Happens Again / Nkomo A Go Go,69,69,
1985-01-05,70,Mascara,Baja,29,11,10
1985-01-05,71,The Cars,Hello Again,22,8,8
1985-01-05,72,M+M,Cooling The Medium,37,34,6
1985-01-05,73,Peter Brown,(Love Is Just) The Game,40,2,11
1985-01-05,74,Jermaine Stewart,The Word Is Out,41,4,11
1985-01-05,75,Chaka Khan,I Feel For You,63,1,13
1985-01-05,76,Daryl Hall John Oates,Out of Touch,55,1,10
1985-01-05,77,Freddie Mercury,Love Kills / Rotwang's Party (Robot Dance),61,44,3
1985-01-05,78,Bruce Springsteen,Cover Me,76,11,7
1985-01-05,79,John Rocca,Once Upon A Time,72,72,
1985-01-05,80,Wish Featuring Fonda Rae,Tuch Me (All Night Long),78,5,12
1985-01-12,1,Dan Hartman,We Are The Young,3,1,8
1985-01-12,2,Madonna,Like A Virgin,1,1,8
1985-01-12,3,Paul Hardcastle,Rain Forest/Sound Chaser,2,2,10
1985-01-12,4,Eurythmics,Sexcrime (Nineteen Eighty-Four)/I Did It Just The Same,5,4,7
1985-01-12,5,Nuance Featuring Vikki Love,Loveride,6,5,7
1985-01-12,6,Double Entente,Sleeping Dogs Lie,4,4,7
1985-01-12,7,Deodato,"S.O.S., Fire In The Sky",7,7,7
1985-01-12,8,Billy Ocean,Loverboy,11,8,5
1985-01-12,9,Jellybean,Sidewalk Talk,16,9,4
1985-01-12,10,Teena Marie,Lover Girl,8,6,11
1985-01-12,11,Fun Fun,Color My Love,10,9,8
1985-01-12,12,Sade,Hang On To Your Love,12,12,6
1985-01-12,13,The Limit,Say Yeah,13,13,5
1985-01-12,14,Thelma Houston,You Used To Hold Me So Tight,9,7,9
1985-01-12,15,Midnight Star,Operator,17,15,7
1985-01-12,16,Bronski Beat,Smalltown Boy,22,16,4
1985-01-12,17,New York City Peech Boys,"Come On, Come On",19,17,6
1985-01-12,18,The Pointer Sisters,Neutron Dance,24,18,4
1985-01-12,19,Melissa Manchester,Thief Of Hearts,14,14,8
1985-01-12,20,General Public,Tenderness,21,20,9
1985-01-12,21,Clair Hicks And Love Exchange,Push (In The Bush),23,21,4
1985-01-12,22,Tina B.,Nothin's Gonna Come Easy,18,18,6
1985-01-12,23,Stephanie Mills,Edge Of The Razor,30,23,2
1985-01-12,24,Laura Branigan,Satisfaction,29,24,2
1985-01-12,25,Blancmange,That's Love That It Is/Game Above My Head,38,25,2
1985-01-12,26,Girltalk,Can The Rhythm,26,26,5
1985-01-12,27,Bronski Beat,Why?,27,27,5
1985-01-12,28,Bronski Beat,The Age Of Consent (all cuts),48,28,2
1985-01-12,29,Klymaxx,The Men All Pause,37,29,2
1985-01-12,30,Fancy,Come Inside/Chinese Eyes,50,30,2
1985-01-12,31,Jolo,Last Call,31,31,4
1985-01-12,32,The Fatback Band,Spread Love,34,32,2
1985-01-12,33,Serious Intention,You Don't Know,33,33,7
1985-01-12,34,Sylvester,Rock The Box,25,25,8
1985-01-12,35,Shakatak,Down On the Street,39,35,2
1985-01-12,36,Jeffrey Osborne,The Borderlines,43,36,2
1985-01-12,37,Angela Bofill,Can't Slow Down,15,15,7
1985-01-12,38,Malcolm McLaren,Madam Butterfly,20,19,8
1985-01-12,39,Fred Schneider,Monster / Boonga (The New Jersey Caveman),28,25,7
