date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1984-01-07,1,Daryl Hall John Oates,Say It Isn't So,1,1,6
1984-01-07,2,Lisa,ROCK IT TO YOUR HEART/MANDATORY LOVE,2,2,10
1984-01-07,3,Culture Club,Colour By Numbers (all cuts),3,3,9
1984-01-07,4,The Pointer Sisters,I Need You / Automatic,4,4,7
1984-01-07,5,George Kranz,Trommeltanz (din Daa Daa),6,5,6
1984-01-07,6,Yes,Owner Of A Lonely Heart,13,6,4
1984-01-07,7,Irene Cara,Why Me?,10,7,8
1984-01-07,8,Gang Of Four,IS IT LOVE,8,8,10
1984-01-07,9,Eartha Kitt,Where Is My Man,9,9,7
1984-01-07,10,The Romantics,TALKING IN YOUR SLEEP,7,1,10
1984-01-07,11,Freeez,POP GOES MY LOVE/SCRATCH GOES MY DUB,5,5,9
1984-01-07,12,The Rolling Stones,UNDERCOVER OF THE NIGHT,12,12,7
1984-01-07,13,Toni Basil,OVER MY HEAD,22,13,4
1984-01-07,14,Jenny Burton,Remember What You Like,15,14,5
1984-01-07,15,Xena,ON THE UPSIDE,19,15,4
1984-01-07,16,Junior,Unison,16,16,6
1984-01-07,17,Paul McCartney And Michael Jackson,Say Say Say,11,2,11
1984-01-07,18,Grandmaster & Melle Mel,White Lines (Don't Do It),18,9,11
1984-01-07,19,Depeche Mode,Everything Counts,17,17,7
1984-01-07,20,Re-flex,THE POLITICS OF DANCING,32,20,3
1984-01-07,21,Rue Caldwell,THE PARTY STARTS WHEN I'm WITH YOU,21,21,7
1984-01-07,22,Yello,PUMPING VELVET/NO MORE WORDS,56,22,1
1984-01-07,23,Tom Tom Club,PLEASURE OF LOVE,23,23,6
1984-01-07,24,Elbow Bones And The Racketeers,A NIGHT IN NEW YORK,24,24,7
1984-01-07,25,The Jamaica Girls,NEED SOMEBODY NEW,25,25,5
1984-01-07,26,Shannon,LET THE MUSIC PLAY,14,1,15
1984-01-07,27,Captain Rapp,BAD TIMES (I CAN't STAND IT),27,27,6
1984-01-07,28,Sylvester,TOO LATE/TROUBLE IN PARADISE,34,28,3
