date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1997-01-04,1,Toni Braxton,Un-Break My Heart,1,1,8
1997-01-04,2,Hannah Jones,No One Can Love You More Than Me,2,2,10
1997-01-04,3,BT featuring Tori Amos,Blue Skies,3,3,9
1997-01-04,4,Gisele Jackson,Love Commandments,4,3,12
1997-01-04,5,C.J. Bolland,Sugar Is Sweeter,5,1,9
1997-01-04,6,Simply Red,Angel,6,6,8
1997-01-04,7,Stephanie Cooke,Holding On To Your Love,7,4,11
1997-01-04,8,The Braxtons,The Boss,8,8,5
1997-01-04,9,Inner Soul Featuring Sonya Rogers,Report To The Floor,9,9,8
1997-01-04,10,Robert Miles Featuring Maria Nayler,One And One,10,1,10
1997-01-04,11,Chaka Khan feat. Me'shell Ndegeocello,Never Miss the Water,11,11,6
1997-01-04,12,Fonda Rae,Living In Ecstasy,12,12,6
1997-01-04,13,Hands On Yello,La Habanera,13,13,8
1997-01-04,14,Staxx Of Joy,Shout,14,8,11
1997-01-04,15,Happy Clappers,Can't Help It,15,2,13
1997-01-04,16,Reign,Indestructible,16,16,7
1997-01-04,17,E.K.O.,De La Casa,17,17,6
1997-01-04,18,Cajmere,Only 4 U,18,18,7
1997-01-04,19,Suzann Rye,Because You Loved Me,19,19,7
1997-01-04,20,Amber,Colour Of Love,20,20,6
1997-01-04,21,Byron Stingily,Get Up,21,21,3
1997-01-04,22,Urban Soul feat. Sandy B.,Back Together,22,22,4
1997-01-04,23,Gina G,Ooh Aah...Just a Little Bit,23,23,5
1997-01-04,24,Qkumba Zoo,The Child (Inside),24,1,13
1997-01-04,25,Danny Tenaglia,Ohno,25,17,9
1997-01-04,26,Deep 6,Set Me Free,26,26,4
1997-01-04,27,NuYorican Soul Featuring George Benson,You Can Do It (Baby),27,27,5
1997-01-04,28,Cher,Paradise Is Here,28,28,4
1997-01-04,29,Sheryl Jay,Let the Beat Hit 'Em,29,29,4
1997-01-04,30,Funky Green Dogs,Fired Up!,30,2,14
1997-01-04,31,El Mariachi,Cuba,31,10,12
1997-01-04,32,Heller & Farley Project,Ultra Flava,32,32,3
1997-01-04,33,Kristine W,Land Of The Living,33,1,14
1997-01-04,34,The World Wide Message Tribe,The Real Thing,34,22,9
1997-01-04,35,Glenn Toby,Holiday,35,19,10
1997-01-04,36,Jamiroquai,Cosmic Girl,36,36,3
1997-01-04,37,Rozalla,Everybody's Free (To Feel Good),37,14,11
1997-01-04,38,George Morel Featuring Heather Wildman,Let's Groove,38,38,5
1997-01-04,39,Gloria Estefan,Higher,39,39,3
1997-01-04,40,Cevin Fisher,Shine The Light,40,35,6
1997-01-04,41,Celine Dion,It's All Coming Back To Me Now,41,15,12
1997-01-04,42,Tzant featuring Verna Francis,Hot & Wet (Believe It),42,42,4
1997-01-04,43,Lydia Rhodes,Live It Cool (Just Do It),43,33,6
1997-01-04,44,Saint Etienne,He's On The Phone,44,44,3
1997-01-04,45,Doc Martin Presents Blakdoktor,Lunatix,45,45,2
1997-01-04,46,CB Milton,Time Is Up,46,46,3
1997-01-04,47,Lonnie Gordon,If You Really Love Me,47,42,5
1997-01-04,48,The Bomb Squad,Pressure,48,48,2
1997-01-04,49,Ann Nesby,Can I Get a Witness,49,11,13
1997-01-04,50,Way Out West feat. Miss Joanna Law,The Gift,50,50,4
1997-01-04,51,Noise Maker,Moments...,51,51,
1997-01-04,52,House Of Glass Featuring Judy Albanese,Take Me Over,52,52,
1997-01-04,53,The Mighty Dub Katz,It's Just Another Groove,53,53,
1997-01-04,54,France Joli,Touch,54,54,
1997-01-04,55,Outta Control,Sinful Wishes,55,55,
1997-01-11,1,Toni Braxton,Un-Break My Heart,1,1,9
1997-01-11,2,Hannah Jones,No One Can Love You More Than Me,2,2,11
1997-01-11,3,BT featuring Tori Amos,Blue Skies,3,3,10
1997-01-11,4,The Braxtons,The Boss,8,4,6
1997-01-11,5,C.J. Bolland,Sugar Is Sweeter,5,1,10
1997-01-11,6,Simply Red,Angel,6,6,9
1997-01-11,7,Chaka Khan feat. Me'shell Ndegeocello,Never Miss the Water,11,7,7
1997-01-11,8,Inner Soul Featuring Sonya Rogers,Report To The Floor,9,8,9
1997-01-11,9,Fonda Rae,Living In Ecstasy,12,9,7
1997-01-11,10,Gisele Jackson,Love Commandments,4,3,13
1997-01-11,11,Hands On Yello,La Habanera,13,11,9
1997-01-11,12,E.K.O.,De La Casa,17,12,7
1997-01-11,13,Stephanie Cooke,Holding On To Your Love,7,4,12
1997-01-11,14,Byron Stingily,Get Up,21,14,4
1997-01-11,15,Cajmere,Only 4 U,18,15,8
1997-01-11,16,Amber,Colour Of Love,20,16,7
1997-01-11,17,Gina G,Ooh Aah...Just a Little Bit,23,17,6
1997-01-11,18,Reign,Indestructible,16,16,8
1997-01-11,19,Urban Soul feat. Sandy B.,Back Together,22,19,5
1997-01-11,20,Robert Miles Featuring Maria Nayler,One And One,10,1,11
1997-01-11,21,Cher,Paradise Is Here,28,21,5
1997-01-11,22,Suzann Rye,Because You Loved Me,19,19,8
1997-01-11,23,Heller & Farley Project,Ultra Flava,32,23,4
1997-01-11,24,Deep 6,Set Me Free,26,24,5
1997-01-11,25,Staxx Of Joy,Shout,14,8,12
1997-01-11,26,NuYorican Soul Featuring George Benson,You Can Do It (Baby),27,26,6
1997-01-11,27,Jamiroquai,Cosmic Girl,36,27,4
1997-01-11,28,Gloria Estefan,Higher,39,28,4
1997-01-11,29,Sheryl Jay,Let the Beat Hit 'Em,29,29,5
1997-01-11,30,Danny Tenaglia,Ohno,25,17,10
1997-01-11,31,Happy Clappers,Can't Help It,15,2,14
1997-01-11,32,Doc Martin Presents Blakdoktor,Lunatix,45,32,3
1997-01-11,33,George Morel Featuring Heather Wildman,Let's Groove,38,33,6
1997-01-11,34,Saint Etienne,He's On The Phone,44,34,4
1997-01-11,35,Cevin Fisher,Shine The Light,40,35,7
1997-01-11,36,Qkumba Zoo,The Child (Inside),24,1,14
1997-01-11,37,The World Wide Message Tribe,The Real Thing,34,22,10
1997-01-11,38,Joi Cardwell,Soul To Bare,,38,1
1997-01-11,39,Tzant featuring Verna Francis,Hot & Wet (Believe It),42,39,5
1997-01-11,40,Lydia Rhodes,Live It Cool (Just Do It),43,33,7
1997-01-11,41,Funky Green Dogs,Fired Up!,30,2,15
1997-01-11,42,Glenn Toby,Holiday,35,19,11
1997-01-11,43,Crystal Waters,Say...If You Feel Alright,,43,1
1997-01-11,44,Rozalla,Everybody's Free (To Feel Good),37,14,12
