date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1996-01-06,1,Ace Of Base,Beautiful Life,7,1,7
1996-01-06,2,Bette Midler,To Deserve You,2,2,9
1996-01-06,3,k.d. lang,If I Were You,4,3,8
1996-01-06,4,Soul Solution,Find A Way,5,4,10
1996-01-06,5,Frankie Knuckles Featuring Adeva,Walkin',8,5,8
1996-01-06,6,La Bouche,Be My Lover,1,1,9
1996-01-06,7,The Bucketheads,Got Myself Together,17,7,5
1996-01-06,8,Daphne,I Found It,13,8,6
1996-01-06,9,Chazz,A Mover La Colita (Move Your Ass),6,5,10
1996-01-06,10,Lil' Mo' Yin Yang,Reach,3,1,12
1996-01-06,11,Dr. Alban,Look Who's Talking,11,11,8
1996-01-06,12,Raw Stylus,Believe In Me,10,1,14
1996-01-06,13,Expose,I Specialize In Love,21,13,5
1996-01-06,14,Gloria Estefan,Abriendo Puertas,9,3,11
1996-01-06,15,Plutonic,Addicted,19,15,6
1996-01-06,16,Dajae,Day By Day,24,16,4
1996-01-06,17,Sunscreem,When,27,17,4
1996-01-06,18,Boy George,Same Thing In Reverse,18,18,7
1996-01-06,19,Cyndi Lauper,Come On Home,20,19,6
1996-01-06,20,Pulse Featuring Antoinette Roberson,The Lover That You Are,29,20,4
1996-01-06,21,Maydie Myles,I've Been Waiting,15,9,11
1996-01-06,22,State Of Grace,Hello,14,8,12
1996-01-06,23,D:REAM,Shoot Me With Your Love,31,23,5
1996-01-06,24,Real McCoy,Automatic Lover (Call For Love),12,3,14
1996-01-06,25,Deeper Featuring Karen Pollard,People,34,25,4
1996-01-06,26,Erasure,Fingers & Thumbs (Cold Summer's Day),30,26,5
1996-01-06,27,Georgie Porgie,Everybody Must Party,26,26,7
1996-01-06,28,Tina Turner,Goldeneye,38,28,4
1996-01-06,29,Erire,Shine,23,16,11
1996-01-06,30,Black Magic,Freedom (Make It Funky),42,30,3
1996-01-06,31,El Cantor,Toma,40,31,3
1996-01-06,32,Temple Of The Groove,Treat Me Right,41,32,3
1996-01-06,33,Diana Ross,Take Me Higher,16,1,15
1996-01-06,34,The Chemical Brothers,Life Is Sweet,33,31,7
1996-01-06,35,95 North Featuring Sabrynaah Pope,My Life,44,35,4
1996-01-06,36,Clubzone,Passion Of The Night,50,36,3
1996-01-06,37,Artie The 1 Man Party,A Mover La Colita,22,19,10
1996-01-06,38,Backstreet Boys,We've Got It Goin' On,46,38,3
1996-01-06,39,Babes In Toyland,We Are Family,36,22,9
1996-01-06,40,Brooklyn Friends,Philadelphia,37,35,6
1996-01-06,41,C+C Music Factory Featuring A.S.K. M.E. And Vic Black,I'll Always Be Around,25,1,13
1996-01-06,42,Vanessa-Mae,Toccata & Fugue In D Minor,28,24,9
1996-01-06,43,Nuttin' Nyce,Nasty Girl,39,39,6
1996-01-06,44,Cirrus,Superstar DJ,,44,1
1996-01-06,45,Keoki,Caterpillar,,45,1
1996-01-06,46,Swing 52,The Joy You Bring,,46,1
