date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1980-01-05,1,Shalamar,The Second Time Around,2,1,10
1980-01-05,2,Dan Hartman,VERTIGO/RELIGHT MY FIRE/FREE RIDE,6,2,6
1980-01-05,3,Don Armando And The 2nd Avenue Rumba Band,DEPUTY OF LOVE,1,1,14
1980-01-05,4,Stargard,Wear It Out,5,4,12
1980-01-05,5,Sylvester,CAN't STOP DANCING/IN MY FANTASY,11,5,6
1980-01-05,6,Prince,I Wanna Be Your Lover / Sexy Dancer,12,6,8
1980-01-05,7,Inner Life,I'm Caught Up / You Don't Have Dancing On Your Mind / I Hope It's The Right,7,7,9
1980-01-05,8,Donna Summer,On The Radio,8,8,6
1980-01-05,9,Jean Shy,NIGHTDANCER,9,9,10
1980-01-05,10,Sergio Mendes,I'll Tell You,10,9,13
1980-01-05,11,Barbra Streisand/Donna Summer,No More Tears (Enough Is Enough),4,1,11
1980-01-05,12,Rufus And Chaka Khan,Do You Love What You Feel,18,12,5
1980-01-05,13,Isaac Hayes,Don't Let Go,3,3,13
1980-01-05,14,Janice McClaine,Smack Dab In The Middle,19,14,5
1980-01-05,15,Busta Jones,(YOU)KEEP ON MAKING ME HOT/(EVERYBODY's)DANCING AL,24,15,6
1980-01-05,16,Phyllis Hyman,YOU KNOW HOW TO LOVE ME,25,16,5
1980-01-05,17,Tjm,TJM-ALL CUTS,21,17,13
1980-01-05,18,Peaches & Herb,ROLLER SKATIN' MATE,22,18,7
1980-01-05,19,Giorgio Moroder,E=MC2 (all cuts),13,4,17
1980-01-05,20,Fever,BEAT OF THE NIGHT/PUMP IT UP,14,1,16
1980-01-05,21,Loose Change,Straight From The Heart,26,21,5
1980-01-05,22,The Spinners,"Working My Way Back To You/Forgive Me, Girl",17,17,8
1980-01-05,23,Scott Allen,I Think We're Alone Now/Will You Love Me Tomorrow,32,23,6
1980-01-05,24,Festival,Evita (all cuts),30,24,4
1980-01-05,25,Ann Margaret,LOVE RUSH,16,8,10
1980-01-05,26,Village People,Ready For The 80's/Sleazy,31,26,6
1980-01-05,27,Musique,LOVE MASSAGE,15,15,10
1980-01-05,28,Kool & The Gang,Ladies Night (all cuts),20,5,16
1980-01-05,29,Deborah Washington,ROCK IT,28,24,8
1980-01-05,30,Liquid Gold,DANCE YOURSELF DIZZY,39,30,4
1980-01-05,31,Patrice Rushen,Haven't You Heard,45,31,3
1980-01-05,32,Rinder And Lewis,Willie And The Hand Jive / Love Potion #9,41,32,3
1980-01-05,33,One Way Featuring Al Hudson,MUSIC,43,33,3
1980-01-05,34,Michael Jackson,Don't Stop 'til You Get Enough,33,2,19
1980-01-05,35,Tempest Trio,Tempest Trio (all cuts),35,23,8
1980-01-05,36,Freddie James,Get Up An Boogie,27,5,26
1980-01-05,37,Barbara Law,TAKE ALL OF ME,40,37,3
1980-01-05,38,Instant Funk,"BODY SHINE/SLAP,SLAP,LICKEDY LAP",44,38,3
1980-01-05,39,Rick James,Love Gun,46,39,3
1980-01-05,40,T.H.P. Orchestra,Good To Me (all cuts),47,40,3
1980-01-05,41,U.N.,U.N.-ALL CUTS,48,41,3
1980-01-05,42,Celi Bee,Blow My Mind,49,42,3
1980-01-05,43,Trussel,Love Injection,52,43,1
1980-01-05,44,Telex,Moskow Discow / Rock Around The Clock,50,44,3
1980-01-05,45,Paul Sabu,Loose Lucy / We're Gonna Rock / Rockin' And Rollin',51,45,1
1980-01-05,46,The Flying Lizards,MONEY,53,46,1
1980-01-05,47,The Duncan Sisters,SADNESS IN MY EYES/BOYS WILL BE BOYS,36,8,15
1980-01-05,48,Theo Vaness,I CAN't DANCE WITHOUT YOU/THANK GOD THERE's MUSIC,67,48,1
1980-01-05,49,Sugarhill Gang,Rapper's Delight,23,14,12
1980-01-05,50,Billy Moore,GO DANCE,29,27,10
1980-01-05,51,Unyque,Keep On Making Me High / Party Down,38,15,9
1980-01-05,52,The Controllers,I CAN't TURN THE BOOGIE LOOSE,42,42,4
1980-01-05,53,The Salsoul Orchestra,HOW HIGH,37,21,13
1980-01-05,54,Suzi Lane,Harmony/Oooh La La,34,1,20
1980-01-05,55,Gary's Gang,Do You Wanna Go Dancin',54,54,
1980-01-05,56,Charlie Calello Orchestra,"SING,SING,SING",55,50,1
1980-01-05,57,Hydro,Keep It Coming / Stop Your Teasing,56,50,1
1980-01-05,58,Roy Ayers,Don't Stop The Feeling,77,58,
1980-01-05,59,George Duke,I Want You For Myself,66,59,
1980-01-05,60,La Flavour,MANDOLAY,71,60,
1980-01-05,61,The B-52s,Planet Claire / Rock Lobster / Dance This Mess Around,80,61,
1980-01-05,62,Janis Ian,FLY TOO HIGH,62,62,
1980-01-05,63,Herb Alpert,Rotation,81,63,
1980-01-05,64,Elton John,Victim Of Love (all cuts),86,55,
1980-01-05,65,Gregg Diamond Bionic Boogie,Tiger Tiger (Feel Good For A While),,65,
1980-01-05,66,Diva Gray And Oyster,SAINT TROPEZ/HOTEL PARADISE,70,66,
1980-01-05,67,Fire And Ice,Inferno (Burn Baby Burn),72,67,
1980-01-05,68,Stephanie Mills,Put Your Body In It / You Can Get Over,74,8,18
1980-01-05,69,The Three Degrees,JUMP THE GUN,79,69,
1980-01-05,70,The Simon Orchestra,Mr. Big Shot (all cuts),69,33,8
