date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1983-01-01,1,The Weather Girls,It's Raining Men,1,1,11
1983-01-01,2,Thompson Twins,LIES/BEACH CULTURE,2,2,8
1983-01-01,3,ABC,THE LOOK OF LOVE,3,1,16
1983-01-01,4,Madonna,EVERYBODY,4,4,9
1983-01-01,5,Prince,1999,5,1,10
1983-01-01,6,Grace Jones,Nipple To The Bottle,6,6,8
1983-01-01,7,Patrick Cowley,Mind Warp (all cuts),7,7,8
1983-01-01,8,Claudja Barry,I Will Follow Him / Work Me Over,8,8,6
1983-01-01,9,Toni Basil,Mickey,9,3,12
1983-01-01,10,Madleen Kane,PLAYING FOR TIME,10,10,9
1983-01-01,11,Whodini,Magic Wand,11,11,10
1983-01-01,12,Marvin Gaye,Sexual Healing,12,12,7
1983-01-01,13,Devo,PEEK-A-BOO,13,13,9
1983-01-01,14,Warp 9,Nunk (New Wave Funk),14,14,9
1983-01-01,15,Inner Life,MOMENT OF MY LIFE,15,15,9
1983-01-01,16,Lovered,DIE HARD LOVER,16,16,9
1983-01-01,17,Man Parrish,"Hip Hop, Be Bop (don't Stop)",17,17,3
1983-01-01,18,Lace,CAN't PLAY AROUND,18,18,5
1983-01-01,19,The Jammers,And You Know That / Be Mine Tonight,19,19,7
1983-01-01,20,Daryl Hall John Oates,MANEATER,20,20,5
1983-01-01,21,Bonnie Forman,WALK AWAY,21,21,5
1983-01-01,22,Montana Sextet,HEAVY VIBES,22,22,6
1983-01-01,23,Planet Patrol,Play At Your Own Risk,23,10,10
1983-01-01,24,Vanity 6,Nasty Girl,24,1,14
1983-01-01,25,Lene Lovich,"It's You, Only You (Mein Schmerz)",25,25,6
1983-01-01,26,Melba Moore,Mind Up Tonight,26,26,6
1983-01-01,27,Toney Lee,REACH UP,27,27,3
1983-01-01,28,The Pointer Sisters,I'm So Excited,28,28,3
1983-01-01,29,Willie Hutch,In And Out,29,29,8
1983-01-01,30,The Members,Going West / Chairman Of The Board,30,30,5
1983-01-01,31,Gwen McCrae,Keep The Fire Burning,31,31,3
1983-01-01,32,Yaz,Don't Go,32,1,17
1983-01-01,33,I-Level,GIVE ME,33,11,11
1983-01-01,34,Roundtree,HIT ON YOU,34,34,3
1983-01-01,35,Scherrie Payne,I'm NOT IN LOVE/GIRL YOU'rE IN LOVE,35,35,7
1983-01-01,36,Heaven 17,WHO WILL STOP THE RAIN,36,36,5
1983-01-01,37,Orbit,THE BEAT GOES ON,37,37,5
1983-01-01,38,Musical Youth,Pass The Dutchie,38,38,3
1983-01-01,39,Central Line,You've Said Enough,39,39,2
1983-01-01,40,Sylvester,All I Need (all cuts),40,40,2
1983-01-01,41,Nancy Martin,Can't Believe,41,5,16
1983-01-01,42,Yello,YOU GOTTA SAY YES TO ANOTHER ACCESS,42,42,4
1983-01-01,43,Material,I'm THE ONE,43,43,4
1983-01-01,44,Bobby O,SHE HAS A WAY,44,44,2
1983-01-01,45,"Tyrone ""Tystick"" Brunson",The Smurf,45,35,6
1983-01-01,46,Peter Godwin,Images Of Heaven / Emotional Disguise,46,22,10
1983-01-01,47,Nairobi And The Awesome Foursome,Funky Soul Makossa,47,47,2
1983-01-01,48,Peter Brown,Baby Gets High,48,48,2
1983-01-01,49,Rodway,DON't STOP TRYING,49,49,2
1983-01-01,50,Culture Club,I'm Afraid Of Me / Do You Really Want To Hurt Me,50,50,2
1983-01-01,51,Michelle Wallace,JAZZY RHYTHM,51,51,
1983-01-01,52,Plush,FREE AND EASY,52,52,
1983-01-01,53,Don Henley,Dirty Laundry,53,47,2
1983-01-01,54,Peter Gabriel,SHOCK THE MONKEY,54,26,6
1983-01-01,55,The Nick Straker Band,STRAIGHT AHEAD,55,12,9
1983-01-01,56,The S.O.S. Band,HIGH HOPES,56,49,2
1983-01-01,57,Carol Williams,CAN't GET AWAY (FROM YOUR LOVE),57,38,6
1983-01-01,58,Captain Sensible,WOT,58,24,8
1983-01-01,59,Deodato,KEEP IT IN THE FAMILY/KEEP ON MOVIN',59,41,4
1983-01-01,60,Indeep,Last Night A D.J. Saved My Life,60,60,
1983-01-01,61,Rod,JUST KEEP ON WALKING,61,61,
1983-01-01,62,Cynthia Manley,BACK IN MY ARMS AGAIN,62,62,
1983-01-01,63,Michael Jackson (all cuts),Thriller (all cuts),63,63,
1983-01-01,64,The Suburbs,WAITING,64,64,
1983-01-01,65,Mikki,ITCHING FOR LOVE,65,65,
1983-01-01,66,The English Beat,Save It For Later / Sole Salvation,66,66,
1983-01-01,67,Carol Douglas,YOU'rE NOT SO HOT,67,62,
1983-01-01,68,Sharon Redd,Redd Hott (all cuts),68,1,16
1983-01-01,69,Bananarama,He Was Really Sayin' Somethin',69,16,11
1983-01-01,70,KC And The Sunshine Band,(YOU SAID)YOU'D GIMME SOME MORE,70,9,12
1983-01-01,71,Psychedelic Furs,LOVE MY WAY/AEROPLANE,71,40,5
1983-01-01,72,The Clash,Rock The Casbah / Mustapha Dance,72,8,27
1983-01-01,73,Bootsy's Rubber Band,Body Slam!,73,13,9
1983-01-01,74,Race,SHOW ME THE WAY,74,41,4
1983-01-01,75,Pressure Drop,Rock The House (You'll Never Be),75,21,6
1983-01-01,76,Denroy Morgan,HAPPY FEELING,76,46,3
1983-01-01,77,Cheri,GIVE IT TO ME BABY/STARSTRUCK,77,57,
1983-01-01,78,The Flirts,Boy Crazy / Jukebox (Don't Put Another Dime),78,28,7
1983-01-01,79,Double Discovery,CAN HE FIND ANOTHER,79,41,5
1983-01-01,80,Gary's Gang,KNOCK ME OUT,80,25,10
1983-01-08,1,Thompson Twins,LIES/BEACH CULTURE,2,1,9
1983-01-08,2,The Weather Girls,It's Raining Men,1,1,12
1983-01-08,3,Madonna,EVERYBODY,4,3,10
1983-01-08,4,Grace Jones,Nipple To The Bottle,6,4,9
1983-01-08,5,Prince,1999,5,1,11
1983-01-08,6,ABC,THE LOOK OF LOVE,3,1,17
1983-01-08,7,Patrick Cowley,Mind Warp (all cuts),7,7,9
1983-01-08,8,Claudja Barry,I Will Follow Him / Work Me Over,8,8,7
1983-01-08,9,Man Parrish,"Hip Hop, Be Bop (don't Stop)",17,9,4
1983-01-08,10,Madleen Kane,PLAYING FOR TIME,10,10,10
1983-01-08,11,Warp 9,Nunk (New Wave Funk),14,11,10
1983-01-08,12,Marvin Gaye,Sexual Healing,12,12,8
1983-01-08,13,Lovered,DIE HARD LOVER,16,13,10
1983-01-08,14,Sylvester,All I Need (all cuts),40,14,3
1983-01-08,15,Devo,PEEK-A-BOO,13,13,10
1983-01-08,16,Lace,CAN't PLAY AROUND,18,16,6
1983-01-08,17,Melba Moore,Mind Up Tonight,26,17,7
1983-01-08,18,Daryl Hall John Oates,MANEATER,20,18,6
1983-01-08,19,The Jammers,And You Know That / Be Mine Tonight,19,19,8
1983-01-08,20,Toney Lee,REACH UP,27,20,4
1983-01-08,21,Bonnie Forman,WALK AWAY,21,21,6
1983-01-08,22,Montana Sextet,HEAVY VIBES,22,22,7
1983-01-08,23,Roundtree,HIT ON YOU,34,23,4
1983-01-08,24,Toni Basil,Mickey,9,3,13
1983-01-08,25,Lene Lovich,"It's You, Only You (Mein Schmerz)",25,25,7
1983-01-08,26,Gwen McCrae,Keep The Fire Burning,31,26,4
1983-01-08,27,Whodini,Magic Wand,11,11,11
1983-01-08,28,The Pointer Sisters,I'm So Excited,28,28,4
1983-01-08,29,The Members,Going West / Chairman Of The Board,30,29,6
1983-01-08,30,Musical Youth,Pass The Dutchie,38,30,4
1983-01-08,31,Inner Life,MOMENT OF MY LIFE,15,15,10
1983-01-08,32,Peter Brown,Baby Gets High,48,32,3
1983-01-08,33,Bobby O,SHE HAS A WAY,44,33,3
1983-01-08,34,Central Line,You've Said Enough,39,34,3
1983-01-08,35,Scherrie Payne,I'm NOT IN LOVE/GIRL YOU'rE IN LOVE,35,35,8
1983-01-08,36,Heaven 17,WHO WILL STOP THE RAIN,36,36,6
1983-01-08,37,Orbit,THE BEAT GOES ON,37,37,6
1983-01-08,38,Planet Patrol,Play At Your Own Risk,23,10,11
1983-01-08,39,Willie Hutch,In And Out,29,29,9
1983-01-08,40,Michael Jackson (all cuts),Thriller (all cuts),63,40,1
1983-01-08,41,I-Level,GIVE ME,33,11,12
1983-01-08,42,Nairobi And The Awesome Foursome,Funky Soul Makossa,47,42,3
1983-01-08,43,Material,I'm THE ONE,43,43,5
1983-01-08,44,Vanity 6,Nasty Girl,24,1,15
1983-01-08,45,Yello,YOU GOTTA SAY YES TO ANOTHER ACCESS,42,42,5
1983-01-08,46,Rodway,DON't STOP TRYING,49,46,3
1983-01-08,47,Culture Club,I'm Afraid Of Me / Do You Really Want To Hurt Me,50,47,3
1983-01-08,48,"Tyrone ""Tystick"" Brunson",The Smurf,45,35,7
1983-01-08,49,Yaz,Don't Go,32,1,18
1983-01-08,50,Indeep,Last Night A D.J. Saved My Life,60,50,1
1983-01-08,51,Rod,JUST KEEP ON WALKING,61,51,
1983-01-08,52,Plush,FREE AND EASY,52,52,
1983-01-08,53,Cynthia Manley,BACK IN MY ARMS AGAIN,62,53,
1983-01-08,54,Don Henley,Dirty Laundry,53,47,2
1983-01-08,55,Michelle Wallace,JAZZY RHYTHM,51,51,
1983-01-08,56,The Suburbs,WAITING,64,56,
1983-01-08,57,Peter Godwin,Images Of Heaven / Emotional Disguise,46,22,10
1983-01-08,58,The S.O.S. Band,HIGH HOPES,56,49,2
1983-01-08,59,New York City Peech Boys,Life Is Something Special,,59,
1983-01-08,60,The Units,THE RIGHT MAN/THE RIGHT MIX,,60,
1983-01-08,61,Mikki,ITCHING FOR LOVE,65,61,
1983-01-08,62,The English Beat,Save It For Later / Sole Salvation,66,62,
1983-01-08,63,The Nick Straker Band,STRAIGHT AHEAD,55,12,9
1983-01-08,64,Peter Gabriel,SHOCK THE MONKEY,54,26,6
1983-01-08,65,Men At Work,Who Can It Be Now / Down Under,,33,8
1983-01-08,66,Aurra,Such A Feeling,,66,
1983-01-08,67,Sharon Redd,Redd Hott (all cuts),68,1,16
1983-01-08,68,Carol Douglas,YOU'rE NOT SO HOT,67,62,
1983-01-08,69,Nancy Martin,Can't Believe,41,5,16
1983-01-08,70,Cashmere,DO IT ANYWAY YOU WANNA,,70,
1983-01-08,71,Falco,DER KOMMISSAR (THE COMMISSIONER),,71,
1983-01-08,72,Malcolm Mclaren And The World's Famous Supreme Team,BUFFALO GALS,,72,
1983-01-08,73,Sinnamon,He's Gonna Take You Home (To His House),,73,
1983-01-08,74,Deodato,KEEP IT IN THE FAMILY/KEEP ON MOVIN',59,41,4
1983-01-08,75,Carol Williams,CAN't GET AWAY (FROM YOUR LOVE),57,38,6
1983-01-08,76,Psychedelic Furs,LOVE MY WAY/AEROPLANE,71,40,5
1983-01-08,77,The Clash,Rock The Casbah / Mustapha Dance,72,8,27
1983-01-08,78,Captain Sensible,WOT,58,24,8
1983-01-08,79,Bootsy's Rubber Band,Body Slam!,73,13,9
1983-01-08,80,Race,SHOW ME THE WAY,74,41,4
1983-01-15,1,Thompson Twins,LIES/BEACH CULTURE,1,1,10
1983-01-15,2,Grace Jones,Nipple To The Bottle,4,2,10
1983-01-15,3,Madonna,EVERYBODY,3,3,11
1983-01-15,4,The Weather Girls,It's Raining Men,2,1,13
1983-01-15,5,Sylvester,All I Need (all cuts),14,5,4
1983-01-15,6,Claudja Barry,I Will Follow Him / Work Me Over,8,6,8
1983-01-15,7,Patrick Cowley,Mind Warp (all cuts),7,7,10
1983-01-15,8,Prince,1999,5,1,12
1983-01-15,9,Man Parrish,"Hip Hop, Be Bop (don't Stop)",9,9,5
1983-01-15,10,Madleen Kane,PLAYING FOR TIME,10,10,11
1983-01-15,11,Warp 9,Nunk (New Wave Funk),11,11,11
1983-01-15,12,Marvin Gaye,Sexual Healing,12,12,9
1983-01-15,13,Lovered,DIE HARD LOVER,13,13,11
1983-01-15,14,Toney Lee,REACH UP,20,14,5
1983-01-15,15,ABC,THE LOOK OF LOVE,6,1,18
1983-01-15,16,Lace,CAN't PLAY AROUND,16,16,7
1983-01-15,17,Melba Moore,Mind Up Tonight,17,17,8
1983-01-15,18,Daryl Hall John Oates,MANEATER,18,18,7
1983-01-15,19,Gwen McCrae,Keep The Fire Burning,26,19,5
1983-01-15,20,Indeep,Last Night A D.J. Saved My Life,50,20,2
