date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1998-01-03,1,Lisa Stansfield,Never Gonna Fall,1,1,8
1998-01-03,2,Club 69 Featuring Suzanne Palmer,Much Better,2,2,9
1998-01-03,3,Victor Calderone,Beat Me Harder,3,3,11
1998-01-03,4,Sunscreem,Catch,4,4,9
1998-01-03,5,BT,"Love, Peace And Grease",5,5,9
1998-01-03,6,Janet (Featuring Q-Tip And Joni Mitchell),Got `Til It's Gone,6,6,7
1998-01-03,7,House Of Prince Featuring Oezlem,Perfect Love,7,7,6
1998-01-03,8,No Mercy,Kiss You All Over,8,8,6
1998-01-03,9,Soulshock,One Good Reason,9,9,7
1998-01-03,10,Club 69 Featuring Kim Cooper,Drama,10,1,10
1998-01-03,11,Regina,Day By Day,11,11,8
1998-01-03,12,MAW,To Be In Love,12,4,11
1998-01-03,13,Dat Oven,Chelsea Press 2,13,1,10
1998-01-03,14,Kimara Lovelace,Circles,14,14,5
1998-01-03,15,Brooklyn Bounce,Get Ready To Bounce,15,10,10
1998-01-03,16,Spice Girls,Spice Up Your Life,16,16,5
1998-01-03,17,Sash!,Ecuador,17,1,13
1998-01-03,18,Eric Gadd,The Right Way,18,17,8
1998-01-03,19,Patti LaBelle,Shoe Was On The Other Foot,19,19,5
1998-01-03,20,Linda Eder,Something To Believe In,20,20,5
1998-01-03,21,Byron Stingily,Sing A Song,21,19,7
1998-01-03,22,Duncan Sheik,Reasons For Living,22,22,3
1998-01-03,23,Brainbug,Benedictus,23,23,3
1998-01-03,24,Veronica,Rise,24,24,6
1998-01-03,25,Pilgrimage,Land Of Ecstasy,25,25,4
1998-01-03,26,Rosie Gaines,Closer Than Close,26,6,13
1998-01-03,27,D.S.K.,What Would We Do '97,27,27,7
1998-01-03,28,Gigabyte,It's My Life,28,28,5
1998-01-03,29,Mack Vibe Featuring Jacqueline,Sky's The Limit,29,29,4
1998-01-03,30,Natural Born Chillers,Rock The Funky Beat,30,30,4
1998-01-03,31,Chicane,Sunstroke,31,19,10
1998-01-03,32,Simone Jay,Wanna B Like A Man,32,30,6
1998-01-03,33,Praxis Featuring Kathy Brown,Turn Me Out (Turn To Sugar),33,1,12
1998-01-03,34,Martha Wash Featuring RuPaul,It's Raining Men...The Sequel,34,34,3
1998-01-03,35,Lil Louis & The Party,Clap Your Hands,35,25,10
1998-01-03,36,Katrina Vaughn,Deep Day,36,4,13
1998-01-03,37,187 Lockdown,Gunman,37,37,3
1998-01-03,38,k.d. lang,Theme From The Valley of The Dolls,38,14,11
1998-01-03,39,Black Magic,Dance (Do That Thing),39,39,5
1998-01-03,40,Hannah Jones,You Only Have To Say You Love Me,40,40,2
1998-01-03,41,Blue Train,Get Movin',41,41,3
1998-01-03,42,Whitebird Featuring Veronica Brown,Words That You Say,42,12,12
1998-01-03,43,Ralphi Rosario Featuring Donna Blakely,Take Me Up (Gotta Get Up),43,43,2
1998-01-03,44,Janet,Together Again,44,44,2
1998-01-03,45,Instinct,You Are My Friend,45,45,4
1998-01-03,46,Pro Toolz Featuring Althea McQueen,I Believe,46,27,10
1998-01-03,47,Sandy B,Ain't No Need To Hide,47,1,12
1998-01-03,48,Datura,Voo-Doo Believe?,48,48,2
1998-01-03,49,Lustral,Everytime,49,49,2
1998-01-03,50,DJ Supreme,Tha Wildstyle,50,40,6
1998-01-03,51,The Blueboy,Sandman,51,51,
1998-01-03,52,Danny Tenaglia,Elements,52,52,
1998-01-03,53,Killer Bunnies,I Can't Take The Heartbreak,53,53,
1998-01-03,54,Constipated Monkeys,Cro-Magnon (What About Our Love),54,54,
