date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1994-01-01,1,Gloria Estefan,Tradicion,1,1,9
1994-01-01,2,Ultra Nate,Show Me,2,2,9
1994-01-01,3,Jody Watley,Your Love Keeps Working On Me,3,3,7
1994-01-01,4,Bjork,Violently Happy,4,4,8
1994-01-01,5,MK Featuring Alana,Love Changes,5,5,7
1994-01-01,6,En Vogue,What Is Love,6,6,9
1994-01-01,7,Pet Shop Boys,Go West,7,1,9
1994-01-01,8,U2,Lemon,8,1,8
1994-01-01,9,Rozalla,"I Love Music (From ""Carlito's Way"")",9,9,6
1994-01-01,10,Uncanny Alliance,I'm Beautiful Dammitt!,10,10,6
1994-01-01,11,House Of Gypsies,Sume Sigh Say,11,11,6
1994-01-01,12,Doubleplusgood,Conga Te,12,12,7
1994-01-01,13,Whitney Houston,Queen Of The Night,13,13,5
1994-01-01,14,Reel 2 Real Featuring The Mad Stuntman,I Like To Move It,14,14,6
1994-01-01,15,The Luna Project,I Wanna Be Free,15,3,11
1994-01-01,16,D:REAM,Things Can Only Get Better,16,16,7
1994-01-01,17,David Morales & The B.Y.C. w/ Papa San,The Program,17,1,13
1994-01-01,18,Culture Beat,Mr. Vain,18,2,12
1994-01-01,19,Sven Vath,L'Esperanza,19,5,10
1994-01-01,20,Thrill Kill Kult,Blue Buddha,20,17,9
1994-01-01,21,Chantay Savage,Betcha'll Never Find,21,21,8
1994-01-01,22,B-Tribe,Fiesta Fatal,22,7,12
1994-01-01,23,Warning,U Knock Me,23,23,8
1994-01-01,24,Beautiful People Featuring Jimi Hendrix,Rilly Groovy,24,24,4
1994-01-01,25,Staxx Of Joy Featuring Carol Leeming,Joy,25,25,3
1994-01-01,26,Captain Hollywood Project,All I Want,26,26,4
1994-01-01,27,One Dove,White Love,27,27,4
1994-01-01,28,Urban Cookie Collective,"The Key, The Secret",28,26,7
1994-01-01,29,Baby June,I Will Be Free,29,27,5
1994-01-01,30,Soul Solution,"Love, Peace & Happiness",30,30,4
1994-01-01,31,Awesome 3,Don't Go,31,31,4
1994-01-01,32,Mellow Mellow,I Can't Stop,32,32,3
1994-01-01,33,Janet Jackson,Throb,33,2,13
1994-01-01,34,Haddaway,Life (Everybody Needs Somebody To Love),34,34,3
1994-01-01,35,Grace Jones,Sex Drive,35,1,14
1994-01-01,36,Father,69,36,36,4
1994-01-01,37,Freedom Williams,Groove Your Mind,37,33,5
1994-01-01,38,Satin & Scarlett,Boom,38,38,3
1994-01-01,39,Cyndi Lauper,That's What I Think,39,39,2
