date,this_week,artist,song,last_week,peak_position,weeks_on_chart
1992-01-04,1,Robert Owens,I'll Be Your Friend,2,1,7
1992-01-04,2,Adeva,It Should Have Been Me,1,1,9
1992-01-04,3,Clubland Featuring Zemya Hamilton,Hold On (Tighter To Love),5,3,6
1992-01-04,4,C+C Music Factory,Just A Touch Of Love,6,4,6
1992-01-04,5,Lords Of Acid,Take Control,7,5,8
1992-01-04,6,Seal,The Beginning,11,6,6
1992-01-04,7,Lisa Stansfield,Change,4,1,10
1992-01-04,8,Simone,My Family Depends On Me,14,8,7
1992-01-04,9,J.T.,Let Me Groove U,16,9,6
1992-01-04,10,Frankie Knuckles,It's Hard Sometime,10,10,8
1992-01-04,11,Fortran 5,Heart On The Line,15,11,8
1992-01-04,12,B.G. The Prince Of Rap,Take Control Of The Party,28,12,4
1992-01-04,13,Simply Red,Something Got Me Started,25,13,5
1992-01-04,14,P.M. Dawn,Set Adrift On Memory Bliss,8,6,8
1992-01-04,15,Cut 'N' Move,Spread Love,23,15,6
1992-01-04,16,Right Said Fred,I'm Too Sexy,27,16,5
1992-01-04,17,Erasure,Love To Hate You,17,17,7
1992-01-04,18,Quadrophonia,The Wave Of The Future,13,13,8
1992-01-04,19,Nirvana,Smells Like Teen Spirit,22,19,6
1992-01-04,20,The Orb,Little Fluffy Clouds,26,20,6
1992-01-04,21,ABC,Say It,3,3,10
1992-01-04,22,M.C. Hammer,2 Legit 2 Quit,18,18,7
1992-01-04,23,L.A. Style,James Brown Is Dead,32,23,4
1992-01-04,24,N-Joi,Mindflux,36,24,3
1992-01-04,25,Public Enemy,Can't Truss It,12,5,10
1992-01-04,26,2 Unlimited,Get Ready For This,31,26,5
1992-01-04,27,Turntable Terror,Break,21,6,11
1992-01-04,28,Mariah Carey,Emotions,9,1,12
1992-01-04,29,Excessive Force,Conquer Your House,35,29,5
1992-01-04,30,R.A.F.,We Gonna Get,43,30,3
1992-01-04,31,Overweight Pooch Featuring Ce Ce Peniston,I Like It,44,31,3
1992-01-04,32,Electronic,Feel Every Beat,45,32,3
1992-01-04,33,Utah Saints,What Can You Do For Me?,33,33,5
1992-01-04,34,Consolidated,This Is Fascism,20,20,8
1992-01-04,35,Blur,There's No Other Way,19,15,9
1992-01-04,36,Tito Puente,"Ran Kan Kan (From ""The Mambo Kings"")",,36,1
1992-01-04,37,Nomad,Something Special,37,37,6
1992-01-04,38,St. Etienne,Only Love Can Break Your Heart,,38,1
1992-01-04,39,Crystal Waters,Surprise,48,39,3
